beta,eta,n,ai_delta,ai_mse,fixed_0.01_mse,fixed_0.05_mse,fixed_0.1_mse,fixed_0.2_mse,fixed_0.5_mse,fixed_1.0_mse
2.0,5000.0,5,0.0691,1.18,,0.58,2.09,4.12,6.73,8.34
2.0,5000.0,5,0.0247,0.19,,0.81,2.59,4.3,5.96,6.72
2.0,5000.0,5,0.3075,0.07,,,,0.4,0.26,1.12
2.0,5000.0,5,0.7099,inf,,,,,0.76,
2.0,5000.0,5,0.0517,0.64,2.21,0.64,0.88,1.4,2.39,
2.0,5000.0,5,0.0325,0.27,0.94,0.65,1.49,2.39,3.41,4.01
2.0,5000.0,5,0.2172,0.07,0.66,0.32,0.15,0.07,0.28,0.7
2.0,5000.0,5,0.3635,0.08,,,,,0.85,
2.0,5000.0,5,0.1607,0.09,,,1.0,0.15,1.82,
2.0,5000.0,5,0.6005,0.12,,,,,0.15,0.25
2.0,5000.0,5,0.1043,0.05,,,0.06,0.42,1.61,
2.0,5000.0,5,0.001,4.67,4.68,4.72,4.78,4.82,4.91,5.08
2.0,5000.0,5,0.0335,0.3,0.3,0.29,0.29,0.29,0.31,0.36
2.0,5000.0,5,0.052,0.7,,0.65,1.89,3.4,5.16,6.22
2.0,5000.0,5,0.024,0.33,,0.09,0.33,0.76,1.34,1.71
2.0,5000.0,5,0.0061,2.87,2.87,2.89,2.91,2.94,3.03,3.15
2.0,5000.0,5,0.2934,0.38,,,,0.99,,
2.0,5000.0,5,0.001,2.82,2.82,2.85,2.89,2.96,3.1,3.27
2.0,5000.0,5,0.0154,13.92,13.9,14.02,14.17,14.46,14.62,14.9
2.0,5000.0,5,0.1404,0.05,0.6,0.23,0.08,0.07,0.48,1.04
2.0,5000.0,5,0.0764,0.11,,0.43,0.38,1.7,3.51,4.5
2.0,5000.0,5,0.0034,7.13,7.14,7.2,7.28,7.37,7.55,7.77
2.0,5000.0,5,0.0133,0.41,0.4,0.52,0.64,0.83,1.22,1.61
2.0,5000.0,5,0.0035,3.56,3.56,3.61,3.67,3.75,3.97,4.24
2.0,5000.0,5,0.0299,0.23,0.21,0.25,0.33,0.69,1.97,2.87
2.0,5000.0,5,0.0018,3.48,3.49,3.52,3.55,3.62,3.73,3.89
2.0,5000.0,5,0.0012,0.56,0.56,0.57,0.57,0.59,0.63,0.69
2.0,5000.0,5,0.0058,5.24,5.25,5.4,5.53,5.74,6.11,6.42
2.0,5000.0,5,0.0397,0.02,0.01,0.04,0.16,0.54,1.77,2.85
2.0,5000.0,5,0.0173,2.73,2.71,2.81,2.92,3.07,3.3,3.5
2.0,5000.0,5,0.0024,6.83,6.84,6.88,6.92,7.0,7.24,7.52
2.0,5000.0,5,0.031,0.64,,0.2,1.65,3.7,5.96,7.13
2.0,5000.0,5,0.9644,0.29,,,,,0.56,0.29
2.0,5000.0,5,0.001,4.91,4.91,4.92,4.93,4.95,4.99,5.03
2.0,5000.0,5,0.8183,inf,,,,,0.46,
2.0,5000.0,5,0.2618,0.03,,,,0.12,0.48,
2.0,5000.0,5,0.0079,1.91,1.91,1.92,1.92,1.94,1.99,2.09
2.0,5000.0,5,0.0976,0.14,,1.25,0.14,1.08,3.37,
2.0,5000.0,5,0.0419,0.13,0.11,0.14,0.24,0.58,2.01,3.55
2.0,5000.0,5,0.5656,0.06,,,,,0.1,
2.0,5000.0,5,0.0067,12.3,12.31,12.35,12.4,12.45,12.53,12.66
2.0,5000.0,5,0.2841,0.03,,,,0.24,1.11,
2.0,5000.0,5,0.0914,0.02,,0.13,0.03,0.4,1.49,3.55
2.0,5000.0,5,0.0068,8.16,8.16,8.18,8.2,8.24,8.35,8.55
2.0,5000.0,5,0.002,0.54,0.63,0.94,1.15,1.39,1.7,1.91
2.0,5000.0,7,0.3841,0.25,,0.65,0.4,0.26,0.28,0.42
2.0,5000.0,7,0.1134,0.15,,0.41,0.1,0.69,2.14,3.4
2.0,5000.0,7,0.8811,0.36,0.84,0.75,0.67,0.56,0.43,0.34
2.0,5000.0,7,0.0187,0.47,0.4,0.68,0.95,1.34,2.05,2.8
2.0,5000.0,7,0.0563,1.3,,1.05,2.69,4.39,6.21,7.37
2.0,5000.0,7,0.0495,0.46,0.23,0.46,0.84,1.57,3.09,4.38
2.0,5000.0,7,0.0053,3.21,3.57,4.9,5.51,6.03,6.57,6.87
2.0,5000.0,7,0.5432,0.22,,,,0.46,0.22,0.27
2.0,5000.0,7,0.1125,0.16,0.1,0.11,0.15,0.22,0.4,0.59
2.0,5000.0,7,0.7557,0.25,,1.05,0.86,0.62,0.33,0.23
2.0,5000.0,7,0.0627,0.15,0.67,0.07,0.4,0.9,1.68,2.29
2.0,5000.0,7,0.0619,0.1,0.01,0.07,0.21,0.51,1.22,2.03
2.0,5000.0,7,0.0627,0.17,,0.13,0.38,0.86,1.57,2.05
2.0,5000.0,7,0.0446,0.18,0.53,0.22,0.65,1.31,2.3,2.98
2.0,5000.0,7,0.0048,8.55,8.79,9.83,10.42,11.02,11.77,12.19
2.0,5000.0,7,0.1139,2.01,,,2.65,,,
2.0,5000.0,7,0.0369,0.74,0.41,0.85,1.16,1.54,2.09,2.53
2.0,5000.0,7,0.0014,4.91,4.91,4.92,4.92,4.93,4.97,5.04
2.0,5000.0,7,0.0113,4.26,4.26,4.38,4.53,4.75,5.2,5.69
2.0,5000.0,7,0.2406,0.13,,,0.44,0.15,0.24,0.46
2.0,5000.0,7,0.0066,1.8,1.8,1.81,1.82,1.85,1.9,1.98
2.0,5000.0,7,0.8528,0.3,0.6,0.55,0.49,0.43,0.34,0.3
2.0,5000.0,7,0.0207,0.75,0.69,0.91,1.12,1.42,1.94,2.44
2.0,5000.0,7,0.436,0.1,,,,0.33,0.11,0.3
2.0,5000.0,7,0.6521,0.14,,1.09,0.76,0.44,0.16,0.17
2.0,5000.0,7,0.0099,2.95,2.95,3.21,3.46,3.81,4.49,5.15
2.0,5000.0,7,0.0132,2.38,2.37,2.49,2.62,2.83,3.27,3.76
2.0,5000.0,7,0.0085,6.1,6.11,6.27,6.36,6.55,6.82,7.07
2.0,5000.0,7,0.2403,0.06,,,,0.16,0.51,1.56
2.0,5000.0,7,0.0084,2.07,2.07,2.07,2.08,2.08,2.09,2.11
2.0,5000.0,7,0.0425,0.1,0.07,0.13,0.33,0.66,1.25,1.78
2.0,5000.0,7,0.0702,0.1,,0.11,0.44,1.51,2.9,3.69
2.0,5000.0,7,0.4003,0.1,,,,0.44,0.11,0.33
2.0,5000.0,7,0.0477,0.02,0.11,0.02,0.08,0.25,0.7,1.13
2.0,5000.0,7,0.0186,2.86,2.78,3.13,3.44,3.89,4.66,5.32
2.0,5000.0,7,0.0022,8.28,8.29,8.3,8.31,8.34,8.43,8.58
2.0,5000.0,7,0.2091,0.42,0.41,0.41,0.42,0.42,0.44,0.47
2.0,5000.0,7,0.019,5.06,4.51,5.99,6.66,7.3,7.94,8.31
2.0,5000.0,7,0.0411,0.42,0.24,0.47,0.73,1.15,2.06,3.04
2.0,5000.0,7,0.2851,0.16,,,,0.41,,
2.0,5000.0,7,0.3066,0.04,,,,0.53,0.09,
2.0,5000.0,7,0.1807,0.03,,,0.43,0.05,0.71,2.05
2.0,5000.0,7,0.0011,10.83,10.87,10.94,11.0,11.13,11.54,12.1
2.0,5000.0,7,0.099,0.5,,0.35,0.51,1.01,1.75,2.71
2.0,5000.0,7,0.0057,2.71,2.72,2.84,2.95,3.12,3.43,3.69
2.0,5000.0,7,0.0297,0.49,0.24,0.66,0.91,1.16,1.45,1.63
2.0,5000.0,7,0.0299,0.79,1.15,1.35,2.79,4.82,7.91,
2.0,5000.0,7,0.8245,inf,,,,,,
2.0,5000.0,7,0.0624,0.56,,0.32,1.39,3.07,5.33,6.76
2.0,5000.0,7,0.0111,1.98,1.98,2.1,2.22,2.41,2.79,3.2
2.0,5000.0,15,0.4028,0.15,,,,0.68,0.14,0.4
2.0,5000.0,15,0.684,0.07,,,,0.96,0.16,0.08
2.0,5000.0,15,0.1226,0.06,0.15,0.09,0.06,0.06,0.13,0.26
2.0,5000.0,15,0.4496,0.07,0.56,0.34,0.22,0.11,0.07,0.14
2.0,5000.0,15,0.0047,1.22,1.22,1.29,1.36,1.47,1.68,1.89
2.0,5000.0,15,0.2416,0.04,,,0.51,0.09,0.18,
2.0,5000.0,15,0.0903,0.04,0.01,0.01,0.05,0.14,0.4,0.79
2.0,5000.0,15,0.003,2.27,2.28,2.33,2.38,2.47,2.66,2.88
2.0,5000.0,15,0.2117,0.04,,0.7,0.22,0.04,0.18,0.46
2.0,5000.0,15,0.1023,0.14,0.45,0.16,0.14,0.28,0.93,
2.0,5000.0,15,0.6819,0.02,,,,0.55,0.05,0.08
2.0,5000.0,15,0.0743,0.16,0.05,0.1,0.23,0.5,1.14,2.24
2.0,5000.0,15,0.0258,inf,,0.03,0.39,1.04,1.71,2.05
2.0,5000.0,15,0.0219,0.34,0.34,0.36,0.4,0.45,0.59,0.78
2.0,5000.0,15,0.5615,0.01,,,,0.93,0.0,
2.0,5000.0,15,0.0089,1.34,1.35,1.42,1.5,1.63,1.89,2.18
2.0,5000.0,15,0.1905,0.12,,,0.81,0.11,0.73,
2.0,5000.0,15,0.0039,1.27,1.27,1.31,1.35,1.42,1.57,1.76
2.0,5000.0,15,0.204,0.02,0.44,0.16,0.05,0.02,0.27,
2.0,5000.0,15,0.6616,0.06,,,0.73,0.31,0.07,0.14
2.0,5000.0,15,0.0011,2.45,2.47,2.56,2.64,2.78,3.01,3.22
2.0,5000.0,15,0.0071,1.58,1.58,1.65,1.71,1.82,2.05,2.29
2.0,5000.0,15,0.1665,0.01,0.12,0.04,0.0,0.03,0.25,0.69
2.0,5000.0,15,0.0024,2.8,2.81,2.84,2.88,2.97,3.12,3.3
2.0,5000.0,15,0.18,0.0,,0.42,0.12,0.0,0.23,0.71
2.0,5000.0,15,0.001,3.85,3.85,3.87,3.89,3.94,4.03,4.15
2.0,5000.0,15,0.4199,0.03,,,0.45,0.07,0.06,0.35
2.0,5000.0,15,0.0931,0.06,0.02,0.02,0.06,0.18,0.5,0.87
2.0,5000.0,15,0.001,2.93,2.93,2.94,2.95,2.96,3.0,3.07
2.0,5000.0,15,0.001,12.64,12.64,12.66,12.68,12.72,12.85,13.07
2.0,5000.0,15,0.0593,0.13,0.08,0.12,0.17,0.26,0.49,0.78
2.0,5000.0,15,0.0011,4.19,4.21,4.27,4.32,4.41,4.64,4.91
2.0,5000.0,15,0.786,0.17,0.31,0.28,0.24,0.21,0.17,0.18
2.0,5000.0,15,0.2209,0.03,,,0.43,0.04,0.23,0.6
2.0,5000.0,15,0.4273,0.01,,,,0.29,0.02,0.25
2.0,5000.0,15,0.4717,0.23,,,,,0.41,
2.0,5000.0,15,0.5304,0.01,,0.9,0.53,0.2,0.01,0.17
2.0,5000.0,15,0.3876,0.07,,,,1.01,0.06,
2.0,5000.0,15,0.9789,inf,,,,,0.41,
2.0,5000.0,15,0.0111,0.35,0.34,0.37,0.39,0.43,0.5,0.56
2.0,5000.0,15,0.0845,0.1,0.04,0.07,0.12,0.2,0.43,0.73
2.0,5000.0,15,0.0426,0.27,0.19,0.29,0.42,0.64,1.16,1.82
2.0,5000.0,15,0.0922,0.04,0.2,0.07,0.04,0.07,0.23,0.45
2.0,5000.0,15,0.0011,2.47,2.48,2.49,2.51,2.54,2.63,2.74
2.0,5000.0,15,0.9855,inf,,,,,0.3,
2.0,5000.0,15,0.4838,0.07,0.53,0.34,0.23,0.12,0.08,0.14
2.0,5000.0,15,0.9329,0.01,,,,,0.49,
2.0,5000.0,15,0.0575,0.33,0.37,0.3,0.54,1.06,2.21,3.93
2.0,5000.0,15,0.0523,0.12,0.67,0.11,0.46,0.99,1.78,2.32
2.0,5000.0,15,0.4615,0.06,,,,0.98,0.04,
2.0,5000.0,20,0.0011,3.03,3.07,3.21,3.35,3.58,4.06,4.63
2.0,5000.0,20,0.1024,0.06,0.01,0.02,0.06,0.13,0.35,0.66
2.0,5000.0,20,0.3731,0.06,,,1.28,0.35,0.15,
2.0,5000.0,20,0.002,0.92,0.95,1.09,1.24,1.47,1.97,
2.0,5000.0,20,0.0346,0.18,0.13,0.21,0.29,0.45,0.8,1.32
2.0,5000.0,20,0.0817,0.05,0.05,0.04,0.07,0.17,0.54,1.29
2.0,5000.0,20,0.0479,0.23,0.2,0.23,0.26,0.33,0.49,0.71
2.0,5000.0,20,0.8726,inf,,,,,0.1,
2.0,5000.0,20,0.6545,0.01,,,,0.59,0.03,0.08
2.0,5000.0,20,0.1115,0.07,0.72,0.28,0.09,0.03,0.29,0.99
2.0,5000.0,20,0.1725,0.01,0.03,0.02,0.01,0.02,0.08,0.23
2.0,5000.0,20,0.0013,0.83,0.84,0.88,0.92,1.0,1.14,1.29
2.0,5000.0,20,0.0203,0.52,0.5,0.56,0.63,0.74,0.97,1.21
2.0,5000.0,20,0.5575,0.01,,,1.06,0.42,0.02,0.09
2.0,5000.0,20,0.001,6.57,6.58,6.6,6.63,6.69,6.86,7.01
2.0,5000.0,20,0.001,1.12,1.13,1.17,1.2,1.25,1.34,1.43
2.0,5000.0,20,0.001,1.03,1.04,1.04,1.05,1.06,1.1,1.14
2.0,5000.0,20,0.0012,0.41,0.42,0.44,0.46,0.49,0.58,0.69
2.0,5000.0,20,0.8091,0.04,,,0.84,0.53,0.14,0.03
2.0,5000.0,20,0.0729,0.06,0.31,0.04,0.1,0.29,0.67,1.0
2.0,5000.0,20,0.4856,0.09,,,,0.62,0.11,
2.0,5000.0,20,0.0172,0.74,0.73,0.8,0.88,1.0,1.29,1.62
2.0,5000.0,20,0.0347,0.06,0.04,0.08,0.14,0.25,0.48,0.73
2.0,5000.0,20,0.7186,0.04,,,,0.91,0.12,0.04
2.0,5000.0,20,0.0037,2.07,2.08,2.12,2.16,2.25,2.44,2.68
2.0,5000.0,20,0.001,0.45,0.45,0.47,0.49,0.52,0.58,0.65
2.0,5000.0,20,0.8986,0.15,0.32,0.28,0.25,0.21,0.16,0.15
2.0,5000.0,20,0.1401,0.03,0.07,0.05,0.03,0.04,0.14,0.31
2.0,5000.0,20,0.9041,inf,,,,,0.16,
2.0,5000.0,20,0.1452,0.03,0.32,0.11,0.04,0.06,0.28,0.6
2.0,5000.0,20,0.8129,0.06,,,,,0.19,0.07
2.0,5000.0,20,0.8766,0.01,,,,0.93,0.12,0.03
2.0,5000.0,20,0.168,0.05,,0.59,0.19,0.04,0.32,0.85
2.0,5000.0,20,0.4924,0.01,,,,0.82,0.01,
2.0,5000.0,20,0.2595,0.06,,,0.72,0.16,0.1,
2.0,5000.0,20,0.001,1.38,1.51,1.76,1.89,2.03,2.19,2.26
2.0,5000.0,20,0.4204,0.05,0.67,0.44,0.29,0.14,0.05,0.09
2.0,5000.0,20,0.2902,0.03,,,0.8,0.15,0.1,
2.0,5000.0,20,0.2958,0.01,0.37,0.19,0.08,0.01,0.07,0.26
2.0,5000.0,20,0.3853,0.02,0.71,0.36,0.18,0.05,0.04,0.23
2.0,5000.0,20,0.6082,0.08,,0.74,0.48,0.25,0.09,0.1
2.0,5000.0,20,0.0146,1.01,,0.08,0.03,0.16,0.44,0.64
2.0,5000.0,20,0.1721,0.03,0.19,0.05,0.02,0.04,0.19,0.38
2.0,5000.0,20,0.0077,0.22,0.24,0.46,0.63,0.83,1.13,1.34
2.0,5000.0,20,0.0391,0.16,1.05,0.15,0.41,1.0,2.03,2.81
2.0,5000.0,20,0.5851,0.05,0.6,0.37,0.23,0.11,0.05,0.11
2.0,5000.0,20,0.0157,0.27,0.51,0.06,0.23,0.58,1.15,1.57
2.0,5000.0,20,0.8492,0.01,,,,0.77,0.11,
2.0,5000.0,20,0.8479,inf,,,,,0.19,
2.0,5000.0,20,0.2714,0.01,0.28,0.16,0.08,0.01,0.05,0.35
