sample_size,mc_runs,beta_mean,beta_median,beta_std,eta_mean,eta_median,eta_std,gamma_mean,gamma_median,gamma_std
3,100,1.5604436000000002,1.9385539999999999,0.7546985027023786,798.3859949800001,772.720585,514.3126708698541,1165.7485928899998,1142.883393,409.67126235698294
3,200,1.5326177282051279,1.917273,0.986168018377456,796.0405266717947,769.811422,499.63400876235056,1187.106907846154,1196.604086,409.18881309710935
3,300,1.509385300341297,1.89103,0.9134633136072183,777.0493092662116,727.460639,506.9899783464939,1195.4084917918087,1197.577238,422.34511106903
3,400,1.509362158567775,1.89333,0.8671408814549556,786.1493349514067,735.439531,504.7594375930401,1184.2847803861891,1189.279944,415.36141699918215
3,500,1.510029293877551,1.8914214999999999,0.8471034485285879,780.610454377551,716.2498475,517.0642655449406,1186.7745772714284,1190.070031,424.81127669654717
3,600,1.4924316689419794,1.884272,0.8363707224295922,775.7196452883959,686.426704,525.8246987962494,1196.9765350614334,1200.182308,433.59844521043266
3,700,1.4734387130307467,1.87836,0.8289916117124808,768.0000303850658,662.088285,525.8704779775355,1202.976736543192,1204.274378,436.66208434485605
3,800,1.478207043478261,1.8820115,0.8202980757549982,771.7940752710998,667.8326285,524.6622419818405,1197.383675842711,1203.6728365,432.61689579947824
3,900,1.4593138931818181,1.8757065,0.814630452831239,766.3793055943181,664.9925069999999,525.0244720859536,1198.363045206818,1203.134709,432.1693196524174
3,1000,1.4618364723360655,1.8789105,0.8105415538861266,759.8297599159836,660.422077,523.0819166729168,1198.44274633709,1201.4805415,428.5226673443673
3,1100,1.466359903345725,1.8789105,0.84309154335534,758.6050946254646,661.726052,521.3328297442556,1201.6449709107808,1204.1203235,430.86591109131473
3,1200,1.4608673930093776,1.874963,0.835026118153959,756.137621794544,660.221227,522.7802383096913,1206.4017319855072,1214.490802,432.5313209610334
3,1300,1.4650780766192733,1.8789105,0.8291375545577482,757.0397236674565,662.0960485,522.5003865257038,1207.5457917622432,1217.9904695,434.676003161406
3,1400,1.4628373875457876,1.877003,0.8234319364048591,758.6046901919414,664.459145,523.669272375234,1210.2142530007325,1223.267689,438.6107305005377
3,1500,1.4613643850889195,1.87637,0.8186167715054806,758.2835706778386,663.2814785,522.3230605573533,1212.2202865807114,1226.0963649999999,436.0304214961285
3,1600,1.4567447775641027,1.8736575,0.8162134568044176,755.7403922897436,660.422077,523.9648378720682,1214.7383375967947,1228.3815530000002,437.66070838831536
3,1700,1.4520753279083785,1.872385,0.8132671445759238,758.4980825527426,660.622927,527.8298608405461,1213.2061321476792,1230.958917,437.74264330856545
3,1800,1.456011275156339,1.875737,0.8103194883182482,756.3392141523592,657.982249,525.3565552306313,1212.0840199840818,1230.580966,435.0156277550457
