n,fold,seed,p_rms_actual,q_rms_actual,p_mean_cancel_exact,q_mean_cancel_exact,delta_rms_actual,delta_mean_cancel_exact
7,1,17,0.20304417064429395,0.1971847894182131,0.3485224321345898,0.8662959052152224,-0.005859381226080845,0.5177734730806326
7,1,42,0.20137496090682108,0.19813710290966996,0.33705262332933933,0.8749034698866558,-0.0032378579971511223,0.5378508465573164
7,1,73,0.2033675627563509,0.19642103565660662,0.32175269120664146,0.8775554725152875,-0.006946527099744276,0.5558027813086461
7,1,314,0.20438053931362077,0.19648616565666988,0.34562395089130044,0.8836110004797357,-0.007894373656950893,0.5379870495884354
7,1,2026,0.20413158829906838,0.1967132346558051,0.35766325595008214,0.8760342743391792,-0.007418353643263292,0.518371018389097
7,1,2718,0.20325946860369765,0.19720194448886696,0.3466260117409675,0.87487729502541,-0.006057524114830681,0.5282512832844425
7,1,3407,0.2017493858761919,0.19719525612515873,0.3221020343098226,0.8708183158796974,-0.00455412975103317,0.5487162815698747
7,1,4099,0.20418656840508598,0.19690264457844572,0.3437363137671,0.8806046027634503,-0.007283923826640254,0.5368682889963503
7,1,8128,0.19892032070966026,0.1965427244239877,0.31750400571076615,0.8694370149789965,-0.0023775962856725508,0.5519330092682304
7,1,12011,0.205481625443219,0.19579316942539576,0.3431085000603456,0.8802631188770064,-0.009688456017823227,0.5371546188166607
7,2,17,0.21500428382247064,0.2066328629529041,0.35207665508229735,0.8726835689669641,-0.008371420869566548,0.5206069138846667
7,2,42,0.22044366772986287,0.20761410297394087,0.380720114258605,0.8776302505565218,-0.012829564755922007,0.49691013629791675
7,2,73,0.223565780683369,0.2070525349642249,0.38541021442492335,0.8804356331486025,-0.016513245719144087,0.49502541872367917
7,2,314,0.2167052992016195,0.2063138983134618,0.3654996194455605,0.8877799613116508,-0.010391400888157681,0.5222803418660904
7,2,2026,0.2161371092452813,0.2064406212779043,0.3590597446607519,0.8823505622989039,-0.009696487967376988,0.5232908176381519
