beta,gamma_over_eta,x_R_over_eta,s_beta,s_eta,s_gamma,s_norm,unit_beta,unit_eta,unit_gamma,l1_share_beta,l1_share_eta,l1_share_gamma
1.5,0.1,0.23805126655628425,1.1483218775559567,0.5799224198777525,4.200775801222475,4.393343883613805,0.2613776449048165,0.13200023381751064,0.9561682200408745,0.19367818938853393,0.09781083724259801,0.7085109733688679
1.5,0.25,0.38805126655628425,0.70444165739332,0.3557552273476753,2.576979090609299,2.695110584724451,0.2613776449048165,0.1320002338175106,0.9561682200408744,0.19367818938853398,0.09781083724259801,0.708510973368868
1.5,0.5,0.6380512665562842,0.4284287042354333,0.21636390959833066,1.567272180803339,1.6391176238176384,0.2613776449048165,0.1320002338175106,0.9561682200408744,0.19367818938853393,0.097810837242598,0.708510973368868
1.5,0.75,0.8880512665562842,0.3078194780651895,0.1554541632394988,1.1260611156806684,1.1776809687656542,0.2613776449048165,0.13200023381751064,0.9561682200408745,0.19367818938853396,0.09781083724259801,0.708510973368868
1.5,1.0,1.138051266556284,0.24019961613299293,0.1213049628019167,0.8786950371980834,0.9189753631014015,0.2613776449048165,0.1320002338175106,0.9561682200408745,0.19367818938853393,0.097810837242598,0.708510973368868
2.0,0.1,0.3264802295732468,1.0302162902172247,0.6937027392724108,3.0629726072758934,3.3052035168844704,0.3116952662534743,0.20988200446013816,0.9267122558804164,0.21521612946169283,0.1449171595915092,0.6398667109467979
2.0,0.25,0.47648022957324676,0.7058955021942072,0.4753192588412133,2.0987229646351473,2.2646975383327272,0.31169526625347427,0.20988200446013813,0.9267122558804163,0.21521612946169283,0.1449171595915092,0.639866710946798
2.0,0.5,0.7264802295732468,0.4629792212484516,0.3117500247822121,1.376499950435576,1.4853585260160846,0.31169526625347427,0.20988200446013813,0.9267122558804164,0.2152161294616928,0.14491715959150916,0.639866710946798
2.0,0.75,0.9764802295732468,0.34444655483420467,0.2319352944526342,1.0240862740631544,1.1050747063771467,0.3116952662534743,0.2098820044601382,0.9267122558804165,0.21521612946169277,0.1449171595915092,0.639866710946798
2.0,1.0,1.2264802295732469,0.27423617831756597,0.18465868761052145,0.8153413123894786,0.8798214410306567,0.31169526625347427,0.20988200446013813,0.9267122558804164,0.21521612946169283,0.14491715959150916,0.639866710946798
2.5,0.1,0.4048065092419914,0.8945852647705173,0.7529683991810011,2.4703160081899886,2.7330761764776073,0.327318086656282,0.2755021633357574,0.9038591860157135,0.21724467649440837,0.18285386841527168,0.5999014550903198
2.5,0.25,0.5548065092419914,0.6527211419091747,0.5493924533409595,1.8024301866361618,1.9941493260487,0.327318086656282,0.27550216333575744,0.9038591860157136,0.2172446764944084,0.18285386841527168,0.5999014550903199
2.5,0.5,0.8048065092419914,0.44996397779157166,0.37873265902020853,1.242534681959583,1.3746994013932405,0.327318086656282,0.27550216333575744,0.9038591860157136,0.2172446764944084,0.1828538684152717,0.59990145509032
2.5,0.75,1.0548065092419916,0.34331788349629505,0.2889691204702865,0.9480411727062845,1.0488814932393715,0.327318086656282,0.27550216333575744,0.9038591860157136,0.21724467649440837,0.1828538684152717,0.5999014550903199
2.5,1.0,1.3048065092419916,0.27753842097358344,0.2336028423241576,0.7663971576758424,0.8479165444500096,0.327318086656282,0.27550216333575744,0.9038591860157137,0.2172446764944084,0.1828538684152717,0.5999014550903199
3.0,0.1,0.4715525084779865,0.7801064749664263,0.787934539203775,2.12065460796225,2.3930279807445487,0.3259913721208182,0.329262568404496,0.8861804479621861,0.21148572690186979,0.21360790369259758,0.5749063694055325
3.0,0.25,0.6215525084779865,0.5918424592173719,0.5977813674790209,1.6088745300839165,1.8155157155448416,0.32599137212081813,0.32926256840449597,0.8861804479621861,0.2114857269018698,0.21360790369259758,0.5749063694055326
