beta,gamma_over_eta,n,repeat_id,scale,selected_delta,curve_sha256,beta_hat,eta_hat,gamma_hat,r_squared,joint_loss,model_sha256,curve_max_abs_diff_to_scale_1
1.5,0.1,7,0,0.001,0.0,c0b8ab1ec60fc7e077e1c6781918def9dbb5e1e6848e9b98830758c86e9942fc,0.6047682846618216,0.32561530521669957,0.7341903536309898,0.9882616363181482,1.2131875985953817,2fbf16feb1a6ff03fbc5b19f5fd23f7f2a7e6eff9025a9049f64a3f088aa7353,1.5543122344752192e-15
1.5,0.1,7,0,1.0,0.0,69626554fb61137a3b57572c12f13b746cdfd5b21e7f8a88124e44f9e860f1b3,0.604768244092656,325.6152946604253,734.1903568342996,0.9882616388087694,1.2131876491797597,2fbf16feb1a6ff03fbc5b19f5fd23f7f2a7e6eff9025a9049f64a3f088aa7353,0.0
1.5,0.1,7,0,1000.0,0.0,3674287edc9000147ce52b135a3fe7a4b6943deabccccd65b94b6d120d703260,0.6047682440926615,325615.2946604243,734190.3568342994,0.9882616388087689,1.2131876491797562,2fbf16feb1a6ff03fbc5b19f5fd23f7f2a7e6eff9025a9049f64a3f088aa7353,6.661338147750939e-16
2.5,0.25,10,73,0.001,0.1,1ec476ec71ee7089538c2fc081da04916b482071388024db566fb2b586958078,1.4745107694930255,0.5747994547454062,0.5388488536893257,0.9835700176868934,0.43248966986416726,3659911977677461251b4e38ddbdf8de879a4a5bfd0cb6b926d3c17612cc4a52,4.440892098500626e-16
2.5,0.25,10,73,1.0,0.1,0ff0c77f93c86a37e23a449b7f924c610a35f7952e03edc466176eec273c6bcd,1.4745107653765965,574.7994538619887,538.8488544571891,0.9835700177066982,0.4324896724098525,3659911977677461251b4e38ddbdf8de879a4a5bfd0cb6b926d3c17612cc4a52,0.0
2.5,0.25,10,73,1000.0,0.1,91b388f234e940fbcda1ce471d87f608919be17e724cd286bd2d8441b8e8a8b6,1.4745107653747422,574799.4538616039,538848.854457528,0.9835700177067083,0.4324896724109841,3659911977677461251b4e38ddbdf8de879a4a5bfd0cb6b926d3c17612cc4a52,4.440892098500626e-16
3.5,0.5,15,149,0.001,0.04,d40cdc72de170865613bd52a2d36841d1d3f51189833731fff92108c3a4cb33f,3.048895883249155,0.9074098077821723,0.6441395471249155,0.9673700416973833,0.04596098328313124,0a635bfebf0297103aea342b9d8371ce21478932c6bd993464d99091261e4cb0,2.6645352591003757e-15
3.5,0.5,15,149,1.0,0.04,4cd6960d1b54be3b82c0fc124af3b4942a6c7c09e1365966bc2946d617da0a3f,3.0488958761990097,907.4098062529824,644.1395486053166,0.9673700416704583,0.045960984512316644,0a635bfebf0297103aea342b9d8371ce21478932c6bd993464d99091261e4cb0,0.0
3.5,0.5,15,149,1000.0,0.04,a910ae2f55490d4ab1ac1038a96729980c5795cd46c984ef7a7af71489269e40,3.04889587621002,907409.8062553667,644139.5486030078,0.9673700416704999,0.04596098451039866,0a635bfebf0297103aea342b9d8371ce21478932c6bd993464d99091261e4cb0,7.549516567451064e-15
5.0,1.0,20,299,0.001,0.04,697560bfc2b95e21024529355e8d2b49bd31797ee0591fe21bfff054934efb65,1.3604912384598187,0.2918368026766852,1.7140811620359033,0.9507728537094641,1.5412479810308357,cb914dd84b3100515e4e4d57a286a67ed6be2c566105d7237efac59ce019b314,3.9968028886505635e-15
5.0,1.0,20,299,1.0,0.04,2d75c5aba7da154c64f38d448b67a2a828222101e9ff6867b048769457919c27,1.360491238459863,291.83680267669655,1714.0811620358966,0.9507728537094652,1.5412479810307969,cb914dd84b3100515e4e4d57a286a67ed6be2c566105d7237efac59ce019b314,0.0
5.0,1.0,20,299,1000.0,0.04,f0dbc125b7304cca680a054b84f446fb9c09031a0c6875aa55c6317705a3e355,1.3604912384599475,291836.80267670023,1714081.1620358918,0.9507728537094601,1.5412479810307604,cb914dd84b3100515e4e4d57a286a67ed6be2c566105d7237efac59ce019b314,1.3322676295501878e-15
