方法,pooled $J_1$,失败率,bias $\beta$,bias $\eta$,bias $\gamma$,RMSE $\beta$,RMSE $\eta$,RMSE $\gamma$
LSE,0.8725202865322925,0.0,-0.07987664320746923,-37.53338833972396,32.66430200296007,2.161890138357821,460.5690359813233,419.9131396104476
WMLE,0.7288126976046649,2.0833333333333333e-05,-0.3504721491318306,-47.58262077772122,46.76066792899664,1.4180057793359795,416.54726811666455,374.18131104511815
