留出 $\beta$,Dimensional-RAW $J_1$,Default $J_1$,L6 $J_1$
1.5,0.48733350121519664,0.5476987191772456,0.3974603153780582
2.0,0.4628504777556188,0.5204978344244865,0.40327940602602624
2.5,0.48296247766001255,0.5318700939484555,0.436575988144923
3.0,0.5105290936432026,0.5723656222089817,0.47085304158211755
3.5,0.5324824557704569,0.6136100743597207,0.4963108122099591
4.0,0.5740086397103297,0.6811755452846217,0.5373104816231123
4.5,0.603180117736369,0.7305429111984516,0.5595063462252573
5.0,0.6524814044078199,0.789769332128496,0.5982199497793134
