layer,selection_information,pooled_J1,pooled_reduction_vs_default_pct,J1_n7,J1_n10,J1_n15,J1_n20,reduction_vs_default_pct_n7,reduction_vs_default_pct_n10,reduction_vs_default_pct_n15,reduction_vs_default_pct_n20
Default,Default  fixed $\delta=0.10$,0.630409199932,0.00000000,0.763308667311,0.657137010058,0.565086817869,0.505836687210,0.00000000,0.00000000,0.00000000,0.00000000
L1,L1  global,0.625198405954,0.82657328,0.753849241499,0.653548290830,0.562818139661,0.501312159782,1.23926613,0.54611431,0.40147428,0.89446407
L2,L2  $n$,0.623035386209,1.16968688,0.749136994518,0.652637683842,0.560953711622,0.500880345356,1.85661101,0.68468617,0.73141084,0.97983044
L3,L3  $\beta$,0.590526265290,6.32651532,0.719922717243,0.611909409746,0.527195772907,0.473527034583,5.68393259,6.88252216,6.70534930,6.38736838
L4,"L4  $(\beta,n)$",0.588513945289,6.64572386,0.716628677903,0.612156359435,0.524989080577,0.470626231826,6.11548007,6.84494252,7.09585430,6.96083465
L5,"L5  $(\beta,\gamma/\eta,n)$",0.581294062482,7.79099313,0.712712898494,0.602973238322,0.516154548188,0.462232872996,6.62848085,8.24238643,8.65924812,8.62013676
L6,L6  sample hindsight,0.492297115264,21.90832315,0.608305143256,0.515856816047,0.431890427634,0.383083614022,20.30679471,21.49935125,23.57096043,24.26733297
