method,n,J1
Dimensional-RAW,7,0.690140038894862
Dimensional-RAW,10,0.5760944718696536
Dimensional-RAW,15,0.48554986410467
Dimensional-RAW,20,0.43003400364509464
Default,7,0.7633086673112072
Default,10,0.6571370100580289
Default,15,0.5650868178686961
Default,20,0.505836687210487
WMLE,7,0.8124699073795644
WMLE,10,0.7573239499632581
WMLE,15,0.6901929495241289
WMLE,20,0.6440713060461657
LSE,7,1.041654295665714
LSE,10,0.9117733432982092
LSE,15,0.785843942131603
LSE,20,0.7150116076180919
