true_beta,PG_J1,Default_J1,J1_diff
1.5,0.5372660489314017,0.5476987191772456,-0.0104326702458438
2.0,0.5310050651434431,0.5204978344244865,0.0105072307189566
2.5,0.569823578668318,0.5318700939484555,0.0379534847198624
3.0,0.6107356396024353,0.5723656222089817,0.0383700173934535
3.5,0.6510524662235244,0.6136100743597206,0.0374423918638038
4.0,0.7088184906613121,0.6811755452846217,0.0276429453766904
4.5,0.746631529141297,0.7305429111984516,0.0160886179428454
5.0,0.7969786241684033,0.789769332128496,0.0072092920399072
