n,quantile,excess_loss
7,0.5,0.03780576993337094
7,0.9,0.32677718565582997
7,0.99,0.8549701748813616
10,0.5,0.03561962430299004
10,0.9,0.2877999913861594
10,0.99,0.7509697613468433
15,0.5,0.03789245359390217
15,0.9,0.2508721362634668
15,0.99,0.6475105485357042
20,0.5,0.034606386455120375
20,0.9,0.2229000723655626
20,0.99,0.5219469872150522
