beta,gamma_over_eta,n,raw_J1,default_J1,improvement_pct
1.5,0.1,7,0.5620130543844822,0.5713968388333035,1.6422534762322805
1.5,0.1,10,0.432063494446947,0.4531771091630211,4.659020565948069
1.5,0.1,15,0.3570604102969523,0.3781057365655282,5.565989677844685
1.5,0.1,20,0.30043620161561907,0.32398992868895726,7.269894829339174
1.5,0.25,7,0.6501287687262964,0.6249017136508426,-4.036963657543957
1.5,0.25,10,0.49181630930677905,0.5592241821979901,12.053819387113995
1.5,0.25,15,0.39253010840094166,0.42885860702450246,8.4709734230623
1.5,0.25,20,0.34023303119476694,0.37836294086525785,10.07760157041111
1.5,0.5,7,0.69193354410482,0.766370107757737,9.712874093002554
1.5,0.5,10,0.5067255299498418,0.6021918534109121,15.853140974978919
1.5,0.5,15,0.3892528857357614,0.4759462202408917,18.214943373487035
1.5,0.5,20,0.3252128828602994,0.39875900407955434,18.44375185684387
1.5,0.75,7,0.838725069273139,0.917244893011977,8.560399118822104
1.5,0.75,10,0.46857741184766405,0.5960977450863627,21.392520654515057
1.5,0.75,15,0.36341006207581134,0.4796910434244031,24.240807274300725
1.5,0.75,20,0.32588920612125244,0.4066001859496769,19.850207308664068
1.5,1.0,7,0.6109096541621356,0.7201766521880771,15.172249432685858
1.5,1.0,10,0.4997798887444662,0.5810301211568588,13.983824496158558
1.5,1.0,15,0.42219824824899876,0.5016501002017988,15.838101481658018
1.5,1.0,20,0.32997493103859804,0.3922697330545761,15.880603769985747
2.0,0.1,7,0.5668527688022175,0.5593869077366084,-1.3346506617070153
2.0,0.1,10,0.4708337173770791,0.4954376602510816,4.966102670017769
2.0,0.1,15,0.3669843131218231,0.3878912713206029,5.389901692709042
2.0,0.1,20,0.3439349520088412,0.35621479698827346,3.447314677339608
2.0,0.25,7,0.638569974963341,0.6433266004412129,0.7393795740156972
2.0,0.25,10,0.4803565496298119,0.5157950622625976,6.870657597482688
2.0,0.25,15,0.39858669644642086,0.44687763198866537,10.806299551701294
2.0,0.25,20,0.355398441443461,0.3886470179581065,8.55495474771133
2.0,0.5,7,0.6274520357404431,0.7198814356379296,12.839530972982981
2.0,0.5,10,0.5170113197245348,0.5791884962186027,10.735222971452174
2.0,0.5,15,0.3747272410671801,0.47672365238342096,21.395290711149116
2.0,0.5,20,0.3219292845250659,0.40728655848941403,20.957547501918526
2.0,0.75,7,0.5934307628578217,0.6602755863985251,10.123776331835721
2.0,0.75,10,0.4493666028249253,0.5600911087301172,19.769016893739888
2.0,0.75,15,0.3989482778255989,0.49817448639729256,19.917962738172246
2.0,0.75,20,0.32692575371710336,0.40059921338828003,18.390814861578075
2.0,1.0,7,0.6018548893944023,0.6694030128709987,10.090800635463172
2.0,1.0,10,0.47964179460193074,0.5405701745821756,11.27113237931382
2.0,1.0,15,0.411344456801255,0.47916721558931086,14.154298662658515
2.0,1.0,20,0.3534647464842371,0.42059691863216087,15.961165946304801
2.5,0.1,7,0.6252096319508047,0.6715929400888935,6.906461543796061
2.5,0.1,10,0.5096021376568,0.5237208470817041,2.695846366165655
2.5,0.1,15,0.44569276169541405,0.45484768771815454,2.012745424444873
2.5,0.1,20,0.3737870591861681,0.38727116676411855,3.4818258458583884
2.5,0.25,7,0.6589642932563363,0.6587713451095493,-0.029289092219841883
2.5,0.25,10,0.5381553061265384,0.5623805139402958,4.307618634227639
2.5,0.25,15,0.43221471925995997,0.45860333003500187,5.7541254166270095
2.5,0.25,20,0.36238410082496975,0.3950777776457553,8.275250765964415
2.5,0.5,7,0.6054534335310751,0.620832482165253,2.477165592325492
2.5,0.5,10,0.5168049671207221,0.5743952296909672,10.026243184719608
2.5,0.5,15,0.419487406715546,0.4732187239013248,11.354436008534352
2.5,0.5,20,0.37445661258521196,0.4148466623038539,9.736139491718587
2.5,0.75,7,0.6157632441715418,0.7081860500897307,13.050639151460054
2.5,0.75,10,0.5247562375283934,0.5894203824467896,10.970802307508231
2.5,0.75,15,0.39195867458448136,0.4590446675690381,14.614262559638025
2.5,0.75,20,0.3415719702094806,0.4230263438351507,19.255153919542202
2.5,1.0,7,0.5710263832094566,0.6291999158909849,9.24563580069
2.5,1.0,10,0.5125153689873624,0.5649871866437686,9.28725799395701
2.5,1.0,15,0.4182856981975252,0.4726352487433005,11.499258823857595
2.5,1.0,20,0.3591757887242066,0.41276398159794475,12.9827686675278
3.0,0.1,7,0.6628791952779997,0.683773237450366,3.0556975658005303
3.0,0.1,10,0.5350701791506923,0.577934839288272,7.416867304689168
3.0,0.1,15,0.46671916855014167,0.4866085050945307,4.087338453018862
3.0,0.1,20,0.42189606001161933,0.4527138339552262,6.807340892227909
3.0,0.25,7,0.6524033300710212,0.6846642218339591,4.711928962276291
3.0,0.25,10,0.5514244820604103,0.6016727106933584,8.351422249987506
3.0,0.25,15,0.46486783954117467,0.49591585725653525,6.260743079909137
3.0,0.25,20,0.3904962755072386,0.43842243070454895,10.931501638794483
3.0,0.5,7,0.6523912029861556,0.714814943634986,8.732853335632907
3.0,0.5,10,0.5381319777111834,0.5829193577304811,7.683289193495202
3.0,0.5,15,0.4893114806371097,0.5403338126690165,9.442742770414158
3.0,0.5,20,0.41281504924740725,0.4611160985579927,10.474813059364664
3.0,0.75,7,0.6391820345494702,0.6997530204717884,8.656052085560129
3.0,0.75,10,0.5256902530673991,0.5974780601743637,12.015136938419879
3.0,0.75,15,0.4510905834499748,0.5155370444391031,12.500839985077128
3.0,0.75,20,0.3915523230096046,0.454892604464375,13.924227572209503
3.0,1.0,7,0.6481097917749419,0.7290352083820802,11.100344081698477
3.0,1.0,10,0.5166024537618427,0.5919851946299247,12.733889555330357
3.0,1.0,15,0.4544965108953973,0.5218048316019809,12.899137116063475
3.0,1.0,20,0.39392836177235324,0.4592720578189507,14.227666354646063
3.5,0.1,7,0.6700476672463825,0.731024108686841,8.341235359527621
3.5,0.1,10,0.5833029006710743,0.6476641867583264,9.937447122001863
3.5,0.1,15,0.46965851079094995,0.5141275260756165,8.649413429407815
3.5,0.1,20,0.4423252469020886,0.4909098034610654,9.896839748654585
3.5,0.25,7,0.6533872320299253,0.7385974148060416,11.53675616350387
3.5,0.25,10,0.5743278204337955,0.6454331627279352,11.016685599731446
3.5,0.25,15,0.4855330885271034,0.5457639078997452,11.03605762506852
3.5,0.25,20,0.4206387767132774,0.4845531261304618,13.190369841918226
3.5,0.5,7,0.7044804952759032,0.7590476329407014,7.1888950438320105
3.5,0.5,10,0.5695955623822316,0.6263869829145017,9.066507140366575
3.5,0.5,15,0.515264106085501,0.5704877918724611,9.68008195332355
3.5,0.5,20,0.4569918987564034,0.5018525649870782,8.93901304097746
3.5,0.75,7,0.66832757109378,0.7458209062175433,10.390340962252365
3.5,0.75,10,0.5671451280556528,0.624344745409578,9.161543806443273
3.5,0.75,15,0.47070701770989953,0.5435962030617411,13.408700233979165
3.5,0.75,20,0.40866048531978455,0.4865013430047216,16.000132127935686
3.5,1.0,7,0.677352979094357,0.7557727132211701,10.376100215709204
3.5,1.0,10,0.5600984654658934,0.6428605280218532,12.874030827592897
3.5,1.0,15,0.4623936628318714,0.5445320178128001,15.084210348337379
3.5,1.0,20,0.45277166684867615,0.5209248166927352,13.083106747870454
4.0,0.1,7,0.7197003372100892,0.8106896687554037,11.223694473003976
4.0,0.1,10,0.6138476082952966,0.7005376362932928,12.374785237334752
4.0,0.1,15,0.5372969723090923,0.6197129049571365,13.29905057467612
4.0,0.1,20,0.47430646852776076,0.5498368291335998,13.736868213221598
4.0,0.25,7,0.7595635222987734,0.8694139286336519,12.634994991110437
4.0,0.25,10,0.6246192495200691,0.7215681276076545,13.435859259612482
4.0,0.25,15,0.518618309449266,0.6086150398049834,14.787135458327615
4.0,0.25,20,0.47795830100342096,0.5829647598008035,18.012488239128356
4.0,0.5,7,0.7468687896247929,0.7956840539212532,6.135005980815023
4.0,0.5,10,0.641043734234502,0.7125044863043019,10.029516086342205
4.0,0.5,15,0.5600463592250849,0.627386287825721,10.733407775616255
4.0,0.5,20,0.49423620303382504,0.539495869072998,8.389251639116612
4.0,0.75,7,0.7133387037266884,0.8100516697476027,11.939110754632265
4.0,0.75,10,0.5984481020452428,0.6873760311091854,12.937304334054822
4.0,0.75,15,0.5249623792709325,0.6166347099034483,14.866553757064649
4.0,0.75,20,0.455508763358721,0.5478266438550434,16.85165946779873
4.0,1.0,7,0.68681664840371,0.7955383616524755,13.666432505269889
4.0,1.0,10,0.627378488289423,0.7333955571185244,14.455646451641647
4.0,1.0,15,0.5179468887616587,0.6113164910295137,15.273529119198448
4.0,1.0,20,0.43149802753232125,0.5290941419095833,18.44588829220872
4.5,0.1,7,0.7471964560186911,0.8485593715583196,11.945294452818622
4.5,0.1,10,0.6479649341151862,0.7621248919077437,14.979166670018273
4.5,0.1,15,0.5476094019657902,0.6572004205533034,16.675433423375996
4.5,0.1,20,0.49044824161392997,0.6085647822782491,19.40903320467099
4.5,0.25,7,0.7302666852486873,0.8515917953578619,14.24686226083126
4.5,0.25,10,0.6113804286349374,0.7502715732732038,18.51211609048803
4.5,0.25,15,0.5130202245611396,0.648072771900854,20.839102211252214
4.5,0.25,20,0.4644834368466741,0.5953799808468667,21.985378785159316
4.5,0.5,7,0.8133188212462139,0.8750544347439051,7.055059782167595
4.5,0.5,10,0.7076687219526138,0.7827357447599419,9.590340457794033
4.5,0.5,15,0.6052164923264312,0.6869150130977263,11.893541298925147
4.5,0.5,20,0.5493701512270391,0.6112928111457214,10.129787033258763
4.5,0.75,7,0.7537032926252292,0.8592161026203329,12.280124833941485
4.5,0.75,10,0.662419147804637,0.7555463232991263,12.325806191186983
4.5,0.75,15,0.5886246157020745,0.6905568967011397,14.760880889902928
4.5,0.75,20,0.5220266555647656,0.6322956886032058,17.43947254836322
4.5,1.0,7,0.726327746975813,0.8552571081177538,15.074924244206278
4.5,1.0,10,0.6354959092124383,0.7622887077106558,16.633172866879807
4.5,1.0,15,0.5316378991843752,0.6544204541235984,18.76202893194313
4.5,1.0,20,0.4747101565501149,0.5980013406915891,20.617208650216035
5.0,0.1,7,0.7984570327336812,0.9059205053408329,11.862351274047045
5.0,0.1,10,0.6657818404943816,0.8133882033734741,18.147099044085568
5.0,0.1,15,0.6335153063555623,0.7505442369998937,15.592542701030421
5.0,0.1,20,0.5145869591442922,0.6433416371511014,20.013422196171117
5.0,0.25,7,0.782759280754861,0.9114616391961793,14.12043611125766
5.0,0.25,10,0.7119814254698481,0.8601063964713108,17.221703222899297
5.0,0.25,15,0.5571655191923561,0.7256294237346608,23.216244963614706
5.0,0.25,20,0.5081964400521594,0.6618231119656762,23.212648385341417
5.0,0.5,7,0.8497505086753548,0.9069568272702784,6.307501842959907
5.0,0.5,10,0.7346082213396299,0.8099971522053285,9.307308138114056
5.0,0.5,15,0.6558723826004443,0.7441226839064092,11.859644009597803
5.0,0.5,20,0.6137092480078682,0.6862947230244775,10.576429131893594
5.0,0.75,7,0.7841041643165658,0.91234994686295,14.056643833580317
5.0,0.75,10,0.7344852957130913,0.8322269562014294,11.744591996210351
5.0,0.75,15,0.6014358515014862,0.7365161546235133,18.340439958316523
5.0,0.75,20,0.5466545451179726,0.6719983453839239,18.652397156475175
5.0,1.0,7,0.741096169437608,0.8775129223054742,15.545839770594016
5.0,1.0,10,0.6812473548144519,0.8348125547869589,18.395171358161512
5.0,1.0,15,0.5598491754835422,0.7056725616210526,20.664454602362426
5.0,1.0,20,0.5667266578317974,0.7019968314884816,19.269342479774952
