method,display_label,n_samples,J1,mean_loss,q05_sqrt_loss,q25_sqrt_loss,q50_sqrt_loss,q75_sqrt_loss,q95_sqrt_loss
No offset,$\delta=0$,48000,0.9481489946404543,0.8989865160377043,0.14736593396134418,0.33924136591301385,0.6216854650585323,1.040161724706535,1.8731537699533891
Default,$\delta=0.10$,48000,0.6304091999323665,0.3974157593593665,0.13221272994524708,0.2894908270956043,0.4865567670529511,0.7541139301440384,1.1248921083023233
Adaptive,Adaptive,48000,0.5845531935428129,0.3417024360811013,0.12879905266239186,0.2822224478563715,0.4487558392168829,0.667406413271522,1.0837767674731014
