selected_delta,count
0.0,23529
0.02,31807
0.04,15610
0.06,9936
0.08,9436
0.1,7470
0.12,6757
0.14,5822
0.16,4971
0.18,4829
0.2,3196
0.22,2566
0.24,2123
0.26,2301
0.28,1646
0.3,1261
0.32,1376
0.34,1899
0.36,1128
0.38,1031
0.4,779
0.42,971
0.44,939
0.46,1210
0.48,716
0.5,691
