n,K,jparam_bound,jparam,oracle_gap,acc_mean,acc_beta,acc_eta,acc_gamma,time
5,5,1.094202589136505,0.6142087129883128,-0.4799938761481922,0.4226666666666667,0.354,0.552,0.362,4.18955135345459
5,10,0.45247376578787374,0.6050510656767317,0.152577299888858,0.21466666666666664,0.16,0.292,0.192,7.939989805221558
5,20,0.17768667685440295,0.6134896566698667,0.4358029798154637,0.12733333333333333,0.078,0.182,0.122,14.135303974151611
5,50,0.07407878964728944,0.6256283398929235,0.5515495502456341,0.042666666666666665,0.028,0.064,0.036,34.10001993179321
7,5,1.094202589136505,0.5999386369257846,-0.4942639522107204,0.436,0.396,0.554,0.358,4.428835868835449
7,10,0.45247376578787374,0.5897119881834203,0.13723822239554656,0.23866666666666667,0.184,0.32,0.212,8.55655550956726
7,20,0.17768667685440295,0.580816732222665,0.4031300553682621,0.12666666666666668,0.098,0.18,0.102,15.277561902999878
7,50,0.07407878964728944,0.5838961143125306,0.5098173246652412,0.04466666666666667,0.03,0.066,0.038,33.99820160865784
10,5,1.094202589136505,0.5568358836596379,-0.5373667054768672,0.44,0.398,0.558,0.364,4.402265548706055
10,10,0.45247376578787374,0.5376398652759173,0.0851660994880436,0.26066666666666666,0.202,0.384,0.196,7.488181114196777
10,20,0.17768667685440295,0.5394304589401877,0.3617437820857847,0.13466666666666666,0.104,0.19,0.11,14.94069528579712
10,50,0.07407878964728944,0.5527468984451852,0.4786681087978958,0.05533333333333334,0.044,0.086,0.036,33.78303360939026
15,5,1.094202589136505,0.5002336205331207,-0.5939689686033843,0.4546666666666666,0.388,0.572,0.404,4.311045169830322
15,10,0.45247376578787374,0.479538801576824,0.027065035788950254,0.24133333333333332,0.168,0.354,0.202,8.037160873413086
15,20,0.17768667685440295,0.4805498208298609,0.302863143975458,0.136,0.094,0.19,0.124,15.626642942428589
15,50,0.07407878964728944,0.48836632509125494,0.4142875354439655,0.04933333333333333,0.044,0.072,0.032,46.0542848110199
20,5,1.094202589136505,0.4323729844961754,-0.6618296046403296,0.48533333333333334,0.43,0.586,0.44,5.881037950515747
20,10,0.45247376578787374,0.4147053131100839,-0.03776845267778983,0.2866666666666667,0.232,0.396,0.232,15.0490882396698
20,20,0.17768667685440295,0.4250561237015358,0.24736944684713283,0.13999999999999999,0.106,0.182,0.132,32.02275252342224
20,50,0.07407878964728944,0.4347994771812905,0.36072068753400105,0.056,0.028,0.104,0.036,75.70577216148376
50,5,1.094202589136505,0.34897342360013617,-0.7452291655363689,0.584,0.542,0.69,0.52,8.993809461593628
50,10,0.45247376578787374,0.3117494580497134,-0.14072430773816036,0.3466666666666667,0.316,0.426,0.298,16.732033252716064
50,20,0.17768667685440295,0.3105519822074109,0.13286530535300797,0.18333333333333335,0.15,0.246,0.154,23.235723972320557
50,50,0.07407878964728944,0.3244981935535324,0.25041940390624295,0.07066666666666667,0.052,0.114,0.046,37.98647880554199
