n,method,jparam,acc_mean,acc_beta,acc_eta,acc_gamma,time
5,hier_hard,0.6652179681777117,0.256,0.19,0.368,0.21,11.559900522232056
5,hier_soft,0.6165466978361468,0.256,0.19,0.368,0.21,11.559900522232056
5,flat_K9,0.6257615901848674,0.27066666666666667,0.202,0.368,0.242,8.018499374389648
5,flat_K10,0.6050510656767317,0.21466666666666664,0.16,0.292,0.192,8.02203917503357
7,hier_hard,0.6839012564310496,0.25866666666666666,0.2,0.378,0.198,10.622486114501953
7,hier_soft,0.6044137757927672,0.25866666666666666,0.2,0.378,0.198,10.622486114501953
7,flat_K9,0.6046873623326885,0.258,0.2,0.358,0.216,7.857953071594238
7,flat_K10,0.5897119881834203,0.23866666666666667,0.184,0.32,0.212,8.86302900314331
10,hier_hard,0.5821868056055354,0.29,0.22,0.418,0.232,10.620521068572998
10,hier_soft,0.5463667368611078,0.29,0.22,0.418,0.232,10.620521068572998
10,flat_K9,0.55091614500455,0.2866666666666667,0.218,0.416,0.226,7.76262354850769
10,flat_K10,0.5376398652759173,0.26066666666666666,0.202,0.384,0.196,8.504207134246826
15,hier_hard,0.528393460990658,0.2966666666666667,0.216,0.416,0.258,10.196005582809448
15,hier_soft,0.48454032415031095,0.2966666666666667,0.216,0.416,0.258,10.196005582809448
15,flat_K9,0.478708255824108,0.29533333333333334,0.214,0.398,0.274,7.834378719329834
15,flat_K10,0.479538801576824,0.24133333333333332,0.168,0.354,0.202,8.41581916809082
20,hier_hard,0.450841629494938,0.332,0.278,0.428,0.29,9.727200269699097
20,hier_soft,0.4180517561615021,0.332,0.278,0.428,0.29,9.727200269699097
20,flat_K9,0.42907704032530936,0.31866666666666665,0.244,0.43,0.282,8.15862250328064
20,flat_K10,0.4147053131100839,0.2866666666666667,0.232,0.396,0.232,8.582523584365845
50,hier_hard,0.33582410766977905,0.4033333333333333,0.336,0.512,0.362,9.746559143066406
50,hier_soft,0.31853376640961545,0.4033333333333333,0.336,0.512,0.362,9.746559143066406
50,flat_K9,0.32057609400032644,0.39599999999999996,0.346,0.488,0.354,7.403116703033447
50,flat_K10,0.3117494580497134,0.3466666666666667,0.316,0.426,0.298,8.313910245895386
