n,jparam_mixed,jparam_single,ratio
5,0.5110969696771119,0.518401842603418,0.9859088600271538
7,0.4873351689016591,0.49014301506105734,0.994271373715183
10,0.45798886166501823,0.4708131863601047,0.9727613306793033
15,0.39991949002150345,0.41240501935468826,0.9697250791158615
20,0.3782131220805932,0.37558878029559967,1.0069872741750383
50,0.29230140972402247,0.2868973857583664,1.0188360864682382
