n,train_time,n_epochs,final_train_loss,final_val_loss,failure_rate,rmse_beta,mae_beta,bias_beta,rmse_eta,mae_eta,bias_eta,rmse_gamma,mae_gamma,bias_gamma,rmse_x095,mae_x095
5,25.00552225112915,114,0.5228942986577749,0.5282303094863892,0.0,1.3372481485927625,1.051584444693372,-0.892140851164241,0.8259537992693956,0.6254795115838826,-0.4474192462247485,0.49628963822389355,0.3838827044015459,0.1308967167031082,0.2525456628041095,0.19266224836824944
7,22.057594776153564,100,0.4893968040123582,0.494252473115921,0.0,1.2291424518204364,0.9545491361152776,-0.7711381958965255,0.7386396966223778,0.5712230213174575,-0.3724435589593523,0.4753670443167606,0.36736886798648344,0.12871192977242793,0.22478790055717524,0.1684271314229358
10,38.527106285095215,134,0.45049140602350235,0.4419460594654083,0.0,1.1252906642825353,0.8624182052246908,-0.6239477099422409,0.6798707877117894,0.5286463196085889,-0.31300271048961814,0.4635379754478517,0.35780894810623887,0.11554716551714267,0.20371747553656602,0.15006882174690747
15,21.53023934364319,79,0.4247833602130413,0.41160812973976135,0.0,1.0096623693080842,0.7824633312796186,-0.5638985833171798,0.667351312683154,0.520067856845411,-0.3633933701795214,0.4225869882214726,0.3233116201162219,0.10807460573726024,0.18797014566081932,0.1406537468347155
20,31.149779081344604,153,0.38836966920644045,0.3586784899234772,0.0,0.9011447913147423,0.6896562494215325,-0.4725020426753952,0.6007464509318376,0.45968491796688316,-0.2929262664598101,0.41780083051874983,0.31069188252186886,0.12736711070351925,0.15893899085847532,0.11038031669716174
50,25.443337202072144,139,0.3195836693048477,0.2665751576423645,0.0,0.6882814459659572,0.5329296045256299,-0.3147688877824738,0.4570051984231347,0.346215932461081,-0.20956565967022117,0.33704718896522357,0.24333048759936365,0.07084044236355151,0.1362266213785972,0.09728202333315819
