n,svm_jparam_center,svm_jparam_proba,bp_jparam,ratio
5,0.6754403316895631,0.6466924604982774,0.5150777060777789,1.255524075042425
7,0.6553170063886767,0.6102211133331029,0.4959714071114479,1.230355428928955
10,0.5878820649644979,0.5565335471861547,0.4607326214460261,1.2079317184866438
15,0.5028397562679523,0.4839738954332961,0.4022121863482111,1.2032800393926917
20,0.4630299514365311,0.4385308598927204,0.3629679745607179,1.2081805851424015
50,0.3600077465462842,0.3264759290496105,0.2808334320069455,1.1625251549165134
