n,beta_mean,beta_std,beta_median,beta_skew,beta_kurt,beta_p5,beta_p25,beta_p75,beta_p95,beta_n_outliers,eta_mean,eta_std,eta_median,eta_skew,eta_kurt,eta_p5,eta_p25,eta_p75,eta_p95,eta_n_outliers,gamma_mean,gamma_std,gamma_median,gamma_skew,gamma_kurt,gamma_p5,gamma_p25,gamma_p75,gamma_p95,gamma_n_outliers,x095_mean,x095_std,x095_median,x095_skew,x095_kurt,x095_p5,x095_p25,x095_p75,x095_p95,x095_n_outliers
5,-0.1961606840002117,0.2978544014311678,-0.2447354339738374,1.1525646021358311,1.845082539165408,-0.5739974894933991,-0.41393275844995253,-0.06434988077920913,0.37614325664976284,4,-0.10586323600701247,0.28059372912993313,-0.13577827010203386,1.2171732862931732,3.5663431532111884,-0.48416190789236546,-0.2906999022897494,0.03921494791553621,0.40415462355780746,4,0.008297953788415403,0.22797881415839635,0.021646023134849587,-0.6492840753404789,0.6692949385921998,-0.4533159264986249,-0.09949051573886566,0.16088788725033049,0.36115057798576067,3,-0.10616720909911372,0.22937537077315465,-0.13446725920581273,2.8944629390663565,22.04752346128109,-0.3994996963514792,-0.23066522480587281,-0.014275474061949654,0.2542923474191722,4
7,-0.16522847326116072,0.2982315350166152,-0.2250742785511214,1.3949321004344553,4.108512883867722,-0.55424374672231,-0.36387335383272995,-0.026064494331316357,0.36399557534135835,3,-0.07644026489444136,0.2723007079570221,-0.11837855669633446,1.2965110793580377,3.7420690399033543,-0.44441619080366396,-0.2563929232541189,0.058589008713309215,0.40298789832871434,4,0.01877930383529255,0.2099250896871629,0.026197470418026544,-0.41465774790250304,0.560367277892122,-0.37179532344883104,-0.09914630217818664,0.15896614854181895,0.35562425280718046,4,-0.07906021273819251,0.2106366981974124,-0.10346687488405368,2.0405127992637313,12.117096596356273,-0.3617852451965533,-0.1879960995769216,0.008683537441996708,0.25112946485516685,4
10,-0.12389559646033893,0.29720940449256095,-0.16319568139758123,1.2846132260462928,3.9316685300212315,-0.5153004201447198,-0.3329615033941013,0.01088187883813811,0.39752763791782175,2,-0.05701904496583155,0.26633445183724735,-0.10536678343242428,1.3660026268527599,3.886528207121616,-0.4069679745851059,-0.2379645328130337,0.08292470618565509,0.42261620254880966,5,0.01030308319220955,0.20999254734752218,0.017864004503715558,-0.5218311511812032,0.7436216200439976,-0.3596822545728067,-0.10235486869600198,0.1437400993702907,0.3335868797259541,3,-0.06067777464916569,0.1946658847641071,-0.08565373687390987,2.5167115727681377,16.65289584442507,-0.3065113895446629,-0.1693187774338965,0.012404843375712472,0.2697980168550301,5
15,-0.12497002401121961,0.24609366886483583,-0.1613541558299284,0.6459133039704553,0.2663367157339982,-0.47163708051346825,-0.31135868789872817,0.0376149507162443,0.3125410646157375,2,-0.09478075951298758,0.22473007807771442,-0.13030493522693753,1.0620318706198855,2.369691428667127,-0.39821881730350095,-0.2447711927278869,0.015516040416657637,0.339866882993347,3,0.010962529102433845,0.18596348639239385,0.020242842089378148,-0.410089782231746,0.46806302611124684,-0.31087181319973206,-0.09410325008508238,0.135934973460614,0.28128222187253127,3,-0.07986727193842103,0.17032914487968104,-0.09591473948633655,2.904171369769053,24.503109388346207,-0.29923567798655853,-0.1713212928660388,-0.01431278660846856,0.1993911596407049,3
20,-0.10194798234046994,0.22970957957053317,-0.1244818081980858,0.6137495419928589,0.12375904572767649,-0.41080267855303226,-0.2837818509196741,0.03182009414438515,0.34786419566228666,0,-0.07089888863059104,0.20781492241788002,-0.08990935270264444,0.605204166606449,0.811264071948965,-0.3736051874455371,-0.2125950816115077,0.0569865024204723,0.2876132106773331,2,0.02732687714104794,0.1708709966218305,0.02153741547644712,-0.09592391110569295,0.42099996432849185,-0.2532969973120049,-0.07153328957798238,0.13822520124991455,0.30980904928379477,2,-0.04173005927942664,0.15351658002603769,-0.04985916720950505,2.9168921442368867,26.310853545666514,-0.2580713611667531,-0.1240797628864207,0.020919067494454588,0.21231283727237102,4
50,-0.07107396778152582,0.17648364162993593,-0.09041613385637659,0.4972044020362176,0.1409976953002965,-0.32073710687677515,-0.20673270552295886,0.05375858412040693,0.21759208711563682,2,-0.06159831154855174,0.15390613670186187,-0.0685276551558202,0.10814057725176388,-0.10159883876263542,-0.2940251036013879,-0.16134663177210332,0.03386113828074652,0.20222822121936954,2,0.01187689795611361,0.13651576532414753,0.0030324220290385423,0.20271434719757972,0.6654810426168587,-0.20959467801779733,-0.06847472813664417,0.09552958674988958,0.23361926881419334,6,-0.049218503786611946,0.1271517447318701,-0.05288763058668436,0.9906947896654463,5.5730834975856745,-0.24899142365245536,-0.10436005447345433,0.00316436270419035,0.1259065604299789,11
