n,j_param,rmse_beta_rel,rmse_eta_rel,rmse_gamma_rel,rmse_beta_abs,rmse_eta_abs,rmse_gamma_abs,mae_beta,mae_eta,mae_gamma,bias_beta,bias_eta,bias_gamma,rmse_x095,mae_x095,failure_rate,train_time
5,0.5150777060777789,0.35335449359465004,0.30430906172524413,0.21872731906809606,1.298034707584772,0.7891544648912747,0.4963740921410977,1.0138998415574991,0.6015825513355647,0.3803362769327251,-0.8411267901901199,-0.4075157604497545,0.1586996802728685,0.2492609522239781,0.1817356643601184,0.0,20.20145392417908
7,0.4959714071114479,0.3474430182302115,0.2838080259031393,0.2114804723565594,1.2369962910112675,0.7054902271307795,0.4769710135847331,0.9615037839243682,0.545898325195068,0.3708555918282518,-0.7595276128295853,-0.325097649006235,0.1318423230987104,0.2207744627295612,0.1641855553147029,0.0,15.61480975151062
10,0.46073262144602617,0.3180697362143756,0.2647373179534965,0.20253479664451268,1.1037094679040735,0.662275587332533,0.4615536591164384,0.8464404245604153,0.5161546188175584,0.3549154313425091,-0.597067893886943,-0.3237381559890383,0.1265875222127946,0.1948722353262185,0.1463955957977246,0.0,9.692265272140505
15,0.4022121863482111,0.27584718665313007,0.23091356424958936,0.17989413083286535,1.037856379035924,0.6249073725561508,0.4273309745768677,0.7897325264887279,0.4822516468282984,0.3245305160172773,-0.6121344982627823,-0.3285637982171648,0.1374668228369268,0.1723009219493935,0.1256345303758634,0.0,23.663631916046143
20,0.3629679745607179,0.24440876336679257,0.20714551181016658,0.17058969453964473,0.8778202845067224,0.5556297509410165,0.4144563294794234,0.67014002041808,0.4225747081221276,0.3103161508640812,-0.4345062569621994,-0.2477539100926988,0.1429344467263731,0.1652582695391793,0.1052618482310356,0.0,21.847686529159542
50,0.2808334320069455,0.18471531512034936,0.16274345741542462,0.1351378405971606,0.7094620349983629,0.4781637738662515,0.3344455033061349,0.5303118111818144,0.3556399333848972,0.2412760974702005,-0.3580112563613846,-0.2609632221740359,0.0851519608836683,0.1339293489161048,0.0875895295267669,0.0,21.955209732055664
