K,bound_beta,bound_eta,bound_gamma,bound_jparam
5,0.11509569604612206,0.1903830249715681,1.0713480249794485,1.094202589136505
10,0.05662727892155178,0.09511932606518063,0.438723345420672,0.45247376578787374
20,0.025224077801394327,0.04735867776600958,0.16939143033484752,0.17768667685440295
