n,jparam_bp_raw,jparam_bp_feature,jparam_svm,jparam_hybrid,jparam_oracle,rmse_beta,rmse_eta,rmse_gamma,bias_beta,bias_eta,bias_gamma,rmse_x095
5,0.5150777060777789,0.5184018430295596,0.6466924604982774,0.6729476515797337,0.1116588619834153,0.35335449359465,0.3043090617252441,0.218727319068096,-0.8411267901901199,-0.4075157604497545,0.1586996802728685,0.2492609522239781
7,0.4959714071114479,0.4901430153574416,0.6102211133331029,0.6517158732546772,0.1103334566203843,0.3474430182302115,0.2838080259031393,0.2114804723565594,-0.7595276128295853,-0.325097649006235,0.1318423230987104,0.2207744627295612
10,0.4607326214460261,0.4708131852970176,0.5565335471861547,0.581514140335834,0.1128269917804229,0.3180697362143756,0.2647373179534965,0.2025347966445126,-0.597067893886943,-0.3237381559890383,0.1265875222127946,0.1948722353262185
15,0.4022121863482111,0.4124050196089903,0.4839738954332961,0.4954480129081273,0.1149022627149869,0.27584718665313,0.2309135642495893,0.1798941308328653,-0.6121344982627823,-0.3285637982171648,0.1374668228369268,0.1723009219493935
20,0.3629679745607179,0.3755887794894314,0.4385308598927204,0.4562710360972898,0.1124546939673484,0.2444087633667925,0.2071455118101665,0.1705896945396447,-0.4345062569621994,-0.2477539100926988,0.1429344467263731,0.1652582695391793
50,0.2808334320069455,0.2868973861656399,0.3264759290496105,0.3501964410058828,0.109581333700848,0.1847153151203493,0.1627434574154246,0.1351378405971606,-0.3580112563613846,-0.2609632221740359,0.0851519608836683,0.1339293489161048
