train_repeats,n,fold,seed,p_mse,q_mse,q_minus_p_mse
180,7,1,42,0.04055187458410536,0.039258311750997366,-0.0012935628331079974
180,7,3,42,0.04376814390351528,0.042752381739594586,-0.001015762163920693
180,10,1,42,0.030857310886790414,0.027948590423995487,-0.0029087204627949274
180,10,3,42,0.030004882486598477,0.029526678308952673,-0.00047820417764580375
180,15,1,42,0.023026498458641728,0.020205587945767392,-0.002820910512874336
180,15,3,42,0.023861001158553333,0.022581199076843077,-0.0012798020817102566
180,20,1,42,0.014451904582628862,0.013995176067365911,-0.00045672851526295036
180,20,3,42,0.01483100276623786,0.014398836934743168,-0.0004321658314946925
360,7,1,42,0.039795061375166856,0.036712420912520534,-0.0030826404626463216
360,7,3,42,0.04414371946182528,0.042034871138663374,-0.0021088483231619035
360,10,1,42,0.03175734008071392,0.02830681097168533,-0.0034505291090285856
360,10,3,42,0.02952685531808985,0.028989418601505636,-0.0005374367165842144
360,15,1,42,0.02248962207018059,0.020041687270353367,-0.002447934799827224
360,15,3,42,0.02403534660826352,0.022482398605947376,-0.0015529480023161422
360,20,1,42,0.014011069403800636,0.013670783034745308,-0.00034028636905532837
360,20,3,42,0.014575201781734232,0.014177967201240956,-0.0003972345804932765
720,7,1,42,0.040327433522099214,0.03647985571870027,-0.0038475778033989425
720,7,3,42,0.04502177371490901,0.04186263451980728,-0.0031591391951017248
720,10,1,42,0.030543127504438605,0.02761564701384381,-0.0029274804905947936
720,10,3,42,0.029768422040662598,0.02871334402686288,-0.0010550780137997158
720,15,1,42,0.021402385451898372,0.01956088448200528,-0.0018415009698930923
720,15,3,42,0.023951876218769576,0.022230762866638994,-0.0017211133521305814
720,20,1,42,0.014265750561945637,0.013669840113172385,-0.000595910448773251
720,20,3,42,0.014147496939800911,0.013956495845346778,-0.00019100109445413342
