delta,mse,mse_beta,mse_eta,mse_gamma,est_beta,est_eta,est_gamma,failure
0.001,0.30822825005928084,0.015693994598071494,0.11187317846197045,0.1806610769992389,2.2505513488135436,665.5255189674847,1425.0424414093713,
0.003,0.3142985376726684,0.012325361178108373,0.11615725706705143,0.1858159194275086,2.2220392864166914,659.1814895475138,1431.0637069245201,
0.005,0.3197335553203313,0.009844329842891849,0.11976074882751622,0.19012847664992324,2.1984371925107977,653.9353401060487,1436.0372422740095,
0.007,0.32555140500192503,0.007637642442910532,0.12342325657893116,0.19449050598008333,2.174787212837902,648.6835378480946,1441.010777623499,
0.009000000000000001,0.3317541321587565,0.0057069653254793185,0.1271451594152887,0.19890200741798847,2.1510889185278566,643.4258009680332,1445.9843129729884,
0.011,0.3383436554184236,0.0040538890504797824,0.13092678540430475,0.20336298096363906,2.1273403164827194,638.1619348323,1450.957848322478,
0.013000000000000001,0.3453218912818342,0.002680041783476748,0.13476842288132262,0.20787342661703484,2.1035382399594806,632.8918103864712,1455.9313836719675,
0.015,0.35001697167986245,0.0019447921999036165,0.1372713771088955,0.2108008023710633,2.088199596368773,629.498478938486,1459.1304851249406,
0.017,0.3546525208109871,0.0013517313715223128,0.13968524122424056,0.2136155482152242,2.0735317991490025,626.255112109556,1462.1856209524742,
0.019000000000000003,0.35943644947325265,0.000865531479527826,0.14212195622449064,0.21644896176923417,2.058839832750538,623.0093419930798,1465.2407567800076,
0.021,0.36436974292294355,0.00048682107734801923,0.14458187881250176,0.21930104303309375,2.044128044477317,619.7607610825761,1468.2958926075412,
0.023,0.3694527203429252,0.0002159850809370728,0.1470649432551854,0.2221717920068027,2.0293928617822132,616.5095265131279,1471.3510284350748,
0.025,0.3746861687033242,5.35562956921157e-05,0.14957140371727112,0.22506120869036098,2.0146364334032736,613.2553766149151,1474.4061642626084,
0.027000000000000003,0.38007063936592134,5.064426647833578e-09,0.1521013412177263,0.2279692930837684,1.9998576704296664,609.9982804938851,1477.4613000901418,
0.029,0.3856065593854683,5.585771257783968e-05,0.15465465648586502,0.23089604518702544,1.985052396502738,606.7384375687537,1480.5164359176754,
0.031,0.391294887852244,0.00022162853991197225,0.15723179431220016,0.2338414650001318,1.970225612354779,603.4753547228115,1483.571571745209,
0.033,0.39580829686097974,0.00042602742451081375,0.15924537712183356,0.2361368923146354,1.958719136418393,600.9443934464351,1485.9391858192087,
0.035,0.3994312649117107,0.0006341391171247666,0.16084276130261768,0.23795436449196827,1.9496357620081564,598.9479319307558,1487.8056626280268,
0.037000000000000005,0.4031117576059399,0.000883720286156236,0.1624492331791266,0.23977880414065708,1.9405451335496837,596.9500859953862,1489.672139436845,
0.039,0.40684985068769436,0.0011749494077439265,0.1640646900192491,0.24161021126070134,1.9314449299396776,594.9510029400775,1491.5386162456632,
0.041,0.41064571283834805,0.0015079613781501817,0.1656891656080965,0.24344858585210138,1.9223350432138102,592.9506594918787,1493.4050930544813,
0.043000000000000003,0.4144995210871937,0.00188288264587301,0.16732271052646341,0.24529392791485727,1.9132156086413459,590.949012314524,1495.2715698632996,
0.045,0.41841145103451094,0.002299839830748278,0.16896537375479395,0.24714623744896871,1.9040867093516591,588.9460208746375,1497.1380466721178,
0.047,0.42238166832659013,0.0027589980008085623,0.17061715587134568,0.2490055144544359,1.89494767016751,586.9417040279354,1499.0045234809359,
0.049,0.4264103559870678,0.003260503548325149,0.17227809350748371,0.2508717589312589,1.8857983616873182,584.9360368479531,1500.8710002897542,
0.051000000000000004,0.4304976950147375,0.003804565387757413,0.17394815874754255,0.25274497087943754,1.876637681802628,582.9290722820127,1502.7374770985723,
0.053000000000000005,0.4346438949658078,0.004391097678808883,0.1756276469880271,0.2546251502989718,1.8674692838801679,580.9204765345519,1504.6039539073904,
0.055,0.43884912452907016,0.005020482354885115,0.17731634498432297,0.25651229718986207,1.8582892755662421,578.9105261534991,1506.4704307162087,
0.057,0.44311358588806016,0.005692793577346838,0.17901438075860565,0.25840641155210764,1.849098792882935,576.899089154129,1508.3369075250268,
0.059000000000000004,0.4474374776816359,0.006408185562644389,0.18072179873328242,0.2603074933857091,1.8398977131625611,574.8861343906995,1510.203384333845,
0.061,0.45182100252959256,0.00716681505652698,0.18243864478239916,0.26221554269066644,1.8306859124995563,572.8716296212588,1512.0698611426633,
0.063,0.4557685564657887,0.007877736588185092,0.18397301571690672,0.2639178041606969,1.8224867713303023,571.0792430799056,1513.7293102020722,
0.065,0.4584737559953802,0.008379645748084157,0.18501828185994645,0.26507582838734955,1.816919189994318,569.8624849423775,1514.855152821985,
0.067,0.4612008428916883,0.008897433908911227,0.18606702132556538,0.26623638765721164,1.8113475798309364,568.6451329525012,1515.9809954418977,
0.069,0.46394986448413855,0.009431136341871585,0.18711924617198342,0.26739948197028357,1.8057719243582784,567.4271781861655,1517.1068380618105,
0.07100000000000001,0.46672086880458474,0.009980789408849729,0.18817496806916986,0.26856511132656513,1.8001921982619324,566.2086122694806,1518.2326806817234,
0.07300000000000001,0.4695139232166992,0.010546498541335336,0.18923414894930757,0.2697332757260563,1.7946077066554313,564.9894840934215,1519.3585233016363,
0.075,0.47232902086206396,0.01112809540133909,0.19029695029196805,0.2709039751687568,1.7890204237245786,563.769613286777,1520.484365921549,
0.077,0.4751662677023384,0.011725823131504342,0.19136323491616683,0.27207720965466725,1.7834283201200642,562.5491628580797,1521.6102085414618,
0.079,0.4780257106970531,0.01233969953807067,0.19243303197519507,0.2732529791837873,1.7778315995640184,561.3281044160738,1522.7360511613747,
0.081,0.4809073891958031,0.012969721441576681,0.19350638399810938,0.27443128375611703,1.7722306303158681,560.106394683772,1523.8618937812876,
0.083,0.4838113506100995,0.013615914250812128,0.19458331298763132,0.2756121233716561,1.7666255005291955,558.8840141327552,1524.9877364012002,
0.085,0.4867376499567223,0.014278325404161173,0.19566382652215608,0.27679549803040504,1.76101610594719,557.6609597580651,1526.113579021113,
0.08700000000000001,0.48968619189003065,0.014956581514142333,0.19674820264352474,0.2779814077323636,1.7554057930846085,556.4369237148737,1527.239421641026,
0.089,0.4926573172231563,0.01565153298947429,0.19783593175615022,0.2791698524775318,1.7497878261197166,555.2124869601776,1528.3652642609388,
0.091,0.4956509396641341,0.016362817174558564,0.1989272902236663,0.28036083226590924,1.744165544349018,553.987342978177,1529.4911068808515,
0.093,0.49866711365513006,0.01709047324705321,0.2000222933105802,0.28155434709749666,1.7385389264379632,552.76148051562,1530.6169495007643,
0.095,0.5017058664695803,0.017834470625638515,0.201120998871648,0.28275039697229376,1.7329084754198403,551.5348409612537,1531.7427921206772,
0.097,0.5047673323293003,0.018595047052265154,0.2022233033867346,0.28394898189030043,1.727272685253089,550.307545775188,1532.86863474059,
0.099,0.507851488526471,0.019372043584852894,0.20332934309010156,0.2851501018515165,1.7216330221822072,549.0794492484274,1533.9944773605027,
0.101,0.5109584961708178,0.02016575174696433,0.204438987567911,0.28635375685594244,1.7159876640216885,547.8507021260444,1535.1203199804156,
0.10300000000000001,0.5140882367803876,0.020975791368313224,0.20555249850849644,0.287559946903578,1.7103395686786804,546.621021099901,1536.2461626003285,
0.10500000000000001,0.5172408267793096,0.02180234852673824,0.20666980625814826,0.2887686719944231,1.7046876329935488,545.3904903566707,1537.3720052202414,
0.107,0.5204165068468595,0.022645879319098408,0.20779069539928346,0.2899799321284776,1.6990290424702184,544.1593530637231,1538.497847840154,
0.109,0.5236150793653853,0.023505836872082422,0.20891551518756088,0.29119372730574206,1.6933677324736849,542.9272320652204,1539.6236904600669,
0.111,0.5268367998407013,0.024382702865797606,0.21004403944868758,0.2924100575262161,1.6877007661501706,541.6943820454657,1540.7495330799798,
0.113,0.5300816976037233,0.02527644294125409,0.21117633187256937,0.29362892278989977,1.6820286620385159,540.4607395743326,1541.8753756998926,
0.115,0.5321168301426429,0.025842220543176697,0.21188435837680378,0.2943902512226624,1.6784896857444433,539.6910185790377,1542.5774149581443,
0.117,0.5340480363743623,0.026382785916911962,0.21255474215782028,0.2951105082996301,1.6751444264482325,538.9634047520519,1543.2407461702685,
0.11900000000000001,0.5359873443721593,0.026929258043843766,0.2132264409351238,0.2958316453931918,1.6717972697015226,538.2355135622448,1543.9040773823926,
0.121,0.5379347476051394,0.027481603418659403,0.2138994816831323,0.29655366250334764,1.668448475083227,537.5073171571984,1544.567408594517,
0.123,0.5398902593797521,0.028039831099337057,0.21457386865031777,0.29727655963009725,1.6650980376328794,536.7788123905408,1545.2307398066412,
0.125,0.5418538930982537,0.028603950169675183,0.2152496061551377,0.2980003367734408,1.6617459524577707,536.0499960608496,1545.8940710187653,
0.127,0.5438256622593325,0.029173969738415444,0.21592669858753882,0.29872499393337826,1.658392214734995,535.320864910486,1546.5574022308895,
0.129,0.5458055804585705,0.02974989893797022,0.21660515041069028,0.29945053110991,1.6550368197156675,534.5914156241955,1547.2207334430138,
0.131,0.5477936613888887,0.030331746923097504,0.2172849661627559,0.3001769483030354,1.6516797627291948,533.86164482768,1547.884064655138,
0.133,0.5497899188414918,0.030919522870539343,0.21796615045819767,0.30090424551275474,1.6483210391818166,533.1315490866858,1548.5473958672621,
0.135,0.5517943673973233,0.031513237376438366,0.2186487072818166,0.30163242273906843,1.644960636681292,532.4011256623722,1549.2107270793865,
0.137,0.5538070203759861,0.03211289828683432,0.219332642107176,0.3023614799819757,1.6415985586701174,531.6703702442306,1549.8740582915107,
0.139,0.5558278918120967,0.03271851472736147,0.22001795984325823,0.3030914172414769,1.6382348014119574,530.9392791511335,1550.5373895036348,
0.14100000000000001,0.5578569958915043,0.03333009594386289,0.22070466543006928,0.3038222345175721,1.6348693606728524,530.2078486925635,1551.200720715759,
0.14300000000000002,0.5598943469014994,0.03394765119849988,0.22139276389273793,0.3045539318102615,1.6315022323079833,529.4760751112246,1551.8640519278833,
0.14500000000000002,0.5619399592314183,0.034571189768397396,0.22208226034347625,0.30528650911954464,1.6281334122651114,528.7439545815075,1552.5273831400075,
0.147,0.5639938473730923,0.035200720943916824,0.22277315998375388,0.3060199664454217,1.624762896589813,528.0114832077438,1553.1907143521316,
0.149,0.5660560183948598,0.03583623930494575,0.22346547530202135,0.3067543037878927,1.6213907591991672,527.2786494117054,1553.8540455642558,
0.151,0.5681264747448534,0.03647773050070757,0.22415922309718792,0.30748952114695793,1.6180171181808924,526.5454371355283,1554.5173767763802,
0.153,0.5702052512422413,0.03712524315455306,0.22485438956507134,0.3082256185226169,1.6146417606716936,525.8118626904809,1555.1807079885043,
0.155,0.5722923628822104,0.037778786737324876,0.2255509802300158,0.30896259591486974,1.611264682657596,525.0779219387503,1555.8440392006285,
0.157,0.5743878247667389,0.03843837072634302,0.22624900071667886,0.30970045332371693,1.6078858802524805,524.343610663455,1556.5073704127528,
0.159,0.576491652105626,0.039104004604546265,0.22694845675192202,0.31043919074915777,1.6045053496971355,523.6089245673026,1557.170701624877,
0.161,0.5786041847346416,0.039776317091763505,0.2276490594516856,0.3111788081911925,1.601119982492161,522.8741681152806,1557.8340328370011,
