budget_policy,domain_id,domain_label,train_beta_min,train_beta_max,train_beta_width,n_train_per_n,point_type,n_total,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.90_rmse,x0.95_rmse,x0.99_rmse
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,in_domain_unseen,12000,12000,0.0,0.2348285306571454,-0.024281808997750762,0.08377129591416282,0.08721611929477192,-0.03450351175192731,0.1574832830486296,0.16121231346980558,0.02730628991821813,0.1442375733601805,0.1467936556240329,0.12477490449596274,0.1579689307003373,0.2545445418510845
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,left_ood,42000,42000,0.0,1.3039849954339615,0.8114169130509209,0.5668434627899362,0.9897985996245362,0.4575484641092119,0.6300435133691251,0.778650097567427,-0.24257561713536338,0.23566505545290412,0.3382005707512219,0.7256945465110592,0.6363195959476007,0.48480413852198045
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,right_ood,54000,54000,0.0,0.46304904259931545,-0.3443630029334914,0.08563326532535619,0.3548503883643343,-0.15286536143398569,0.1516531015052655,0.21532778738783145,0.14080464679190427,0.14934532529615274,0.20525487012123392,0.09609440385589052,0.11095760488986352,0.154429681502142
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,train_grid,18000,18000,0.0,0.2579921049778565,-0.015406433194473197,0.1265112059760057,0.12744235657691294,-0.029844111185136663,0.16351512486562186,0.16621185767709115,0.024781200749556954,0.14859040700912893,0.15063860842612262,0.12784546644286998,0.16094992406279712,0.2557975377412974
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,in_domain_unseen,24000,24000,0.0,0.2919649168013705,-0.04114760569284303,0.16656856296359987,0.17157230422406594,-0.03831497518207583,0.17233113224722257,0.17653560277561173,0.021845854334572593,0.1554522549174981,0.1569765524488521,0.1297126317755997,0.1614181934965455,0.2554987551943614
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,left_ood,30000,29999,3.333333333332966e-05,1.0791754630432833,0.6721067419056519,0.4661817346903023,0.8179520999741267,0.3924916955776434,0.5124253536542762,0.6454616341931225,-0.2123881866001516,0.18383555218649075,0.2808970015867964,0.44865132099498906,0.43607743386620446,0.498963466960424
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,right_ood,42000,42000,0.0,0.4549086918363813,-0.33734268897881714,0.08185721659697566,0.34713186857198064,-0.1472847755019703,0.15522487022477852,0.2139789516429016,0.12907837621236184,0.15489911574191637,0.20162934306250585,0.09671822437482507,0.10944929934248376,0.14289656424564956
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,train_grid,30000,30000,0.0,0.31500695782722477,-0.028672796943178862,0.1983200971359413,0.20037883916186452,-0.03295479603606219,0.17963022153399358,0.18262518857735316,0.019672842152326758,0.15918407183739636,0.1603924711225338,0.13786459512693242,0.17125961332269332,0.2659136946911154
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,in_domain_unseen,48000,47993,0.00014583333333328952,0.3804040489008894,-0.08591711666423163,0.2580279003031908,0.27195360085594833,-0.04051702097099733,0.2020498804893689,0.20607021271127487,0.024045355995651968,0.16534070431551973,0.16707829910907152,0.159591598208723,0.1920705836341701,0.2889524780894967
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,left_ood,6000,5669,0.0551666666666667,0.7898287736345493,0.472897976415503,0.2836930588878466,0.5514526733480498,0.16790003246732862,0.39633328273218743,0.43039840067163027,-0.07292074471008908,0.09835843703489947,0.1224341071916211,0.35092957695227794,0.3541401038741047,0.3685875794923797
