budget_policy,domain_id,domain_label,train_beta_min,train_beta_max,train_beta_width,n_train_per_n,n,beta,n_total,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.90_rmse,x0.95_rmse,x0.99_rmse
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,0.75,1500,1500,0.0,2.875241899466298,2.144214604858955,0.386005975348951,2.178659576655687,1.2940330077483302,1.2605211275439618,1.8062047675863242,-0.42662226391150354,0.2759111492576418,0.5080184711616886,2.211616331020723,1.8209908173326925,0.8209633687484172
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,1.0,1500,1500,0.0,1.8545405142354425,1.5268309780653007,0.22363739905342447,1.543111525255942,0.6743180017453176,0.6579050229729737,0.9419422632968003,-0.34050079420934054,0.23445248267428676,0.41336680101120876,1.1166221121186115,1.0688917593521452,0.6858131977696972
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,1.25,1500,1500,0.0,1.3133593741492453,1.0960177289487607,0.14784873350763086,1.1059383062982355,0.4423299112676007,0.4396388459861061,0.6235456762943662,-0.2625535109116948,0.20999797914407436,0.33616082148651627,0.6745461194656514,0.7133216593688643,0.6561265478633826
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,1.5,1500,1500,0.0,0.9599266935829138,0.7962076124357481,0.10912462779940828,0.8036459467348783,0.2917005845667081,0.3402962094787563,0.44812223802817286,-0.194525692836852,0.1923104768517008,0.27349389231616833,0.4611115394925447,0.5199064845017837,0.5792481503065955
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,1.75,1500,1500,0.0,0.7020570149887704,0.568491755787223,0.08463498051013056,0.5747531478272846,0.19218938956941153,0.2757915195644181,0.33607590871488846,-0.13953088351670442,0.17362916097564754,0.22270126838218066,0.3331413961477031,0.387807201820717,0.4837542484470016
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,2.0,1500,1500,0.0,0.5201749918857628,0.39696885529289605,0.06768679680881579,0.4026943260089658,0.10952698778164988,0.23806639314454736,0.261980886438329,-0.08552912037364616,0.18025467499589154,0.19946257073577878,0.28593974127765254,0.3533921713450591,0.5070787204006102
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,2.25,1500,1500,0.0,0.39328904205238324,0.25626042133089283,0.05689173247569926,0.26249555231525457,0.06414362217623275,0.2219260323728368,0.23093881008052083,-0.051602010942656894,0.17261726031163893,0.18011002640548324,0.23067710824165666,0.2868390950631986,0.4268934229200822
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,2.5,1500,1500,0.0,0.30003207053736247,0.14333702213652516,0.05040110985654381,0.151934460459617,0.011363467663418086,0.19661949485060473,0.19688215088086153,-0.016524203546027925,0.1670872362983867,0.16784689970418754,0.19175502503385178,0.24199633583014057,0.37677823977927793
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,2.75,1500,1500,0.0,0.26294883663701124,0.04917012899341717,0.042966513898812564,0.06528853003630673,-0.01664460157219318,0.1926166062049867,0.19327044689441447,0.014246847120768659,0.1653520116720165,0.1659097130721684,0.166375296527376,0.21061083491858382,0.3358710286942948
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,3.0,1500,1500,0.0,0.2525402032111485,-0.03022839099844392,0.037142952072381566,0.047879377381223394,-0.042511914817585844,0.17750601953394618,0.1824682007390041,0.0406056489205184,0.16296736492014194,0.16789721611326705,0.1531418348223095,0.19295096711363566,0.311650119422647
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,3.25,1500,1500,0.0,0.2751460861951816,-0.0973252162883303,0.034207074812728507,0.10315784802994413,-0.06631390603315589,0.17494323810576992,0.18703547061435624,0.060234266030744076,0.16269923302353145,0.17344036401721352,0.13550896028037185,0.17034578669311068,0.2768598414318846
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,3.5,1500,1500,0.0,0.30582089570846527,-0.15779194670814278,0.03004323325365602,0.1606246948003411,-0.07992835996805159,0.17207999056324785,0.1896848039880767,0.07406948948382884,0.16210191719061523,0.17817351881867907,0.12210129236370716,0.15044203368101558,0.24095668661758632
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,3.75,1500,1500,0.0,0.33951459190290395,-0.20922059350418037,0.0277274346400591,0.21104870252512592,-0.09413320509904594,0.16549928740055053,0.19034919075974296,0.08839538877649653,0.1634008690111993,0.18573041984168168,0.1157247658714488,0.14072146767098279,0.22145193115908596
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,4.0,1500,1500,0.0,0.37522000931148825,-0.25450023581185177,0.025021748603845255,0.25572649557593113,-0.10498860995450718,0.16725342410237679,0.19742762460093194,0.10242593837770454,0.16106697391697433,0.19083067859387834,0.10962875473354496,0.13062422856222858,0.19861981812601676
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,4.25,1500,1500,0.0,0.4116426003566119,-0.29500216927753764,0.022567146289564122,0.29586350983639925,-0.11880674687750521,0.16568916778506035,0.20383729170927958,0.11405497444374417,0.16545236458126983,0.2009098615903814,0.1096533252041173,0.12896968379849924,0.19053795177947389
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,4.5,1500,1500,0.0,0.4406001892789272,-0.3322124529709564,0.020905484625566746,0.33286913620353087,-0.1255404917377149,0.16612208337001577,0.20817916310529164,0.11981567150452545,0.16015431767544855,0.19997025029869345,0.10541214817179853,0.12116513264214027,0.16863522304795994
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,4.75,1500,1500,0.0,0.47097077422393113,-0.3640584630482551,0.018828075922291666,0.36454468125187534,-0.13379507268296179,0.1678946300724294,0.21464141230633674,0.12961053953725582,0.16145648486738107,0.20700171416488058,0.10546431740407439,0.12038810036840182,0.16130018330678522
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,5.0,1500,1500,0.0,0.499338130986334,-0.3937339151384552,0.016823595658463097,0.3940929339790575,-0.14205432453403166,0.16860250608503297,0.22042523669852662,0.13661448944356222,0.16369602623311666,0.21317139458919446,0.10751470491466303,0.1215376952805479,0.15574254652903202
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,7,5.25,1500,1500,0.0,0.5226178153951982,-0.4212765300301086,0.015112335515385582,0.42154732259120736,-0.14383849956537248,0.16883452645247718,0.22175573922998007,0.14171677946337374,0.16181915610102968,0.21506191644082195,0.10825882871662519,0.12187603972948388,0.14975002416129515
