budget_policy,domain_id,domain_label,train_beta_min,train_beta_max,train_beta_width,n_train_per_n,relative_beta,n_total,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.90_rmse,x0.95_rmse,x0.99_rmse
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,-0.5,6000,6000,0.0,0.26970438484600223,0.13499448226946764,0.05853833463264133,0.1471382878179383,0.029993722363111413,0.16835202624535994,0.17098919377548477,-0.03196396941530534,0.14434421455825394,0.147829209140737,0.15404119969901406,0.19412338429542172,0.3007065260532063
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,-0.25,6000,6000,0.0,0.22679692363319323,0.046404859830034735,0.049616415519155584,0.06793224129012561,-0.00563027186872137,0.16088051846544738,0.16096560945169805,0.002497510248502073,0.14460074368767453,0.14461026151910547,0.1376779439302835,0.17525112526264439,0.2804814002569539
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,0.0,6000,6000,0.0,0.21904023291505278,-0.02952718278686262,0.044041968170535954,0.05302099773834805,-0.03414439823556074,0.15335605728922014,0.1570986968695537,0.02932571102732472,0.14010949763486844,0.143134191848764,0.12139904455126958,0.15353892628006785,0.24908525123537056
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,0.25,6000,6000,0.0,0.24259437967872893,-0.09496847782553627,0.03974625814656433,0.10294908218619499,-0.06337675163513325,0.14851247741268625,0.16145864053192424,0.052115069587934194,0.13954172051199934,0.1489450466659105,0.11037362610281022,0.13854749809142294,0.2256458102475104
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,0.5,6000,6000,0.0,0.2809994659284514,-0.1516865990660246,0.03542803496093663,0.15576829204451947,-0.08538165768296066,0.14722576219350536,0.1701817850162191,0.07698186063665148,0.14075579653995546,0.16042162913491922,0.1027957715439323,0.12828306183560004,0.20935439749275866
fixed_density,location_high_3.5_4.5,"[3.5, 4.5]",3.5,4.5,1.0,4500,-0.5,6000,6000,0.0,0.24843285437421758,0.1112700235157549,0.03334182499801249,0.11615726472264103,0.02161680745687966,0.15796141073935366,0.15942062292202813,-0.022729035230312708,0.14932697463470163,0.15103455886593647,0.11223891884405111,0.14032701739724737,0.2155529058703473
fixed_density,location_high_3.5_4.5,"[3.5, 4.5]",3.5,4.5,1.0,4500,-0.25,6000,6000,0.0,0.2178214892839948,0.04329959563961427,0.03009357274979459,0.052728807745050274,-0.005816625085063473,0.15136194441041448,0.15146106079356605,0.001904277378371005,0.14739543996086563,0.1473954581761959,0.10063365506187724,0.12573895344089206,0.19514151756048753
fixed_density,location_high_3.5_4.5,"[3.5, 4.5]",3.5,4.5,1.0,4500,0.0,6000,6000,0.0,0.214057391879735,-0.016395182824386175,0.027398287735722646,0.031927152702144024,-0.03200496738839048,0.1482560676244285,0.15165921078103523,0.026291393263079936,0.14530309424021456,0.14765062723863373,0.09308145520327997,0.11587704424304464,0.18057991647384428
fixed_density,location_high_3.5_4.5,"[3.5, 4.5]",3.5,4.5,1.0,4500,0.25,6000,6000,0.0,0.22883733799636805,-0.06983154168071598,0.02527721620082576,0.07426490007236966,-0.05475989062735035,0.1440061540832919,0.1540550607412099,0.04809356341476705,0.1442524433917878,0.15204699976825284,0.0874156725879721,0.10826440131704072,0.16864683756201165
fixed_density,location_high_3.5_4.5,"[3.5, 4.5]",3.5,4.5,1.0,4500,0.5,6000,6000,0.0,0.25431110126280737,-0.11752191387623431,0.02355349100737319,0.11985856130711317,-0.07354634844596272,0.14238467996561938,0.16024694555320548,0.06656021999749459,0.14213402856221036,0.15693622254839348,0.08135451327217481,0.10003741052247754,0.15507138236454449
fixed_density,location_low_1.5_2.5,"[1.5, 2.5]",1.5,2.5,1.0,4500,-0.5,6000,5995,0.0008333333333333526,0.32074218488795403,0.15791546575949833,0.1085083583098321,0.191596957618103,0.036242924245386755,0.21293704064094512,0.21598187308535044,-0.03867138505691191,0.12603072181413583,0.13182021607031003,0.23604812001808748,0.2964318043783141,0.43257131450182085
fixed_density,location_low_1.5_2.5,"[1.5, 2.5]",1.5,2.5,1.0,4500,-0.25,6000,5999,0.0001666666666666483,0.24792348707156836,0.03627704031518102,0.09750419133690792,0.10402646878051286,-0.012515079996430962,0.18463614563155079,0.18504445628775357,-0.007280157350798292,0.12616596517637615,0.12636533560504068,0.19028080466936292,0.24343030974999877,0.3893346476133678
fixed_density,location_low_1.5_2.5,"[1.5, 2.5]",1.5,2.5,1.0,4500,0.0,6000,6000,0.0,0.2461115631446216,-0.05754534525192087,0.08856429592350354,0.10561152399321742,-0.0467024027690084,0.1700269072381886,0.1763106503245095,0.025746038908207227,0.13293513029851325,0.1353944684817947,0.17449873482151423,0.22518823367786497,0.3807929861011059
fixed_density,location_low_1.5_2.5,"[1.5, 2.5]",1.5,2.5,1.0,4500,0.25,6000,6000,0.0,0.2791278014161138,-0.13706727185170875,0.07924186053674613,0.1583213912545779,-0.0772626085039452,0.16356275043107332,0.1808806932921718,0.04965636493839115,0.132913622884871,0.14187614806144003,0.1562528019702732,0.19589910416771464,0.33482838986170194
fixed_density,location_low_1.5_2.5,"[1.5, 2.5]",1.5,2.5,1.0,4500,0.5,6000,6000,0.0,0.32503081285497304,-0.20204874296437678,0.07082709865849217,0.21410122923097347,-0.10432234452595106,0.1570829824024253,0.18855795506228798,0.07588465337887892,0.1360007081232102,0.15572922182326243,0.14586880505617283,0.1789440442719603,0.3063562048978738
fixed_total,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,12000,-0.5,6000,6000,0.0,0.26900699881641676,0.13362467900209393,0.057840998970310184,0.14560418401761588,0.03705685500522922,0.1667318281899196,0.1707866498998371,-0.040525465773189384,0.14267861336965898,0.14831084661875002,0.14975512147496423,0.1881953169045169,0.29034069694217934
fixed_total,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,12000,-0.25,6000,6000,0.0,0.22511859820121866,0.045322842815550476,0.05095939938377131,0.0681952172543907,-0.0007740562085547597,0.15960929108539626,0.15959786687013278,-0.004634314075104471,0.14331176737115034,0.14337474146519527,0.13404786800317844,0.1702816269265595,0.27145811376812307
fixed_total,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,12000,0.0,6000,6000,0.0,0.21713613648326835,-0.029682218987908446,0.04669201875326264,0.055324636301247454,-0.03126049727093509,0.15204921378690064,0.1552170381829002,0.023497367165233127,0.13944917422156874,0.14140352698127215,0.11960414877989602,0.1509109499597503,0.243541312766814
fixed_total,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,12000,0.25,6000,6000,0.0,0.24055423195062572,-0.09413009743137571,0.043428784605723546,0.10366397750206463,-0.061194633939016856,0.14761269092860738,0.1597831598188442,0.046780523609753974,0.13929923464627753,0.14693352277854294,0.10944808552056128,0.13692326445415187,0.22155118882052302
fixed_total,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,12000,0.5,6000,6000,0.0,0.2789934886770234,-0.15012093028555107,0.039903452133637406,0.15533291287124376,-0.0839859757465702,0.14683607779496802,0.16914752257134305,0.07232459422157152,0.14096323405058028,0.15842401494435115,0.10230514478410023,0.12713123773915905,0.20602867124226543
fixed_total,location_high_3.5_4.5,"[3.5, 4.5]",3.5,4.5,1.0,12000,-0.5,6000,6000,0.0,0.24889871288348117,0.10718826111431065,0.03290993208997932,0.11212585090099278,0.030273716050657023,0.1580041534995186,0.16086531484815095,-0.03212504315597918,0.14990810626024909,0.15329942372229335,0.10892083970717525,0.13588062118699462,0.20819623067888104
fixed_total,location_high_3.5_4.5,"[3.5, 4.5]",3.5,4.5,1.0,12000,-0.25,6000,6000,0.0,0.21825174452966897,0.03947641215679094,0.029792688340502655,0.049455469477912434,0.0027156394454432207,0.15203750729381685,0.15204908994941196,-0.00796383206648552,0.14835531797028367,0.148556570957056,0.09780596748080524,0.1219332349534055,0.1886834297820751
fixed_total,location_high_3.5_4.5,"[3.5, 4.5]",3.5,4.5,1.0,12000,0.0,6000,6000,0.0,0.21345095487814209,-0.02004150241286406,0.027220238371724773,0.033800587358045295,-0.023895359526161244,0.14885565380808266,0.1507491322581034,0.016169234073788896,0.14640921431115678,0.14728723487142623,0.09070291880422199,0.11267205464289141,0.17500737256200813
fixed_total,location_high_3.5_4.5,"[3.5, 4.5]",3.5,4.5,1.0,12000,0.25,6000,6000,0.0,0.22752720298534038,-0.07320638364761936,0.024993730837844758,0.0773547482287084,-0.04668594993143581,0.14502509536844224,0.15234287258651738,0.037489128892945416,0.14551499755750513,0.15025485082649936,0.08548605473437058,0.10550708489981235,0.16333595986354535
fixed_total,location_high_3.5_4.5,"[3.5, 4.5]",3.5,4.5,1.0,12000,0.5,6000,6000,0.0,0.2524383561597481,-0.12064998428306319,0.02344330750954098,0.12290612587002786,-0.06545075166893025,0.14387367267049195,0.1580505762177914,0.05582432638178981,0.14326998594836898,0.1537505227356344,0.07978454371015897,0.09766329374564231,0.15003048680687003
fixed_total,location_low_1.5_2.5,"[1.5, 2.5]",1.5,2.5,1.0,12000,-0.5,6000,6000,0.0,0.3192115497646425,0.1589992463558192,0.11355511398843753,0.19538007863476434,0.03552585500373508,0.21138419408785103,0.2143313245211682,-0.04449110140835314,0.12572946452602024,0.13335937051748487,0.2271709613780286,0.2859269529467901,0.4187167549983565
fixed_total,location_low_1.5_2.5,"[1.5, 2.5]",1.5,2.5,1.0,12000,-0.25,6000,6000,0.0,0.25141330431042,0.040435784709550414,0.10450420573104932,0.11204624720348891,-0.010052741727930043,0.1854115742427617,0.1856684677162955,-0.014195466599137304,0.12642254811778245,0.12720655709428452,0.18548724525325588,0.23618629140676767,0.376561142391056
fixed_total,location_low_1.5_2.5,"[1.5, 2.5]",1.5,2.5,1.0,12000,0.0,6000,6000,0.0,0.24819941282056282,-0.05086502198912445,0.09642903316880101,0.109014949158747,-0.04186928331962263,0.17261262098529864,0.17760402010172133,0.017845932516504934,0.1336413139246604,0.13481654730816747,0.17192374433329552,0.2201108961548798,0.36918186126264646
fixed_total,location_low_1.5_2.5,"[1.5, 2.5]",1.5,2.5,1.0,12000,0.25,6000,6000,0.0,0.27599182098279657,-0.12841761157049375,0.08653256557764293,0.15484740839323632,-0.06979952715643117,0.16651692985939523,0.18054152045002048,0.04097270566207489,0.13387587263021258,0.1399947311754738,0.15692812401249437,0.19457286340567398,0.3272090290308951
fixed_total,location_low_1.5_2.5,"[1.5, 2.5]",1.5,2.5,1.0,12000,0.5,6000,6000,0.0,0.3184141754358669,-0.19268381690053593,0.07813666398214543,0.20792155731727668,-0.0951122969457066,0.16079144234227077,0.18680451809170542,0.0667154626110153,0.13715854913804076,0.15251322939924647,0.14659837343530355,0.1781293998763953,0.2998330365302451
