budget_policy,domain_id,domain_label,train_beta_min,train_beta_max,train_beta_width,n_train_per_n,n_total,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.90_rmse,x0.95_rmse,x0.99_rmse
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,30000,30000,0.0,0.24898540371431566,-0.01895658351578423,0.11148387939869808,0.11308224058561171,-0.03170787141185292,0.16114300929518288,0.16423030471017372,0.025791236417021426,0.14686754668185098,0.14911252510008033,0.1266261769571665,0.15976420143491243,0.25529707734946294
fixed_density,location_high_3.5_4.5,"[3.5, 4.5]",3.5,4.5,1.0,4500,30000,30000,0.0,0.23324935791188747,-0.009835803845193463,0.0856633391169199,0.08622474180314635,-0.02890220481797747,0.15270569652220112,0.1554142525403614,0.024024083764679977,0.1491326648511357,0.15105286152406824,0.09554990463722568,0.11887649868927219,0.18419623383054268
fixed_density,location_low_1.5_2.5,"[1.5, 2.5]",1.5,2.5,1.0,4500,30000,29994,0.00019999999999997797,0.28582157544540676,-0.04052940515866757,0.15580378606413867,0.16098646872303404,-0.04092571077018483,0.185402061357225,0.18986229781309713,0.021078006467601457,0.1369968234893453,0.1386065881311262,0.18332981075046983,0.23160649369255712,0.3713821785408631
fixed_total,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,12000,30000,30000,0.0,0.2473438722381089,-0.01899714497743816,0.11134102931560111,0.11294823194215001,-0.02803166163196954,0.160591941526049,0.1630174410236496,0.019488541029652955,0.1465193308838967,0.14780731361128646,0.12421417455584861,0.15626756320437968,0.2485286066018322
fixed_total,location_high_3.5_4.5,"[3.5, 4.5]",3.5,4.5,1.0,12000,30000,30000,0.0,0.23265401572406022,-0.013446639414489009,0.08526119102843925,0.08631361706846404,-0.02060854112608541,0.15348653239862764,0.15486136485443874,0.013878762825211888,0.15001312705969463,0.1506512801688397,0.093091583987022,0.11549555212831397,0.17819229520399063
fixed_total,location_low_1.5_2.5,"[1.5, 2.5]",1.5,2.5,1.0,12000,30000,30000,0.0,0.28434721169014615,-0.0345062838789569,0.15739872972008595,0.1611341612837821,-0.03626159882919107,0.18594423783075684,0.1894439511397962,0.013369506556420932,0.13719326490044748,0.13784088014763762,0.17982628112186336,0.22608656552313344,0.3606612981828938
