留出 $\beta$,Mean-normalized $J_1$,Default $J_1$,L6 $J_1$
1.5,0.5565477829237805,0.5476987191772456,0.3974603153780581
2.0,0.497531202150796,0.5204978344244865,0.40327940602602624
2.5,0.5071205614387684,0.5318700939484555,0.436575988144923
3.0,0.5397928570491626,0.5723656222089817,0.4708530415821175
3.5,0.5630317914417136,0.6136100743597207,0.4963108122099591
4.0,0.6098293321585254,0.6811755452846217,0.5373104816231123
4.5,0.6532169255822368,0.7305429111984516,0.5595063462252573
5.0,0.7047821986399448,0.789769332128496,0.5982199497793134
