parameter,default_normalized_rmse,adaptive_normalized_rmse,mse_contribution_reduction_pct,default_median_absolute_error,adaptive_median_absolute_error,default_p95_absolute_error,adaptive_p95_absolute_error
beta,0.4032024329105739,0.37548030475489286,13.278111028297158,0.3140133320627952,0.28336827287581634,0.6983096392347196,0.6824556477906265
eta,0.3614166460901773,0.33548957915295063,13.832825627461975,0.2659019023709814,0.24155904130737682,0.6739028722253995,0.6500504805819954
gamma,0.3228336497072265,0.2977937996149332,14.910938952260288,0.2225042137814729,0.20461611954023462,0.6254996326520367,0.593067685194109
