parameter,method,normalized_bias,normalized_sd,normalized_rmse,normalized_q05,normalized_q95
beta,Default ($\delta=0.1$),-0.23265550344523345,0.32931121740805297,0.4032024329105739,-0.6761231632182614,0.343285732575478
beta,Adaptive,-0.2008341508231146,0.31654876334551924,0.37488049848908905,-0.6533189324665384,0.35628354333481543
eta,Default ($\delta=0.1$),-0.19983620824799767,0.3011467604109956,0.3614166460901773,-0.6624430955971086,0.31070801154013283
eta,Adaptive,-0.1827029546505258,0.2812983423773324,0.33542134479857916,-0.6395237069268801,0.2934200343166011
gamma,Default ($\delta=0.1$),0.18682087094493074,0.2632887611531818,0.3228336497072265,-0.24061890302763314,0.6235619435411917
gamma,Adaptive,0.16995143367740442,0.2444940182072294,0.29775756814426396,-0.2297223910113835,0.5914351929629738
