方法,$J_1$ pooled,$n=7$,$n=10$,$n=15$,$n=20$,失败率
Mean-normalized MLP,0.5849956890777341,0.701996875733506,0.6074111331779682,0.5284284675375117,0.47736878886100054,0.0
Default ($\delta=0.1$),0.6304091999323665,0.7633086673112072,0.6571370100580289,0.5650868178686961,0.505836687210487,0.0
L6 (hindsight),0.4922971152637207,0.6083051432559384,0.5158568160471187,0.4318904276336264,0.3830836140224081,0.0
