beta_true,eta_true,gamma,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
1.5,200,1000,10,65,16.129486,1190.206974,5.3e-05,14.629486,990.206974,-999.999947,0.878975
1.5,200,1000,10,66,1.305391,165.0716,1027.921336,-0.194609,-34.9284,27.921336,0.745539
1.5,200,1000,10,67,16.340211,1184.227229,5.7e-05,14.840211,984.227229,-999.999943,0.907791
1.5,200,1000,10,68,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,69,13.443579,1287.298375,6.6e-05,11.943579,1087.298375,-999.999934,0.848702
1.5,200,1000,10,70,11.488883,1362.832112,0.000197,9.988883,1162.832112,-999.999803,0.914844
1.5,200,1000,10,71,18.633614,1218.198835,6.6e-05,17.133614,1018.198835,-999.999934,0.917994
1.5,200,1000,10,72,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,73,17.077991,1216.07782,0.000386,15.577991,1016.07782,-999.999614,0.809486
1.5,200,1000,10,74,18.338437,1186.01133,6e-05,16.838437,986.01133,-999.99994,0.891013
1.5,200,1000,10,75,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,76,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,77,14.48186,1151.287986,5.7e-05,12.98186,951.287986,-999.999943,0.857521
1.5,200,1000,10,78,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,79,1.337252,209.75855,1009.260137,-0.162748,9.75855,9.260137,0.737289
1.5,200,1000,10,80,2.357701,294.712528,969.04203,0.857701,94.712528,-30.95797,0.762202
1.5,200,1000,10,81,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,82,2.028506,214.701415,1081.350488,0.528506,14.701415,81.350488,0.890522
1.5,200,1000,10,83,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,84,1.977096,216.04787,1017.978242,0.477096,16.04787,17.978242,0.798986
1.5,200,1000,10,85,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,86,5.677034,422.275491,791.18672,4.177034,222.275491,-208.81328,0.850785
1.5,200,1000,10,87,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,88,12.822555,1204.221491,0.000262,11.322555,1004.221491,-999.999738,0.87158
1.5,200,1000,10,89,1.441075,285.775019,988.430377,-0.058925,85.775019,-11.569623,0.746813
1.5,200,1000,10,90,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,91,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,92,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,93,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,94,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
