beta_true,eta_true,gamma,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
7,5000,1000,10,63,7.067329,5691.406601,9.4e-05,0.067329,691.406601,-999.999906,0.91451
7,5000,1000,10,64,3.673019,2972.416694,2662.243341,-3.326981,-2027.583306,1662.243341,0.899171
7,5000,1000,10,65,6.517289,5258.670854,0.0,-0.482711,258.670854,-1000.0,0.51558
7,5000,1000,10,66,9.762403,5590.231686,0.0,2.762403,590.231686,-1000.0,0.860958
7,5000,1000,10,67,2.233592,1295.176516,4078.043431,-4.766408,-3704.823484,3078.043431,0.851343
7,5000,1000,10,68,8.158866,6481.397074,4.8e-05,1.158866,1481.397074,-999.999952,0.929274
7,5000,1000,10,69,10.845626,6301.919458,0.000348,3.845626,1301.919458,-999.999652,0.680497
7,5000,1000,10,70,1.62291,582.11582,5508.734166,-5.37709,-4417.88418,4508.734166,0.825556
7,5000,1000,10,71,11.425749,5985.449938,0.000521,4.425749,985.449938,-999.999479,0.759142
7,5000,1000,10,72,0.0,0.0,0.0,-7.0,-5000.0,-1000.0,0.0
7,5000,1000,10,73,1.827698,1838.877124,3630.560587,-5.172302,-3161.122876,2630.560587,0.871083
7,5000,1000,10,74,10.966533,6168.403761,0.0,3.966533,1168.403761,-1000.0,0.072154
7,5000,1000,10,75,12.798731,5606.040331,3.4e-05,5.798731,606.040331,-999.999966,0.848723
7,5000,1000,10,76,8.649787,6162.400698,8.1e-05,1.649787,1162.400698,-999.999919,0.90052
7,5000,1000,10,77,5.104493,3425.695476,2692.090617,-1.895507,-1574.304524,1692.090617,0.928844
7,5000,1000,10,78,0.0,0.0,0.0,-7.0,-5000.0,-1000.0,0.0
7,5000,1000,10,79,3.575274,2994.270063,2961.380362,-3.424726,-2005.729937,1961.380362,0.915922
7,5000,1000,10,80,15.731659,5798.141598,3.5e-05,8.731659,798.141598,-999.999965,0.899857
7,5000,1000,10,81,1.963076,1585.920838,4089.029804,-5.036924,-3414.079162,3089.029804,0.780906
7,5000,1000,10,82,18.455122,5938.202816,3.6e-05,11.455122,938.202816,-999.999964,0.772267
7,5000,1000,10,83,4.63308,2934.454772,3093.489065,-2.36692,-2065.545228,2093.489065,0.903177
7,5000,1000,10,84,10.739539,6004.692362,0.0,3.739539,1004.692362,-1000.0,0.144189
7,5000,1000,10,85,8.85735,5366.622327,8.4e-05,1.85735,366.622327,-999.999916,0.919681
7,5000,1000,10,86,10.963732,6052.314954,0.0,3.963732,1052.314954,-1000.0,0.447776
7,5000,1000,10,87,3.038998,1857.640028,3798.413889,-3.961002,-3142.359972,2798.413889,0.855321
7,5000,1000,10,88,12.864167,6450.462794,0.0,5.864167,1450.462794,-1000.0,0.776816
7,5000,1000,10,89,0.0,0.0,0.0,-7.0,-5000.0,-1000.0,0.0
7,5000,1000,10,90,21.533745,6105.535807,0.000252,14.533745,1105.535807,-999.999748,0.838811
7,5000,1000,10,91,11.749257,6183.615695,4.4e-05,4.749257,1183.615695,-999.999956,0.932434
7,5000,1000,10,92,12.369302,5768.692529,0.0002,5.369302,768.692529,-999.9998,0.825188
7,5000,1000,10,93,5.475657,6027.778186,4.6e-05,-1.524343,1027.778186,-999.999954,0.842165
7,5000,1000,10,94,1.676553,1162.059575,4586.170736,-5.323447,-3837.940425,3586.170736,0.836161
7,5000,1000,10,95,0.0,0.0,0.0,-7.0,-5000.0,-1000.0,0.0
7,5000,1000,10,96,0.0,0.0,0.0,-7.0,-5000.0,-1000.0,0.0
7,5000,1000,10,97,1.440832,607.893488,5186.939312,-5.559168,-4392.106512,4186.939312,0.817912
7,5000,1000,10,98,7.729046,5982.568044,0.0,0.729046,982.568044,-1000.0,0.863386
7,5000,1000,10,99,13.249958,6447.343428,0.000211,6.249958,1447.343428,-999.999789,0.895335
7,5000,1000,10,100,1.733405,1055.866735,4778.780297,-5.266595,-3944.133265,3778.780297,0.860045
7,5000,1000,10,101,7.641421,6093.707305,0.0,0.641421,1093.707305,-1000.0,0.914938
7,5000,1000,10,102,1.509018,944.663328,5014.139268,-5.490982,-4055.336672,4014.139268,0.812845
7,5000,1000,10,103,9.174129,5884.485668,0.00019,2.174129,884.485668,-999.99981,0.820047
7,5000,1000,10,104,9.312545,5952.643998,0.0,2.312545,952.643998,-1000.0,0.853962
7,5000,1000,10,105,16.40015,6396.683507,0.000308,9.40015,1396.683507,-999.999692,0.888037
7,5000,1000,10,106,6.674732,6023.198138,0.0,-0.325268,1023.198138,-1000.0,-0.225679
7,5000,1000,10,107,18.929167,6415.130819,0.000383,11.929167,1415.130819,-999.999617,0.572735
7,5000,1000,10,108,9.049454,5917.296841,0.000312,2.049454,917.296841,-999.999688,0.861826
7,5000,1000,10,109,2.516824,2270.783162,3545.958,-4.483176,-2729.216838,2545.958,0.829491
7,5000,1000,10,110,1.618033,926.097458,4402.85007,-5.381967,-4073.902542,3402.85007,0.84874
7,5000,1000,10,111,8.14472,6161.311489,0.0,1.14472,1161.311489,-1000.0,0.82198
7,5000,1000,10,112,8.425974,5795.181671,4.4e-05,1.425974,795.181671,-999.999956,0.873924
7,5000,1000,10,113,5.669611,5988.592936,4.2e-05,-1.330389,988.592936,-999.999958,0.87083
7,5000,1000,10,114,1.747382,1106.186722,4770.388089,-5.252618,-3893.813278,3770.388089,0.83974
7,5000,1000,10,115,12.497549,5717.042112,0.000155,5.497549,717.042112,-999.999845,0.897462
7,5000,1000,10,116,0.0,0.0,0.0,-7.0,-5000.0,-1000.0,0.0
7,5000,1000,10,117,0.0,0.0,0.0,-7.0,-5000.0,-1000.0,0.0
7,5000,1000,10,118,1.402284,1014.685873,4748.340345,-5.597716,-3985.314127,3748.340345,0.764067
