beta_true,eta_true,sample_size,offset_value,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
3,5000,7,0.15,1,1.844695,2939.450892,3202.468688,-1.155305,-2060.549108,2202.468688,0.967258
3,5000,7,0.15,2,2.348429,3017.928782,2511.424519,-0.651571,-1982.071218,1511.424519,0.830034
3,5000,7,0.15,3,1.673153,2119.889518,2720.681363,-1.326847,-2880.110482,1720.681363,0.930163
3,5000,7,0.15,4,2.973688,4177.908006,2678.426043,-0.026312,-822.091994,1678.426043,0.852010
3,5000,7,0.15,5,1.750882,2849.889035,3103.462084,-1.249118,-2150.110965,2103.462084,0.985548
3,5000,7,0.15,6,0.978787,1828.255483,2836.561466,-2.021213,-3171.744517,1836.561466,0.976655
3,5000,7,0.15,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,5000,7,0.15,8,1.958993,4993.584334,633.804379,-1.041007,-6.415666,-366.195621,0.979386
3,5000,7,0.15,9,1.821081,2692.557575,3363.137351,-1.178919,-2307.442425,2363.137351,0.875285
3,5000,7,0.15,10,2.435305,4698.485904,1033.665515,-0.564695,-301.514096,33.665515,0.861634
3,5000,7,0.15,11,1.350658,1453.705692,3875.085850,-1.649342,-3546.294308,2875.085850,0.872908
3,5000,7,0.15,12,1.221526,1600.562571,3472.729214,-1.778474,-3399.437429,2472.729214,0.943781
3,5000,7,0.15,13,0.598760,1242.804997,3694.791271,-2.401240,-3757.195003,2694.791271,0.989042
3,5000,7,0.15,14,2.041269,3705.115536,2762.364823,-0.958731,-1294.884464,1762.364823,0.916519
3,5000,7,0.15,15,3.165000,6391.933626,425.068219,0.165000,1391.933626,-574.931781,0.835056
3,5000,7,0.15,16,1.274403,1725.888454,4557.680051,-1.725597,-3274.111546,3557.680051,0.966441
3,5000,7,0.15,17,2.856603,3346.252509,2285.568981,-0.143397,-1653.747491,1285.568981,0.910487
3,5000,7,0.15,18,1.610952,3779.080238,2122.882104,-1.389048,-1220.919762,1122.882104,0.950784
3,5000,7,0.15,19,1.968366,3626.451226,1923.809070,-1.031634,-1373.548774,923.809070,0.922895
3,5000,7,0.15,20,1.781841,2327.370906,3072.253531,-1.218159,-2672.629094,2072.253531,0.959298
3,5000,7,0.15,21,2.832687,5157.176921,1246.722455,-0.167313,157.176921,246.722455,0.789056
3,5000,7,0.15,22,2.870154,3237.441822,3138.914663,-0.129846,-1762.558178,2138.914663,0.871241
3,5000,7,0.15,23,1.519547,1925.289637,2364.827968,-1.480453,-3074.710363,1364.827968,0.972791
3,5000,7,0.15,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,5000,7,0.15,25,2.594900,3204.908049,2831.398178,-0.405100,-1795.091951,1831.398178,0.954233
3,5000,7,0.15,26,0.933620,2618.543865,2877.264694,-2.066380,-2381.456135,1877.264694,0.984660
3,5000,7,0.15,27,1.741670,4353.560225,2127.824929,-1.258330,-646.439775,1127.824929,0.952136
3,5000,7,0.15,28,2.281566,2860.533014,3152.795039,-0.718434,-2139.466986,2152.795039,0.933053
3,5000,7,0.15,29,1.956731,4141.514462,2616.218107,-1.043269,-858.485538,1616.218107,0.973874
3,5000,7,0.15,30,1.258191,2897.466332,2283.740858,-1.741809,-2102.533668,1283.740858,0.993498
3,5000,7,0.15,31,2.891431,4313.174749,2438.870738,-0.108569,-686.825251,1438.870738,0.702079
3,5000,7,0.15,32,1.937401,3288.050669,2980.524678,-1.062599,-1711.949331,1980.524678,0.856917
3,5000,7,0.15,33,1.929265,4853.951699,424.926626,-1.070735,-146.048301,-575.073374,0.977968
3,5000,7,0.15,34,1.699098,4295.661747,2099.316473,-1.300902,-704.338253,1099.316473,0.918546
3,5000,7,0.15,35,2.357852,3989.935745,2347.890354,-0.642148,-1010.064255,1347.890354,0.807918
3,5000,7,0.15,36,3.497924,4123.419578,2564.252362,0.497924,-876.580422,1564.252362,0.652229
3,5000,7,0.15,37,1.397172,1329.038716,3956.869322,-1.602828,-3670.961284,2956.869322,0.946519
3,5000,7,0.15,38,2.408716,4322.691141,1945.044157,-0.591284,-677.308859,945.044157,0.938903
3,5000,7,0.15,39,1.525048,2564.872175,3921.788694,-1.474952,-2435.127825,2921.788694,0.976181
3,5000,7,0.15,40,1.698896,4383.764967,1291.116502,-1.301104,-616.235033,291.116502,0.982277
3,5000,7,0.15,41,1.673825,2750.277990,2021.098096,-1.326175,-2249.722010,1021.098096,0.987679
3,5000,7,0.15,42,1.873976,3251.819435,2305.638124,-1.126024,-1748.180565,1305.638124,0.975078
3,5000,7,0.15,43,2.581174,4869.191768,910.923928,-0.418826,-130.808232,-89.076072,0.963016
3,5000,7,0.15,44,2.989710,4009.807093,2431.389230,-0.010290,-990.192907,1431.389230,0.776373
3,5000,7,0.15,45,1.928334,4080.753915,1794.065249,-1.071666,-919.246085,794.065249,0.967590
3,5000,7,0.15,46,0.939385,1951.471671,3859.803784,-2.060615,-3048.528329,2859.803784,0.992489
3,5000,7,0.15,47,2.984599,4602.424089,1130.021391,-0.015401,-397.575911,130.021391,0.867183
3,5000,7,0.15,48,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,5000,7,0.15,49,1.257301,2501.170291,3316.213149,-1.742699,-2498.829709,2316.213149,0.980841
3,5000,7,0.15,50,1.144836,3249.733047,2105.598929,-1.855164,-1750.266953,1105.598929,0.982096
3,5000,7,0.15,51,1.132543,1339.176782,3232.898202,-1.867457,-3660.823218,2232.898202,0.968361
3,5000,7,0.15,52,1.469376,3101.369401,3462.589310,-1.530624,-1898.630599,2462.589310,0.982990
3,5000,7,0.15,53,1.726444,4207.225469,1930.246825,-1.273556,-792.774531,930.246825,0.921194
3,5000,7,0.15,54,2.391506,4158.875884,2162.523567,-0.608494,-841.124116,1162.523567,0.969841
3,5000,7,0.15,55,2.023844,5879.700346,853.748221,-0.976156,879.700346,-146.251779,0.962634
3,5000,7,0.15,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,5000,7,0.15,57,2.336975,4189.137446,2326.669823,-0.663025,-810.862554,1326.669823,0.963066
3,5000,7,0.15,58,1.607165,2255.162194,3598.656088,-1.392835,-2744.837806,2598.656088,0.974761
3,5000,7,0.15,59,1.654776,3020.716974,3340.705829,-1.345224,-1979.283026,2340.705829,0.948814
3,5000,7,0.15,60,3.671068,4645.257451,825.486620,0.671068,-354.742549,-174.513380,0.530292
3,5000,7,0.15,61,2.799532,5173.563748,571.630270,-0.200468,173.563748,-428.369730,0.907939
3,5000,7,0.15,62,1.688345,2804.777327,2213.486478,-1.311655,-2195.222673,1213.486478,0.995564
3,5000,7,0.15,63,2.292817,5497.192267,1307.191281,-0.707183,497.192267,307.191281,0.910399
3,5000,7,0.15,64,2.296034,3098.720908,3333.065479,-0.703966,-1901.279092,2333.065479,0.954188
3,5000,7,0.15,65,3.293977,3740.659898,3273.627216,0.293977,-1259.340102,2273.627216,0.777603
3,5000,7,0.15,66,1.862952,2500.494827,2431.293096,-1.137048,-2499.505173,1431.293096,0.939260
3,5000,7,0.15,67,1.119115,2092.455534,3728.324978,-1.880885,-2907.544466,2728.324978,0.973473
3,5000,7,0.15,68,1.422894,3073.809345,3318.228884,-1.577106,-1926.190655,2318.228884,0.963222
3,5000,7,0.15,69,2.108849,3606.802915,2466.590367,-0.891151,-1393.197085,1466.590367,0.982264
3,5000,7,0.15,70,1.327912,2050.366351,3981.911456,-1.672088,-2949.633649,2981.911456,0.867506
3,5000,7,0.15,71,2.039623,2744.745247,2422.323396,-0.960377,-2255.254753,1422.323396,0.973332
3,5000,7,0.15,72,2.970017,3996.926618,2780.130453,-0.029983,-1003.073382,1780.130453,0.882814
3,5000,7,0.15,73,1.832225,1839.165555,3530.909019,-1.167775,-3160.834445,2530.909019,0.938226
3,5000,7,0.15,74,2.701736,2993.556981,963.035967,-0.298264,-2006.443019,-36.964033,0.901053
3,5000,7,0.15,75,1.876303,3839.650317,732.812470,-1.123697,-1160.349683,-267.187530,0.964141
3,5000,7,0.15,76,1.343493,2331.987966,3196.430252,-1.656507,-2668.012034,2196.430252,0.966989
3,5000,7,0.15,77,1.714061,5170.531136,945.454971,-1.285939,170.531136,-54.545029,0.975088
3,5000,7,0.15,78,0.921868,1385.526528,4409.439219,-2.078132,-3614.473472,3409.439219,0.969716
3,5000,7,0.15,79,2.426773,4895.899572,1945.467428,-0.573227,-104.100428,945.467428,0.936682
3,5000,7,0.15,80,1.872470,2582.747807,2370.214342,-1.127530,-2417.252193,1370.214342,0.955504
3,5000,7,0.15,81,3.885310,4353.502873,1569.105648,0.885310,-646.497127,569.105648,0.355710
3,5000,7,0.15,82,2.610481,4469.109731,2244.086455,-0.389519,-530.890269,1244.086455,0.953678
3,5000,7,0.15,83,1.058802,2318.808003,2834.424760,-1.941198,-2681.191997,1834.424760,0.964718
3,5000,7,0.15,84,2.523287,4625.107401,822.943944,-0.476713,-374.892599,-177.056056,0.859960
3,5000,7,0.15,85,1.828127,3603.425967,2394.228125,-1.171873,-1396.574033,1394.228125,0.952383
3,5000,7,0.15,86,1.891230,3810.459354,2435.509041,-1.108770,-1189.540646,1435.509041,0.970316
3,5000,7,0.15,87,2.273260,2580.689785,2670.788188,-0.726740,-2419.310215,1670.788188,0.901037
3,5000,7,0.15,88,2.544030,3753.797282,1787.322558,-0.455970,-1246.202718,787.322558,0.926199
3,5000,7,0.15,89,3.069426,4399.940971,2152.273766,0.069426,-600.059029,1152.273766,0.643217
3,5000,7,0.15,90,6.278168,3817.752291,1502.595693,3.278168,-1182.247709,502.595693,-24.224119
3,5000,7,0.15,91,1.485535,2412.421577,3312.727430,-1.514465,-2587.578423,2312.727430,0.696560
3,5000,7,0.15,92,1.166483,2923.526556,2830.130287,-1.833517,-2076.473444,1830.130287,0.988577
3,5000,7,0.15,93,1.479422,1604.068376,4453.898391,-1.520578,-3395.931624,3453.898391,0.907395
3,5000,7,0.15,94,3.004621,3918.161107,1020.221135,0.004621,-1081.838893,20.221135,0.882555
3,5000,7,0.15,95,1.831655,3780.742133,1540.884519,-1.168345,-1219.257867,540.884519,0.977731
3,5000,7,0.15,96,2.677933,1675.931546,3026.632325,-0.322067,-3324.068454,2026.632325,0.623820
3,5000,7,0.15,97,2.097842,2656.941688,2911.032465,-0.902158,-2343.058312,1911.032465,0.964436
3,5000,7,0.15,98,2.982932,4419.561484,2356.274515,-0.017068,-580.438516,1356.274515,0.866370
3,5000,7,0.15,99,2.024159,2144.128127,2594.521990,-0.975841,-2855.871873,1594.521990,0.971166
3,5000,7,0.15,100,0.778296,903.466796,4448.343778,-2.221704,-4096.533204,3448.343778,0.975192
3,5000,7,0.15,101,2.026487,3934.917419,1415.468501,-0.973513,-1065.082581,415.468501,0.960961
3,5000,7,0.15,102,1.155359,1597.632718,4154.427543,-1.844641,-3402.367282,3154.427543,0.986206
3,5000,7,0.15,103,1.376940,1418.464768,4293.649185,-1.623060,-3581.535232,3293.649185,0.955552
