beta_true,eta_true,sample_size,offset_value,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
7,5000,10,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,3,2.649808,2284.848338,3248.733718,-4.350192,-2715.151662,2248.733718,0.908959
7,5000,10,0,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,5,2.498252,2660.393730,3333.049500,-4.501748,-2339.606270,2333.049500,0.994845
7,5000,10,0,6,2.725649,2363.411355,3444.076515,-4.274351,-2636.588645,2444.076515,0.942916
7,5000,10,0,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,10,1.710949,2059.295916,2988.040547,-5.289051,-2940.704084,1988.040547,0.971366
7,5000,10,0,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,13,3.153198,2598.341025,3339.727660,-3.846802,-2401.658975,2339.727660,0.938662
7,5000,10,0,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,16,1.644441,1193.108647,4758.128580,-5.355559,-3806.891353,3758.128580,0.962891
7,5000,10,0,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,20,2.076183,1951.412233,3998.347981,-4.923817,-3048.587767,2998.347981,0.984755
7,5000,10,0,21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,22,7.107756,3881.218891,2058.337193,0.107756,-1118.781109,1058.337193,0.979812
7,5000,10,0,23,2.084519,1693.554425,3901.300099,-4.915481,-3306.445575,2901.300099,0.969266
7,5000,10,0,24,2.594565,2541.640342,3313.753749,-4.405435,-2458.359658,2313.753749,0.966405
7,5000,10,0,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,28,14.739510,5531.474612,891.871464,7.739510,531.474612,-108.128536,0.931284
7,5000,10,0,29,1.719249,816.540451,5172.733393,-5.280751,-4183.459549,4172.733393,0.889278
7,5000,10,0,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,33,7.097625,3453.015053,2109.114551,0.097625,-1546.984947,1109.114551,0.922093
7,5000,10,0,34,1.971955,1497.917289,4922.593671,-5.028045,-3502.082711,3922.593671,0.980628
7,5000,10,0,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,37,4.680264,3933.811649,1778.708272,-2.319736,-1066.188351,778.708272,0.976426
7,5000,10,0,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,41,2.152570,1634.857374,4296.624230,-4.847430,-3365.142626,3296.624230,0.952562
7,5000,10,0,42,14.848808,3476.037122,2522.339313,7.848808,-1523.962878,1522.339313,0.874049
7,5000,10,0,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,44,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,46,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,5000,10,0,47,6.919470,4763.038145,1463.739553,-0.080530,-236.961855,463.739553,0.945506
7,5000,10,0,48,NaN,NaN,NaN,NaN,NaN,NaN,NaN
