beta_true,eta_true,sample_size,offset_value,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
1.5,5000,7,0.2,1,0.777756,2261.118384,2222.358959,-0.722244,-2738.881616,1222.358959,0.902532
1.5,5000,7,0.2,2,0.496892,2393.594091,2382.513081,-1.003108,-2606.405909,1382.513081,0.973904
1.5,5000,7,0.2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,7,0.2,4,0.960187,3196.833820,2439.703945,-0.539813,-1803.166180,1439.703945,0.965665
1.5,5000,7,0.2,5,1.406373,3045.246968,1270.091970,-0.093627,-1954.753032,270.091970,0.981158
1.5,5000,7,0.2,6,1.772835,5921.899442,793.719049,0.272835,921.899442,-206.280951,0.900063
1.5,5000,7,0.2,7,1.477280,3878.517359,1899.727182,-0.022720,-1121.482641,899.727182,0.967967
1.5,5000,7,0.2,8,1.354450,1211.571210,2370.744159,-0.145550,-3788.428790,1370.744159,0.928323
1.5,5000,7,0.2,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,7,0.2,10,0.984234,3185.264954,1139.324637,-0.515766,-1814.735046,139.324637,0.802857
1.5,5000,7,0.2,11,0.530503,2104.344934,4096.237939,-0.969497,-2895.655066,3096.237939,0.978901
1.5,5000,7,0.2,12,1.638238,3124.006980,1167.288038,0.138238,-1875.993020,167.288038,0.963102
1.5,5000,7,0.2,13,1.597426,5700.965564,771.045460,0.097426,700.965564,-228.954540,0.879176
1.5,5000,7,0.2,14,1.547941,5154.402129,1084.522058,0.047941,154.402129,84.522058,0.944012
1.5,5000,7,0.2,15,1.369584,4484.606764,992.114456,-0.130416,-515.393236,-7.885544,0.974182
1.5,5000,7,0.2,16,1.718016,6684.126240,94.978808,0.218016,1684.126240,-905.021192,0.962541
1.5,5000,7,0.2,17,0.630405,2000.054129,1407.920759,-0.869595,-2999.945871,407.920759,0.966240
1.5,5000,7,0.2,18,1.173344,5154.751395,1763.550233,-0.326656,154.751395,763.550233,0.934040
1.5,5000,7,0.2,19,0.823021,2373.975978,2914.409070,-0.676979,-2626.024022,1914.409070,0.947391
1.5,5000,7,0.2,20,1.143060,2835.013475,1584.158489,-0.356940,-2164.986525,584.158489,0.940322
1.5,5000,7,0.2,21,1.703370,4131.601604,1146.044952,0.203370,-868.398396,146.044952,0.960282
