beta_true,eta_true,sample_size,offset_value,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
3,1000,3,0.15,1,2.053595,581.419595,1449.104285,-0.946405,-418.580405,449.104285,0.759891
3,1000,3,0.15,2,1.837444,1074.667034,1290.233355,-1.162556,74.667034,290.233355,0.913199
3,1000,3,0.15,3,2.047111,738.752733,1022.153084,-0.952889,-261.247267,22.153084,0.762224
3,1000,3,0.15,4,0.496599,319.476957,1655.212225,-2.503401,-680.523043,655.212225,1.000000
3,1000,3,0.15,5,1.820198,333.001687,1653.756076,-1.179802,-666.998313,653.756076,0.933978
3,1000,3,0.15,6,1.909207,1300.673352,891.830169,-1.090793,300.673352,-108.169831,0.867297
3,1000,3,0.15,7,1.850174,1325.159793,652.635178,-1.149826,325.159793,-347.364822,0.904472
3,1000,3,0.15,8,1.892942,738.068226,1271.759033,-1.107058,-261.931774,271.759033,0.880121
3,1000,3,0.15,9,1.991376,492.652927,1614.594474,-1.008624,-507.347073,614.594474,0.816589
3,1000,3,0.15,10,1.947640,800.218079,1611.285053,-1.052360,-199.781921,611.285053,0.844978
3,1000,3,0.15,11,1.342810,739.228333,1464.401771,-1.657190,-260.771667,464.401771,0.999950
3,1000,3,0.15,12,1.812734,1004.449168,1006.946539,-1.187266,4.449168,6.946539,0.926212
3,1000,3,0.15,13,0.990122,456.601520,1325.023350,-2.009878,-543.398480,325.023350,0.999990
3,1000,3,0.15,14,0.812370,820.552399,1118.730482,-2.187630,-179.447601,118.730482,0.999998
3,1000,3,0.15,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,3,0.15,16,1.992454,1201.725973,865.933358,-1.007546,201.725973,-134.066642,0.805929
3,1000,3,0.15,17,1.599197,757.643751,1310.893449,-1.400803,-242.356249,310.893449,0.997906
3,1000,3,0.15,18,1.909533,424.648839,1764.842594,-1.090467,-575.351161,764.842594,0.882391
3,1000,3,0.15,19,1.790839,1431.606324,642.285368,-1.209161,431.606324,-357.714632,0.936525
3,1000,3,0.15,20,1.695379,1682.237199,731.007940,-1.304621,682.237199,-268.992060,0.975698
3,1000,3,0.15,21,1.932768,1135.733604,1071.592101,-1.067232,135.733604,71.592101,0.851694
3,1000,3,0.15,22,0.887366,384.213392,1709.481082,-2.112634,-615.786608,709.481082,0.999969
3,1000,3,0.15,23,1.987344,782.860098,1025.837519,-1.012656,-217.139902,25.837519,0.811742
3,1000,3,0.15,24,1.840040,468.758578,1726.153169,-1.159960,-531.241422,726.153169,0.922125
3,1000,3,0.15,25,1.875460,1062.581909,929.563065,-1.124540,62.581909,-70.436935,0.889802
3,1000,3,0.15,26,0.873925,972.727942,958.983638,-2.126075,-27.272058,-41.016362,0.999997
3,1000,3,0.15,27,1.265037,604.452839,1546.232737,-1.734963,-395.547161,546.232737,0.999933
3,1000,3,0.15,28,0.354952,190.851154,1299.171163,-2.645048,-809.148846,299.171163,1.000000
3,1000,3,0.15,29,1.680829,506.005890,1757.971180,-1.319171,-493.994110,757.971180,0.985573
3,1000,3,0.15,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1000,3,0.15,31,0.797770,108.964131,1692.075103,-2.202230,-891.035869,692.075103,0.999551
3,1000,3,0.15,32,1.956842,1279.290282,1172.443456,-1.043158,279.290282,172.443456,0.833514
3,1000,3,0.15,33,0.298812,59.944333,1861.777674,-2.701188,-940.055667,861.777674,0.995901
3,1000,3,0.15,34,1.664766,620.621749,1401.614351,-1.335234,-379.378251,401.614351,0.986838
3,1000,3,0.15,35,1.621386,405.685028,1623.272472,-1.378614,-594.314972,623.272472,0.997288
3,1000,3,0.15,36,0.587990,255.042015,2000.753748,-2.412010,-744.957985,1000.753748,0.998014
3,1000,3,0.15,37,1.229971,434.050647,1596.650454,-1.770029,-565.949353,596.650454,0.999913
3,1000,3,0.15,38,1.878867,644.680207,1272.541610,-1.121133,-355.319793,272.541610,0.890875
3,1000,3,0.15,39,1.609019,688.901254,1323.722686,-1.390981,-311.098746,323.722686,0.996912
3,1000,3,0.15,40,1.921279,492.102080,1499.135079,-1.078721,-507.897920,499.135079,0.869279
