beta_true,eta_true,sample_size,offset_value,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
1.5,5000,10,0.05,1,2.498103,6603.128730,413.106656,0.998103,1603.128730,-586.893344,0.963032
1.5,5000,10,0.05,2,0.783645,3722.603617,2985.261922,-0.716355,-1277.396383,1985.261922,0.975201
1.5,5000,10,0.05,3,2.176814,5003.615345,24.637211,0.676814,3.615345,-975.362789,0.932744
1.5,5000,10,0.05,4,1.783990,5747.697232,693.714519,0.283990,747.697232,-306.285481,0.986559
1.5,5000,10,0.05,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,10,0.05,6,0.852790,2980.421002,2207.993882,-0.647210,-2019.578998,1207.993882,0.954735
1.5,5000,10,0.05,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,10,0.05,8,0.888835,2629.330055,2630.837538,-0.611165,-2370.669945,1630.837538,0.985651
1.5,5000,10,0.05,9,0.639649,2431.164446,3256.816596,-0.860351,-2568.835554,2256.816596,0.973978
1.5,5000,10,0.05,10,0.746621,3075.142267,1588.277012,-0.753379,-1924.857733,588.277012,0.967900
1.5,5000,10,0.05,11,2.017563,4695.662140,621.832043,0.517563,-304.337860,-378.167957,0.963038
1.5,5000,10,0.05,12,1.527037,4386.406584,2119.024529,0.027037,-613.593416,1119.024529,0.877729
1.5,5000,10,0.05,13,1.451609,3845.188756,1911.253754,-0.048391,-1154.811244,911.253754,0.975993
1.5,5000,10,0.05,14,0.954210,2931.805049,3068.677060,-0.545790,-2068.194951,2068.677060,0.993372
1.5,5000,10,0.05,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,10,0.05,16,1.322102,4549.474132,1109.590967,-0.177898,-450.525868,109.590967,0.858418
1.5,5000,10,0.05,17,1.449499,5255.706665,2313.016824,-0.050501,255.706665,1313.016824,0.969787
1.5,5000,10,0.05,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,10,0.05,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5000,10,0.05,20,1.133411,4967.198191,920.225452,-0.366589,-32.801809,-79.774548,0.982639
1.5,5000,10,0.05,21,1.378305,5268.411359,383.793860,-0.121695,268.411359,-616.206140,0.966878
1.5,5000,10,0.05,22,1.079484,2969.491563,928.177026,-0.420516,-2030.508437,-71.822974,0.952989
1.5,5000,10,0.05,23,1.484267,5654.522782,942.510986,-0.015733,654.522782,-57.489014,0.962622
