sim_id,est_beta,est_eta,est_gamma,r_squared,has_intersection,gradient_type,grad_min,grad_max,sigma_min_min,sigma_min_max
192,1.946573,942.539351,1011.839557,0.909422,True,normal,-0.016404,0.885886,137.252220,275.885454
193,2.560589,951.768665,1013.260789,0.882092,True,normal,0.008654,0.570263,83.358250,248.451571
194,2.364970,1057.675011,1126.555912,0.829154,True,normal,-0.001525,0.571809,153.912394,306.088510
195,1.662550,744.046728,1153.354784,0.977283,True,normal,-0.056116,1.528240,64.959457,196.728449
196,2.188175,969.916379,933.380452,0.946755,True,normal,0.016904,0.926456,55.510937,261.108602
197,2.827332,1093.800149,1256.391991,0.651902,True,normal,0.010170,0.383256,163.284475,322.607331
198,1.586686,1155.133956,1014.470381,0.949263,True,normal,-0.037150,1.409583,166.663899,350.608746
199,0.914995,457.902375,1678.251348,0.988259,True,normal,-0.666421,0.662553,58.251447,213.474060
200,2.180978,1345.514398,657.893632,0.956934,True,normal,0.004125,0.900046,98.466705,348.227419
201,1.417468,732.471382,1198.764965,0.891015,True,normal,0.007546,2.120577,138.311971,281.419433
202,0.964512,1035.492822,1401.966664,0.917191,True,normal,-0.014080,2.849859,311.429052,421.816411
203,1.226203,715.134900,1340.191395,0.928587,True,normal,-0.047102,2.415299,135.488181,248.365929
204,1.118135,829.405941,1575.077947,0.896237,True,normal,-0.085423,2.436448,195.676443,311.277281
205,1.303006,1068.116585,1383.135677,0.979962,True,normal,-0.022696,2.910757,117.616652,316.221293
206,1.992918,992.568295,940.075176,0.958314,True,normal,-0.004923,1.091839,82.070807,273.848190
207,14.672342,1642.281421,194.359386,0.811785,False,below_offset,-0.091018,-0.000699,39.935846,53.812706
208,0.744025,780.143544,1229.060671,0.977986,True,normal,-0.584942,1.280265,165.540010,280.985098
209,1.120145,477.155194,1524.328542,0.894446,True,normal,0.001119,0.737983,121.275522,158.245121
210,4.939544,1870.486031,0.000000,0.746889,False,below_offset,-0.103126,-0.002827,178.389141,202.995171
211,1.958679,1809.846279,696.621235,0.941260,True,normal,0.038548,1.110073,176.086026,528.136551
212,1.168230,626.271726,1019.870462,0.957358,True,normal,-0.218454,2.330027,107.878838,204.736572
213,1.736323,1000.145305,1247.164442,0.978268,True,normal,-0.008726,1.704903,69.964114,274.537949
214,1.280051,637.363696,1123.876240,0.946813,True,normal,-0.113254,2.001141,114.316414,204.855445
215,1.036786,414.438604,1254.930925,0.916615,True,normal,-0.389513,0.951285,119.918037,241.412825
