sim_id,has_intersection,gradient_type,est_beta,est_eta,est_gamma,r_squared,grad_min,grad_max,sigma_min_min,sigma_min_max,sample_data
19,False,below_offset,5.736897,1753.436994,0.000000,0.782207,-0.736561,-0.006495,69.184299,154.753186,"[1294.3591893594391, 1320.3495299256297, 1385.5551707382856, 1532.5482904128262, 1634.5383758002245, 2055.780184931579, 2196.802871370147]"
1,True,normal,2.129706,862.415518,765.442836,0.951077,-0.010304,0.900198,74.400395,225.312541,"[1010.6949220961673, 1311.261741390961, 1398.3837285767002, 1453.9984956826183, 1600.010628950787, 1734.5786801011757, 2128.7715681276277]"
2,True,normal,2.898620,800.570632,917.295537,0.722409,0.019069,0.384628,86.204795,216.820227,"[1162.074800214291, 1478.5094483956955, 1633.2277823554496, 1738.4859633903748, 1755.976399828404, 1756.7641566364086, 1893.1729553707075]"
3,True,normal,1.754762,985.150623,1125.011987,0.971876,-0.008985,1.497957,81.534478,272.096031,"[1366.3339223985274, 1586.315104437192, 1845.6005593829836, 1894.5850361382531, 2109.7332322411294, 2494.8012622436772, 2505.385837969651]"
4,True,normal,1.824907,1341.966998,1171.090294,0.927823,0.002691,1.092899,171.639381,404.545403,"[1493.41708287575, 1890.1550293670086, 2093.8147616071656, 2120.098509425216, 2847.2012178152286, 2897.4445567061416, 2934.218951869172]"
5,True,normal,1.464064,787.052633,1308.495714,0.908811,0.001089,2.196188,118.888963,277.828094,"[1481.225482872733, 1501.018939085792, 1818.6782516456637, 1972.6715838359937, 2205.0064171649055, 2430.33907827825, 2583.828910932103]"
6,True,normal,1.541410,971.566239,992.987284,0.974971,-0.008648,2.278460,87.150477,291.921016,"[1206.3755715529298, 1337.4971592300276, 1635.1668082617293, 1868.6967645161858, 1950.7874492939914, 2312.116728856796, 2494.5301274884678]"
7,True,normal,2.138974,1198.209534,957.781104,0.906976,-0.008000,0.764720,152.942548,338.376733,"[1281.7390805718023, 1759.593222821607, 1833.9008469325913, 1879.3544660087432, 2133.7629941133246, 2230.349005184621, 2953.5189304931464]"
8,True,normal,1.940895,1496.132196,701.407247,0.971109,0.006369,1.231865,101.687352,404.799342,"[1107.0713248214206, 1514.6982995088515, 1750.294438747222, 1869.968312039363, 2426.199179408822, 2437.690872818832, 2859.8546852542518]"
9,True,normal,2.241189,745.837308,886.761721,0.912348,0.006159,0.749377,69.047642,203.131193,"[1102.1192465020072, 1379.0429276679138, 1391.5107381706189, 1496.6036777097409, 1736.3140464965477, 1827.4837139408091, 1834.807409325691]"
