layer,delta_star,J1_mean,description,improvement_vs_default_pct,improvement_vs_prev_pct
Default,0.1,0.6136776503711532,基线,0.0,
L1,0.1,0.6136776503711532,全局最优常数,0.0,0.0
L3,,0.5673464414538925,按真β (oracle),7.549763118998964,7.549763118998964
L4,,0.5640405766483414,按真β+n (oracle),8.088460398189701,0.5826889117484191
L5,,0.5535226056908757,按真β+γ/η+n (oracle),9.80238479336759,1.8647543089835517
L6,,0.4785231149691833,逐样本 (hindsight oracle),22.023701746385616,13.549490111263351
