beta,eta,gamma,gamma_over_eta,n,J1_L3,J1_L4,J1_L5,J1_L6
1.5,1.0,0.1,0.1,7,0.5628960871985731,0.5551485402477019,0.5381109525831373,0.4908868706659989
1.5,1.0,0.1,0.1,10,0.44989730973287073,0.4526560593466309,0.44416817561942057,0.4065779010273156
1.5,1.0,0.1,0.1,20,0.3097635580485769,0.3051616750481676,0.3051616750481676,0.2813018656205217
1.5,1.0,0.5,0.5,7,0.6020268982681245,0.6000718152219082,0.6000718152219082,0.5024532821436469
1.5,1.0,0.5,0.5,10,0.46697030080959395,0.46278548997907853,0.46278548997907853,0.41306835386569163
1.5,1.0,0.5,0.5,20,0.31830493810615385,0.308084146887684,0.308084146887684,0.28382203976173864
1.5,1.0,1.0,1.0,7,0.6103484732709856,0.6043283376609908,0.6043283376609908,0.516642637336599
1.5,1.0,1.0,1.0,10,0.4577938850126258,0.4557358725916572,0.4557358725916572,0.4073841942883221
1.5,1.0,1.0,1.0,20,0.3161250666742311,0.3055924830609232,0.3055924830609232,0.28108944516914997
2.0,1.0,0.1,0.1,7,0.5765568179564319,0.5667319144351174,0.5518890348333699,0.4977190973361612
2.0,1.0,0.1,0.1,10,0.4888740352822958,0.4888740352822958,0.48149086764453336,0.42427632490354367
2.0,1.0,0.1,0.1,20,0.335835247392107,0.340214101903484,0.33379687580133943,0.280933080439321
2.0,1.0,0.5,0.5,7,0.6143113688164943,0.6091419357443616,0.6091419357443616,0.5158492242077308
2.0,1.0,0.5,0.5,10,0.5089447626996418,0.5089447626996418,0.5089447626996418,0.42881114398610065
2.0,1.0,0.5,0.5,20,0.35956868772576306,0.3472933009606774,0.34643060321662067,0.28371599501192435
2.0,1.0,1.0,1.0,7,0.6414700051861537,0.6387039502100155,0.6387039502100155,0.5177386046434731
2.0,1.0,1.0,1.0,10,0.5065529704582795,0.5065529704582795,0.5031416415450672,0.42477216337284657
2.0,1.0,1.0,1.0,20,0.36856716919825877,0.35735503567434923,0.356662039754552,0.2999208430019744
2.5,1.0,0.1,0.1,7,0.6310925081883861,0.6310925081883861,0.6085233124474603,0.5523910517201591
2.5,1.0,0.1,0.1,10,0.5181151867726048,0.5232155893637517,0.5022149754018398,0.44798438363784904
2.5,1.0,0.1,0.1,20,0.37998841284117163,0.3877186409607878,0.3705498371918192,0.31698955506145265
2.5,1.0,0.5,0.5,7,0.6503225310000692,0.6503225310000692,0.6503225310000692,0.5351164045615712
2.5,1.0,0.5,0.5,10,0.5650125829604665,0.5600306592568841,0.5591246170367322,0.4561133665657919
2.5,1.0,0.5,0.5,20,0.4035958879713768,0.3946820796368407,0.39465676308054526,0.31072082591589345
2.5,1.0,1.0,1.0,7,0.6540337147874732,0.6540337147874732,0.6540337147874732,0.5596765643579626
2.5,1.0,1.0,1.0,10,0.5521040735065379,0.5484302354957774,0.5484302354957774,0.4514474163036035
2.5,1.0,1.0,1.0,20,0.4158766377139461,0.4075567320804532,0.407530234734134,0.33403743264872565
4.0,1.0,0.1,0.1,7,0.7300785541874667,0.7300785541874667,0.7035633222251029,0.6539696299794303
4.0,1.0,0.1,0.1,10,0.6185161212308327,0.6185161212308327,0.5849538644042014,0.5444583734966113
4.0,1.0,0.1,0.1,20,0.4956623503604665,0.5181600623537778,0.45740438068243444,0.42388134693723656
4.0,1.0,0.5,0.5,7,0.7642917488791087,0.7642917488791087,0.7642917488791087,0.6533469727666703
4.0,1.0,0.5,0.5,10,0.6883170473788672,0.6883170473788672,0.6863522352746303,0.5822584532695027
4.0,1.0,0.5,0.5,20,0.5382895601262316,0.5242277402952928,0.5242277402952928,0.41224710956015925
4.0,1.0,1.0,1.0,7,0.7810460677130745,0.7810460677130745,0.7746071168587852,0.6668553409521867
4.0,1.0,1.0,1.0,10,0.7057307533416626,0.7057307533416626,0.6870938509478631,0.5737832864840197
4.0,1.0,1.0,1.0,20,0.5628932711100403,0.531012020098112,0.531012020098112,0.4142257438984832
5.0,1.0,0.1,0.1,7,0.8070487634939378,0.756039828707035,0.7389754260051918,0.6914879293003935
5.0,1.0,0.1,0.1,10,0.7204357135587716,0.7204357135587716,0.6457166677247443,0.6133120489647302
5.0,1.0,0.1,0.1,20,0.568097468840459,0.568097468840459,0.48669328672089973,0.46489992193422525
5.0,1.0,0.5,0.5,7,0.8115464437216241,0.7995242234165445,0.7995242234165445,0.7063463723612282
5.0,1.0,0.5,0.5,10,0.7354560674972673,0.7354560674972673,0.7354560674972673,0.6321892160070467
5.0,1.0,0.5,0.5,20,0.574631086544525,0.574631086544525,0.574631086544525,0.45707779322000164
5.0,1.0,1.0,1.0,7,0.8261460774182636,0.8584607066986574,0.8261460774182636,0.7197198823607512
5.0,1.0,1.0,1.0,10,0.7541998356721914,0.7541998356721914,0.7541998356721914,0.6361350973129175
5.0,1.0,1.0,1.0,20,0.5840414241459266,0.5840414241459266,0.5840414241459266,0.4659055872525883
