beta,n,delta_star_L4,J1_at_L4
1.5,7,0.3,0.5869380503548243
1.5,10,0.42,0.4570788055194551
1.5,20,0.5,0.3062821439920258
2.0,7,0.16,0.6055800791350276
2.0,10,0.2,0.5015371391142424
2.0,20,0.28,0.3483584808536427
2.5,7,0.12,0.6452279308628195
2.5,10,0.14,0.5441092462201906
2.5,20,0.16,0.396737603628662
4.0,7,0.04,0.7587686368011453
4.0,10,0.04,0.6719123073107547
4.0,20,0.06,0.5244928786940319
5.0,7,0.02,0.8057687822543036
5.0,10,0.04,0.7368266726798649
5.0,20,0.04,0.5756271955715435
