beta,delta_star_L3,J1_at_L3
1.5,0.36,0.46893073353007875
2.0,0.2,0.5004237324807874
2.5,0.12,0.5397214234547651
4.0,0.04,0.6611331711112794
5.0,0.04,0.7161031365639088
