n,base01,per_n,adaptive,oracle,best_delta_n
5,0.8363152601658438,0.8177119401596412,0.811703684238867,0.713625618156641,0.15
10,0.5978072305345455,0.5904997345860413,0.5892731697916562,0.5063156458468159,0.15
20,0.4112737505749329,0.4112737505749329,0.40802086080129985,0.36223880345654125,0.1
30,0.3424038381600852,0.34117263938585846,0.3383776417897107,0.30580055805067485,0.08
50,0.2659442906083781,0.2611138483211833,0.2545543331095484,0.23483290537545495,0.08
100,0.20844008302274628,0.20340614023281653,0.19684563937624133,0.1861077667238296,0.08
