seed,test_n,F13_J_J1,RAW_J_J1,RAW_minus_F13_J1,RAW_minus_F13_rel,F13_mean_regret,RAW_mean_regret,RAW_minus_F13_mean_regret,F12_J_J1,F12_minus_F13_J1,F12_minus_F13_rel,F12_mean_regret,F12_minus_F13_mean_regret
42,7,0.6359658543997637,0.6416313408090584,0.005665486409294651,0.008908475777590043,0.0605171359625041,0.0677553455085125,0.0072382095460084075,,,,,
42,7,0.6359658543997637,,,,0.0605171359625041,,,0.6441651354153798,0.008199281015616067,0.012892643463310934,0.071013289684797,0.010496153722292907
42,10,0.532122463464405,0.539010233647639,0.006887770183234054,0.012943956807218673,0.0401598205759463,0.0475375364294017,0.007377715853455397,,,,,
42,10,0.532122463464405,,,,0.0401598205759463,,,0.540298025304228,0.008175561839823042,0.015364060721277795,0.0489274606001675,0.008767640024221195
42,20,0.4001298877083519,0.4019167136001743,0.0017868258918223856,0.004465614658420052,0.0305172218141204,0.0319503394477866,0.0014331176336662005,,,,,
42,20,0.4001298877083519,,,,0.0305172218141204,,,0.4007554534006532,0.000625565692301322,0.0015634065625142366,0.0310182282069852,0.0005010063928648015
2026,7,0.6368389309860208,0.6429121759214561,0.0060732449354352624,0.009536547845829756,0.0616283920195003,0.0694006339481438,0.0077722419286435016,,,,,
2026,7,0.6368389309860208,,,,0.0616283920195003,,,0.646364653622431,0.009525722636410161,0.014957820844371807,0.0738518334525277,0.0122234414330274
2026,10,0.5335921612994073,0.5399827567094536,0.006390595410046274,0.011976554142931656,0.0417260990526921,0.0485868819960604,0.006860782943368296,,,,,
2026,10,0.5335921612994073,,,,0.0417260990526921,,,0.5433709022809152,0.009778740981507883,0.01832624556870293,0.0522574418980952,0.010531342845403094
2026,20,0.3940111330265899,0.3997928894848924,0.005781756458302478,0.014674094140157952,0.0256580677255192,0.0302476492593015,0.0045895815337822984,,,,,
2026,20,0.3940111330265899,,,,0.0256580677255192,,,0.410304885765452,0.016293752738862077,0.041353533880380204,0.0387633940596227,0.013105326334103502
3407,7,0.6486818076453545,0.6473427753329519,-0.0013390323124026215,-0.0020642359576310077,0.0768526555701272,0.0751172367758511,-0.0017354187942761057,,,,,
3407,7,0.6486818076453545,,,,0.0768526555701272,,,0.6395147379247859,-0.009167069720568688,-0.014131843397680859,0.0650436680230901,-0.011808987547037103
3407,10,0.5391694269220254,0.5387562128664184,-0.0004132140556070141,-0.0007663899972332316,0.0477091753799447,0.0472637613546849,-0.00044541402525979934,,,,,
3407,10,0.5391694269220254,,,,0.0477091753799447,,,0.5354896054688578,-0.0036798214531675866,-0.006824981665178433,0.0437546220177123,-0.003954553362232403
3407,20,0.3990222739505089,0.396516134954965,-0.0025061389955438607,-0.006280699497629297,0.0296320698852571,0.0276383400562461,-0.001993729829011002,,,,,
3407,20,0.3990222739505089,,,,0.0296320698852571,,,0.3955276034529685,-0.0034946704975403753,-0.00875808376044146,0.0268553798698708,-0.0027766900153863017
