comparison,seed,test_n,point_estimate_J1,ci_low_J1,ci_high_J1,bootstrap_mean_J1,point_estimate_regret,ci_low_regret,ci_high_regret,bootstrap_mean_regret,representation,train_n
T_minus_S,42,7,-0.0036133331652558054,-0.017465840248219833,0.011311725220435595,-0.003503243497334317,-0.004661361799546598,-0.023732119515098855,0.013949902406900371,-0.004764211837238949,F12,10
T_minus_S,42,7,0.05273690941879383,0.016802356254374894,0.09001608048955613,0.05279272268501295,0.07100471543198052,0.023162328408136586,0.11923050562619898,0.07078350820949202,F12,20
T_minus_S,42,7,0.10116895664385195,0.07007376808323318,0.1380675950036871,0.1008905145292951,0.1407979828100403,0.09468678528824323,0.1947997809272332,0.14057008840234056,RAW,10
T_minus_S,42,7,0.12411667138823168,0.08314070369382524,0.1683052442346949,0.1236762944745195,0.1755827712977338,0.1093907641297171,0.25543387794060535,0.17595848066040784,RAW,20
RAW_minus_F13,42,10,0.006887770183234054,-0.0002416031138608092,0.013435939081766582,0.006767715091969533,0.007377715853455397,-0.00023600149455620624,0.015225106815392117,0.007371464105373795,,
F12_minus_F13,42,10,0.008175561839823042,-0.0007085421432380862,0.018066388556034874,0.00824532376300744,0.008767640024221195,-0.0008063402644504821,0.01855710426057189,0.008718238361106303,,
J_minus_S,42,10,-0.0006659397260649902,-0.005537112945617298,0.0039056944580498627,-0.0005791442789244544,-0.0007091664508237991,-0.006095754143130564,0.004053450462250715,-0.00065582315596396,F13,"7,10,20"
J_minus_S,42,10,0.010735820713673183,0.0007033071786303082,0.021674923147075066,0.01086555468493132,0.0114858276168395,0.0007894714554659551,0.021998179423440036,0.01144694649448274,F12,"7,10,20"
J_minus_S,42,10,0.009494148421077098,0.0028297290684248773,0.01581580903564063,0.009391461843016336,0.010144747463218598,0.002833009827286028,0.018142594514186795,0.010158295245773042,RAW,"7,10,20"
L_minus_S,42,10,0.00774184710863135,0.002944864146087012,0.012972347232432695,0.007791825657108555,0.008309468914158395,0.0031060416323818118,0.014145991638614939,0.008376264498533076,F13,"7,20"
L_minus_S,42,10,0.013583471566796068,0.00849967395632573,0.018601916374807927,0.013535903165884641,0.014571096997617203,0.008820113511450374,0.02088431526096839,0.014555884708333293,F12,"7,20"
