n,quantile,excess_loss
7,0.5,0.03319879157829406
7,0.9,0.24687919696994562
7,0.99,0.8828809584168177
10,0.5,0.0193310300276327
10,0.9,0.17494585454703712
10,0.99,0.5622168807117598
15,0.5,0.014953336066882907
15,0.9,0.13362535324656682
15,0.99,0.4033761068272066
20,0.5,0.009714421774761835
20,0.9,0.11046166465330468
20,0.99,0.3138958226785218
