n,beta,gamma_over_eta,gamma,eta,delta,R,n_anom,anom_rate,strict_rate,has_flank_rate,gamma_bias,gamma_mae,gamma_rmse,gamma_std,gamma_medae,beta_bias,beta_mae,beta_rmse,eta_bias,eta_mae,eta_rmse,NE_mean_clean,NE_mean_capped,NE_median,NE_p90,hug_rate,hug_median,n_clean
5,0.8,0.0,0.0,100.0,0.0,300,51,0.17,1.0,0.9333333333333333,-6.6954471390587535,21.488876708143774,35.470850472270385,34.90336330658969,10.51522642388528,0.1872479862063488,0.44648087543359233,0.7502966310654664,23.932857320025274,63.185439447372815,87.12551300818077,0.987457384451981,1.2956241144458076,0.7907385018923663,11.79622928454411,0.36,0.047252944102954234,249
5,0.8,0.0,0.0,100.0,0.01,300,39,0.13,0.6433333333333333,0.9333333333333333,-5.477258675630307,22.39559347876585,37.84436021640361,37.51783970586868,10.405931294229799,0.20025879762021892,0.4807840214861034,0.7911951946646671,16.39805635474819,59.603771868410306,81.28224058093362,0.9902764906779928,1.212242934009266,0.7556394997800617,6.611099342846772,0.48333333333333334,0.02369926838388705,261
5,0.8,0.0,0.0,100.0,0.03,300,17,0.056666666666666664,0.7333333333333333,0.9333333333333333,-10.685926826185971,24.997082136333386,40.84327143110852,39.49043390332494,13.396782905518515,0.325751189423039,0.5768331882426513,0.9396543459875588,24.74073959351583,63.52995906929846,88.23859093074887,1.130162842329113,1.1657413844408187,0.7765115582635818,3.754955379032205,0.4033333333333333,0.039920458750188216,283
5,0.8,0.0,0.0,100.0,0.05,300,7,0.023333333333333334,0.77,0.9333333333333333,-10.879964566167244,24.638288985356237,40.73149498812424,39.31866427015844,12.486112300060801,0.3369143172335212,0.5769870700665718,0.9267960323399557,27.291757072778147,64.74082739869459,90.8111280476469,1.1343981943882675,1.1123752869310553,0.7690440789066527,2.996747541383993,0.38333333333333336,0.04180385822964684,293
5,0.8,0.0,0.0,100.0,0.08,300,2,0.006666666666666667,0.8,0.9333333333333333,-9.303290244030087,23.271986024554305,38.59783054773397,37.52287344879948,13.212078264059395,0.2917534301796148,0.526282284024167,0.8070590079579736,27.6666155114784,64.74034163329267,92.12581697977339,1.0757294613166615,1.0439932539421934,0.7483970824271776,2.3766936892234027,0.37666666666666665,0.04211616769555772,298
5,0.8,0.0,0.0,100.0,0.1,300,2,0.006666666666666667,0.81,0.9333333333333333,-7.08503593404455,21.30613943304833,34.1173603696854,33.42972780510569,12.688765972784582,0.2526517593721991,0.48765991576248185,0.7276360589732187,25.338978548854467,62.86864223576613,88.45066290240806,1.019514929774716,1.007150928801439,0.734604516933517,2.1825795895375233,0.37333333333333335,0.04099547424222894,298
5,0.8,0.0,0.0,100.0,0.15,300,1,0.0033333333333333335,0.8433333333333334,0.9333333333333333,-4.150974973177023,18.897427990633247,29.11896579607713,28.8698996289048,11.867098357065947,0.1986098467851121,0.4334042050784861,0.6240576677762081,23.139133641680274,60.98525555161411,86.04708653629905,0.9468916804517975,0.9393082034963712,0.7099209450436508,1.946765899352275,0.36666666666666664,0.03970545938808677,299
5,0.8,0.0,0.0,100.0,0.2,300,0,0.0,0.8566666666666667,0.9333333333333333,-2.291591329585555,17.594195703399254,26.684065447701304,26.629904192838815,10.402022682606608,0.16176025137619135,0.3971417189971514,0.5557914475337902,21.995607357748504,60.31521457536517,85.97339218069158,0.9041181210549208,0.8911824193131767,0.6829361310541024,1.817593890192895,0.37,0.03821451117240626,300
5,0.8,0.0,0.0,100.0,0.3,300,0,0.0,0.8733333333333333,0.9333333333333333,0.8610265971219675,15.6585916838028,22.692765479259517,22.714313514253526,8.863340942841145,0.11110937367396824,0.3498621651462445,0.47653821514748096,18.426325967886388,57.54055163371156,81.0805444096833,0.8360993593297892,0.8292970612610544,0.6582803830924105,1.637084122677889,0.39,0.035010257792628625,300
5,0.8,0.0,0.0,100.0,0.5,300,1,0.0033333333333333335,0.9,0.9333333333333333,4.9459974051926965,14.034588645463117,20.650564196893882,20.08312344387402,8.855835335097368,0.07835620112591797,0.32426685400795474,0.5230135905202741,13.00736914516374,53.43254409813735,74.74094018766635,0.7902381172323646,0.7809002537784456,0.6353924851491222,1.5044910908272044,0.44,0.027239128808398336,299
5,0.8,0.0,0.0,100.0,0.7,300,1,0.0033333333333333335,0.9066666666666666,0.9333333333333333,7.001285997846356,13.522736330591822,20.50126150589235,19.301026817896172,8.04382563328654,0.06689625795441322,0.3209442539191467,0.555492825812632,9.9766781102364,51.93866526258191,72.05939183461021,0.7812835448709011,0.77308843129606,0.615225175454361,1.4589696745322158,0.4666666666666667,0.021988621879281856,299
5,0.8,0.0,0.0,100.0,1.0,300,1,0.0033333333333333335,0.91,0.9333333333333333,8.734157653908339,13.35098986041126,20.66744444581597,18.762599100272748,7.029201775329822,0.05009565422780304,0.3166697799404601,0.5635852020100848,7.218482923195426,50.97051153401583,69.8861783747611,0.7718368182900172,0.7650370299487196,0.6040636616417814,1.5213767070943152,0.5233333333333333,0.018859914261338227,299
5,0.8,0.05,5.0,100.0,0.0,300,50,0.16666666666666666,1.0,0.9166666666666666,-4.150026845336793,22.560281021594783,39.89030798877444,39.75343116991779,10.410006157344313,0.10731189962886267,0.4188962780253426,0.6264424917109196,14.889200347499887,64.39100120013663,87.68100810442557,0.9495259749521695,1.267583559907043,0.7838143275365919,10.485372971407621,0.42333333333333334,0.03531310277292858,250
5,0.8,0.05,5.0,100.0,0.01,300,37,0.12333333333333334,0.6133333333333333,0.9166666666666666,-4.838546591492909,25.15583404767137,41.71027022926912,41.50766202576382,11.851199147826144,0.1702095703673229,0.5047520961684359,0.7834416896198539,10.183093582577177,63.469994873501584,84.51156308747757,1.0314893133895813,1.2350559168116668,0.8000333244694822,5.359512541026826,0.53,0.010856724869075096,263
5,0.8,0.05,5.0,100.0,0.03,300,16,0.05333333333333334,0.69,0.9166666666666666,-7.608062878803969,26.027382546977478,42.20337670736141,41.58523272077962,12.513861232772719,0.25621592158409684,0.5584066121332215,0.8449939613969635,15.009116243211425,64.04566787597635,84.43774142241872,1.0876819249574319,1.149617439669914,0.7960510899447173,3.1762008719088657,0.4666666666666667,0.03088616758791825,284
5,0.8,0.05,5.0,100.0,0.05,300,6,0.02,0.7333333333333333,0.9166666666666666,-8.089058168470324,25.839884427959053,41.500714951526746,40.77415048735502,13.329801388810665,0.27503431104807813,0.5621645886333088,0.8533422987415384,17.50444491690644,64.75289683461824,85.9800019769134,1.097194222143735,1.0833533041353232,0.7893571836417208,2.4841800038541417,0.45,0.032414857036951086,294
5,0.8,0.05,5.0,100.0,0.08,300,4,0.013333333333333334,0.76,0.9166666666666666,-4.991410394188652,23.133317971872774,35.70210100094089,35.411328652446635,12.860555012582507,0.21846457675663147,0.500667344704357,0.7278939756597839,14.755167078635674,61.81592719828547,81.42636336474379,1.0089873089800725,1.014618792360677,0.7698477625826606,2.1439035874604193,0.44333333333333336,0.03350998405960216,296
5,0.8,0.05,5.0,100.0,0.1,300,3,0.01,0.7633333333333333,0.9166666666666666,-3.6992526140854847,22.093065179751115,33.7542281368836,33.60753433778451,12.58653073539288,0.1912416103784364,0.4725032662632092,0.6725278969808065,13.913311862816421,61.31688934069206,81.12204979024062,0.9750476376906985,0.9817692748790515,0.7635050746344133,1.9978508074202654,0.44333333333333336,0.033164227779765694,297
5,0.8,0.05,5.0,100.0,0.15,300,1,0.0033333333333333335,0.7833333333333333,0.9166666666666666,-1.5100934006986912,20.246702782947455,30.529533043868906,30.54328152124067,11.838066918433178,0.13785161975950402,0.4173114744142617,0.5678673839132566,13.827980317242508,61.217757744890235,85.0886179814016,0.9229597830808934,0.9150109456320937,0.7407770585236745,1.7566155828486902,0.44,0.03227081566846102,299
5,0.8,0.05,5.0,100.0,0.2,300,1,0.0033333333333333335,0.8166666666666667,0.9166666666666666,0.5750377763728605,18.4821616370636,27.438233874862828,27.478196170666184,11.392274583961942,0.1033777932311417,0.38117590949810604,0.5064416277760998,11.601577072527734,59.144185471875666,81.60315734546259,0.870800139013421,0.8668443278140898,0.709455056937935,1.6361676551861684,0.43666666666666665,0.03155545161333782,299
5,0.8,0.05,5.0,100.0,0.3,300,1,0.0033333333333333335,0.8533333333333334,0.9166666666666666,3.2260069865124996,16.460274334238424,24.268263190516272,24.093212562051242,10.40119523485539,0.05771763958279463,0.3348888870758554,0.43354116673085086,8.740199569347832,56.870065175554714,77.55406319368136,0.8098383554324006,0.8101293343765067,0.6905180121969261,1.447884894176572,0.4533333333333333,0.03015021625976012,299
5,0.8,0.05,5.0,100.0,0.5,300,1,0.0033333333333333335,0.87,0.9166666666666666,6.393958785184237,14.606957821773703,21.92046124045144,21.002360821453006,8.770381115083165,0.014008599002653348,0.2972293005016013,0.412122335196291,4.810636119650921,54.41118991397904,73.35988942420174,0.7616008823194576,0.7626545529448362,0.6567874275267587,1.3512718136889599,0.46,0.027046988376996525,299
5,0.8,0.05,5.0,100.0,0.7,300,0,0.0,0.88,0.9166666666666666,8.159093184594758,14.450874314913714,21.919222299858504,20.378069675873693,8.8124057767245,0.00290534362307578,0.29332307254139256,0.4522268625394049,3.4929325604861403,54.173224766689195,75.80343937225757,0.766135929686899,0.7545823971194054,0.6440407886484565,1.3203496417054663,0.48333333333333334,0.02313247587992137,300
5,0.8,0.05,5.0,100.0,1.0,300,0,0.0,0.8933333333333333,0.9166666666666666,10.081998569895662,14.181408454637076,21.678377205982027,19.22334865643042,8.007322744958918,-0.0037265435571292604,0.2987874849623833,0.48312793672821464,0.42698002181634287,52.875581591195115,73.09733809386496,0.7682833165993631,0.7591577115482457,0.6373748824806516,1.372769507157905,0.5233333333333333,0.015431963342133401,300
5,0.8,0.1,10.0,100.0,0.0,300,51,0.17,1.0,0.9066666666666666,-0.46889115222757577,17.181214097361497,27.16671259423215,27.217374161700064,8.890104624971423,0.024380247962297624,0.3632807938217032,0.5332345062195174,11.896196760802736,54.23985187623664,72.67923243504384,0.8190043731401427,1.1829603009159217,0.7375134666365772,10.59559911339725,0.43333333333333335,0.030666788681310963,249
5,0.8,0.1,10.0,100.0,0.01,300,36,0.12,0.6533333333333333,0.9066666666666666,-3.5030738512200017,21.24101728870638,37.300781744514296,37.20645683666339,9.984583981993492,0.14466446329510455,0.49318094718013844,0.8298939064681244,8.837257813082191,54.88972034380228,74.7375021776026,0.9677085557838115,1.1604485443782464,0.7326814653776661,5.778019384001725,0.52,0.014896697057439331,264
5,0.8,0.1,10.0,100.0,0.03,300,17,0.056666666666666664,0.7066666666666667,0.9066666666666666,-7.012367177572779,23.135345863945943,39.03688990558776,38.46992243460933,11.839773597671172,0.23365233969004454,0.5552104746431021,0.8881736894727027,13.258406176906211,56.825481082873665,78.14901147977379,1.0463495812750776,1.1057213693643368,0.736175425198061,3.3567428021078767,0.47,0.02398597476498316,283
5,0.8,0.1,10.0,100.0,0.05,300,6,0.02,0.7433333333333333,0.9066666666666666,-9.212793838747613,24.53940925324038,41.99250425686075,41.03929208441618,11.859796616218055,0.2577626744074346,0.5619126115068617,0.8785704422209184,17.784972075083825,59.993282289038305,83.31279544119985,1.0725970098065993,1.050296046420184,0.7302447315786436,2.5624376248839655,0.44666666666666666,0.028015801744605474,294
5,0.8,0.1,10.0,100.0,0.08,300,3,0.01,0.7633333333333333,0.9066666666666666,-6.492975913879924,21.78822019617563,35.51224996922527,34.972550288635595,10.590785587794123,0.20521646684154998,0.5059711574772638,0.7594915850179997,16.2762003746024,58.704315893832,80.58891400835509,0.999293911113558,0.9879879393216314,0.7139478651859286,2.126845839211607,0.43666666666666665,0.03012641151500458,297
5,0.8,0.1,10.0,100.0,0.1,300,1,0.0033333333333333335,0.7866666666666666,0.9066666666666666,-6.061451912665743,21.259491717077317,35.4128272196443,34.94870702581139,10.290900184175737,0.18647672331017887,0.48286742471800115,0.711617235794581,16.907737698070928,59.29081319931532,81.95614658527447,0.9775468284744666,0.9580622768304061,0.7045972655333772,2.0152307370480114,0.43666666666666665,0.029708168223310544,299
5,0.8,0.1,10.0,100.0,0.15,300,0,0.0,0.7966666666666666,0.9066666666666666,-3.3696749091345652,18.698442251558895,30.369174147168494,30.23207939927072,9.81072928531014,0.13084782366722564,0.42682053667535164,0.5991904798006696,14.742380962181668,57.787128488800796,79.90339221789735,0.9068731413140407,0.8924978559796579,0.6974673199206032,1.7742922191119583,0.44,0.02832572874599481,300
5,0.8,0.1,10.0,100.0,0.2,300,0,0.0,0.8133333333333334,0.9066666666666666,-1.4084205001210202,16.999876825547496,26.90423091974123,26.91223180041366,9.266856769324768,0.09568558080585873,0.3915570233074298,0.5353808767871077,12.791222987455749,56.1737457029065,77.06803079964776,0.8584471655682842,0.8507327721496136,0.6854796514599839,1.6381108386607384,0.44,0.027797135591184435,300
5,0.8,0.1,10.0,100.0,0.3,300,1,0.0033333333333333335,0.8333333333333334,0.9066666666666666,1.0098457671551053,14.797950910188236,23.074244416894373,23.090781529831457,8.027758726269859,0.04352548082207742,0.3420202936420777,0.4451165549956993,9.743247885248396,53.9130394850273,73.09408281827555,0.7919351310902499,0.7959542893526642,0.6515668639200634,1.3883026882938663,0.45,0.026072247220697745,299
5,0.8,0.1,10.0,100.0,0.5,300,2,0.006666666666666667,0.8433333333333334,0.9066666666666666,3.933895576427224,12.628627197456863,19.992598292707907,19.634717990825077,6.668390338819917,0.002740424878659997,0.3094641662668008,0.44903865067969406,5.7047143579404445,51.25302140217003,68.77508595513719,0.7449153294028882,0.7505605091954608,0.6335844164456668,1.2629580776973073,0.48333333333333334,0.021593688612005564,298
5,0.8,0.1,10.0,100.0,0.7,300,2,0.006666666666666667,0.8566666666666667,0.9066666666666666,5.773771310268918,11.876074557909213,19.00905939961205,18.141452748670723,6.359969629389772,-0.0029139103590401934,0.3105017942325845,0.5014015787365534,3.1836373464653835,50.048614888786496,66.5683961051205,0.7434455204689152,0.7499008807781937,0.6251765026728733,1.2306062457771552,0.53,0.01849941087297709,298
5,0.8,0.1,10.0,100.0,1.0,300,2,0.006666666666666667,0.8633333333333333,0.9066666666666666,7.263181554969295,11.38148616062164,18.62964315352691,17.184316681416107,6.055260495424264,-0.013091225192446829,0.31120546179743663,0.5196626906320045,0.8355731705249281,49.263687235774185,64.74880581712239,0.7413294690932566,0.7482203160591059,0.6181601839392605,1.3563377808245065,0.57,0.015706610856855326,298
5,0.8,0.2,20.0,100.0,0.0,300,47,0.15666666666666668,1.0,0.9033333333333333,-1.9816047233866474,22.66681943599996,38.24621333361419,38.27055197949236,10.192752372040324,0.11018381449907526,0.42565614609926095,0.6763588255065583,16.352849735953065,56.05624256119557,79.52505793559719,0.9141166916286537,1.2074775573441325,0.7545898854866274,11.204655126990325,0.43,0.03531310277292858,253
5,0.8,0.2,20.0,100.0,0.01,300,37,0.12333333333333334,0.6366666666666667,0.9033333333333333,-1.7870881944943136,24.20910683083713,40.156619004316084,40.1933198735602,11.555180019249807,0.1459530515896941,0.477806794873341,0.7690355547204089,10.616311193418507,54.614917519324,76.38310880416516,0.9573896336781572,1.1661702131915446,0.7312862615396293,6.25512060092548,0.5233333333333333,0.014015430801576682,263
5,0.8,0.2,20.0,100.0,0.03,300,13,0.043333333333333335,0.7,0.9033333333333333,-10.12566603370393,30.186435323675905,52.73813526519358,51.84735449903888,12.080401648457787,0.2728956352615206,0.5705707522543345,0.8910425248313265,23.222419133051794,62.621447760125946,92.09870205240732,1.1167347993125045,1.11783653929076,0.7446380765325751,3.432886362146373,0.48,0.022928876822819112,287
5,0.8,0.2,20.0,100.0,0.05,300,4,0.013333333333333334,0.7566666666666667,0.9033333333333333,-10.35891046584684,29.510702602197043,48.88946680920192,47.86033317042105,13.30492815624401,0.276692773726311,0.5614116552590144,0.8484235937757748,25.899369447549283,63.26930973968258,91.69890825080248,1.1095631678765954,1.071294120664422,0.7517396096508174,2.6638602172664965,0.43666666666666665,0.03271299771029057,296
5,0.8,0.2,20.0,100.0,0.08,300,1,0.0033333333333333335,0.7733333333333333,0.9033333333333333,-7.2396432162297035,26.524449541262523,42.198433195490395,41.642466053479744,12.744014384045222,0.23142208096912437,0.5133752892350567,0.7555847022961227,23.022068087200317,60.27238854996656,85.71287916508219,1.0332058668200597,1.0063791782887916,0.7295449224549646,2.2284546643394694,0.44,0.03321632553054955,299
5,0.8,0.2,20.0,100.0,0.1,300,1,0.0033333333333333335,0.7866666666666666,0.9033333333333333,-5.198504046686956,24.637292486862894,38.24934466118337,37.95795929847898,12.730538247135144,0.19690641927651853,0.4781376147800289,0.6842617206613425,20.99955545940664,58.38480603233383,82.33935900405389,0.9822512017582179,0.9715175502530657,0.7221806914898479,2.1642702132972054,0.44,0.03270061992646822,299
5,0.8,0.2,20.0,100.0,0.15,300,1,0.0033333333333333335,0.8033333333333333,0.9033333333333333,-1.9340852281635674,21.641078594482558,32.67038210581059,32.66775708583459,12.067136787782925,0.14240494341517537,0.42360846075240116,0.5834796074126477,17.732152021313823,55.465998007299504,77.33018210414282,0.9027291356239724,0.9026847452353908,0.6935520137439969,1.8565358303442008,0.43666666666666665,0.031021866966168533,299
5,0.8,0.2,20.0,100.0,0.2,300,1,0.0033333333333333335,0.8033333333333333,0.9033333333333333,-0.21169518602968165,20.228122059842537,30.954194337394373,31.005362295228238,11.881010859568967,0.09927387479814866,0.3825705878126455,0.4985686353527397,16.740450225614918,54.980076555094605,78.83947108897506,0.8569923486831111,0.8551999264304562,0.6850724001207518,1.689454835609593,0.44666666666666666,0.028398667111448728,299
