repeat_id,beta_hat,eta_hat,gamma_hat,r_squared,converged,time,error,raw_status,sample_hash
0,9.355922077336437,2011.605541256514,0.0,0.9048779899769891,True,0.0013055999879725277,,,9195337a44d64536
1,5.506839579465482,2067.904269942901,0.0,0.9231490176318531,True,0.000977399991825223,,,f04d1d37ea1d1627
2,5.770477689070329,2198.589900809496,0.0,0.9518250984414994,True,0.0005464000278152525,,,47d2ecfc318dbf53
3,0.8328577062872666,516.1747276818472,1082.6708333554127,0.9606040590707742,True,0.00680939998710528,,,ff7b28fffd4c0719
4,7.6718523092646835,1941.4006556512684,1.0202949596305189e-05,0.9735218328840411,True,0.0009963999618776143,,,383beeddf714f834
5,5.148628649314514,2022.900441805959,1.0269562977782698e-05,0.9484458188012396,True,0.00090230000205338,,,d4c107a061660f96
6,4.711005786617409,2340.780588409757,0.0,0.9584190535207603,True,0.0004961999948136508,,,dbb1284bccf34899
7,9.666101799100657,1659.1006151114948,0.0,0.9734846569665891,True,0.00045250001130625606,,,3fa981fd7609ac2c
8,5.903417290055393,2038.0632375112623,1.6642243139131097e-05,0.9209043951346988,True,0.0008739999611862004,,,5f659bf3f5672a4c
9,10.701921359751934,2162.514048269542,0.0,0.9573286762276862,True,0.0006448999629355967,,,6bd39c784d6c1063
10,1.2048440248489678,942.9218219793046,1199.4574904253218,0.9754224330428243,True,0.004986700019799173,,,b6309dc99139a99b
11,7.117252329708856,1909.1861826556674,0.0,0.9807906965750097,True,0.0006820999551564455,,,92847db23fcf0042
12,7.252805904131476,2077.1411748775017,0.0,0.9842162683499419,True,0.0006576000014320016,,,236eeb27e23c7aae
13,4.051159752979912,2356.7704047115476,0.0,0.8441743505807666,True,0.0006118000019341707,,,81ab4787b29437e8
14,4.116381773253079,1727.58075420582,1.3644640972643174e-05,0.9768546290382834,True,0.0008089999901130795,,,41e25d850dac7d09
15,3.386979636162349,2016.6887451154935,2.6068036618198676e-05,0.9361724057014393,True,0.0011131000355817378,,,cb2cba74b42cadd3
16,2.9888579852987487,2263.5399782927957,3.9401815143946806e-05,0.810842336287412,True,0.0008477999945171177,,,866b43287d174b55
17,4.59521698230674,2260.4447877514017,1.461053500406706e-05,0.9355408025890929,True,0.0006996000302024186,,,2ed57ae72ff3066b
18,3.3500418529355427,2095.6299921909813,0.0,0.9502485579255852,True,0.000501300033647567,,,0088402909e5f2fe
19,4.12281536209446,1883.706393238933,2.802202914153895e-05,0.9126669562187283,True,0.000602099986281246,,,1369552a0c27fa19
20,4.716534686226205,1875.8781727235737,3.246292124003958e-05,0.8297563048222591,True,0.0017831000150181353,,,27279136b15dba73
21,3.7500085216924246,2364.832180609036,2.8488322811881517e-05,0.850990209562874,True,0.0009664000244811177,,,225fe4fe29d7b2f2
22,6.060956074944785,2368.4303780625396,0.0,0.9339227977640487,True,0.0005143999587744474,,,a790d4fb57f17a6f
23,4.595635051721935,2023.9788289011567,0.0,0.9635551296222624,True,0.00044999999227002263,,,b3fb6c709b706fb8
24,5.142845863272657,1929.8941123778754,0.0,0.8452280052870697,True,0.0004427999956533313,,,9670f811ba80ee74
25,3.48444798544591,2271.15962905581,2.0661250488274163e-05,0.901426151820394,True,0.0005793999880552292,,,10ac1601da511603
26,4.760425142540059,1785.9159915207808,0.0,0.9295452168408742,True,0.0005504000000655651,,,6cf6bce74d06f241
27,5.2926967041463095,2182.7949135920376,1.1246559239452836e-05,0.8792690048956451,True,0.0006992000271566212,,,932546f39132e35c
28,4.044658283002029,1906.6696612188525,0.0,0.9469653455832042,True,0.0005254999850876629,,,73c5e9a011fe5079
29,0.7900352970546383,470.13745873738065,1251.234782445907,0.9687573556779614,True,0.004970100009813905,,,b9504c5876d544e6
30,3.0781975340789836,2018.1483567341527,2.134958876354176e-05,0.885317959491813,True,0.0009745999705046415,,,c926c898fe8de78f
31,0.9587610670922608,560.4163944331552,1146.1425587706146,0.9852578613339388,True,0.004760899988468736,,,a358fe59037d45d9
32,4.184356030122509,2529.4666940635734,1.9328982858723975e-05,0.9393184650139161,True,0.0007874000002630055,,,c1088056937049ca
33,3.501531367849112,2061.0128470893933,0.0,0.886823610993622,True,0.000679299992043525,,,be2f34387440c934
34,5.273922275811621,1853.4618505116505,1.9662049766111522e-05,0.8205055638496707,True,0.0009021000005304813,,,04347181d5378f32
35,5.1584635515268555,1936.4304351412493,0.0,0.9472126910947024,True,0.0005461000255309045,,,54762125fd74d239
36,2.8703149178572964,2216.79743448399,4.525269048372138e-05,0.5910101696775141,True,0.0008853999897837639,,,f64363386f2fa023
37,5.781623758010186,1689.291914421005,0.0,0.9157219442571621,True,0.0006207999540492892,,,afba1d24869ace32
38,0.7516337161100854,695.998802957998,1074.263371304931,0.9601360553536202,True,0.005932600004598498,,,af66a8db40bb85ef
39,2.9986494913322743,1947.346528384785,4.0467629247586956e-05,0.7452939320680378,True,0.0006970999529585242,,,3f24db0ee54c5e04
40,1.000692591293917,777.3287269774426,1018.2161816930676,0.9507721670665262,True,0.007259100035298616,,,b108da585338144a
41,2.7840136220778935,2099.1679836649078,3.597122599785507e-05,0.7432835910862415,True,0.0009785000002011657,,,b897b2b374574b8f
42,5.081971667082329,2331.521109456223,1.589839371263224e-05,0.9466969605498516,True,0.0009599999757483602,,,256eafa48570f506
43,5.418263110685582,1683.6431241838393,0.0,0.9369332840325096,True,0.0006762000266462564,,,7535f35bfa91683a
44,4.944572624381947,2383.094394547704,0.0,0.8425843017325887,True,0.0005207000067457557,,,3dc56b0b822c3919
45,6.121076778122263,1637.9034265025023,1.3877787807814457e-05,0.9329079218169756,True,0.000986600003670901,,,c50653808a2a08f6
46,3.5972350726308675,2201.673595743225,3.79363207514416e-05,0.9140972482375218,True,0.0009630999993532896,,,1ce2e473e948c3a6
47,3.9841594363935524,2130.743760761829,2.5646151868841116e-05,0.9137628001947398,True,0.001017299946397543,,,cea2b6c37aaace96
48,4.442826868389741,1983.3449802492046,1.9961809982760315e-05,0.95891766564418,True,0.0009689999860711396,,,b6bbe1437d88f3da
49,7.419602630194229,1822.2579865378978,0.0,0.84487053067364,True,0.0007381999748758972,,,adfb584fa643d7d6
50,3.4627460304355244,2088.3495636327043,0.0,0.8059236636416687,True,0.0007573000038973987,,,8a0de581c6eaf079
51,2.9576340506489576,2589.2050491073337,1.4765966227514582e-05,0.8513308570967729,True,0.0012734999763779342,,,0fdcee373a460f8a
52,5.180739343109337,1769.968034995134,0.0,0.947322172193971,True,0.0007405999931506813,,,85e1763584d78492
53,5.61240841983806,2088.8804462151293,0.0,0.9248512029721069,True,0.0006870999932289124,,,0113a1670e8b8bdd
54,12.256539794768775,2034.1256714512222,0.0,0.969155171586825,True,0.0006320999818854034,,,6d5144d46cb3d957
55,4.422066963387918,2060.3410959670464,2.5446311724408588e-05,0.9025304716582763,True,0.0009853000519797206,,,145fe14ce2d77cf3
56,3.806691127508321,2308.2303110448825,0.0,0.9490891948860555,True,0.0005989999626763165,,,115f63ccc18153bc
57,3.0638492127336336,1980.7397680202228,3.538280779480374e-05,0.8266186858665454,True,0.0009486000053584576,,,1c464b80fc282b27
