repeat_id,beta_hat,eta_hat,gamma_hat,r_squared,converged,time,error,raw_status,sample_hash
20,2.959574818830382,0.782074531915336,0.9919827144477058,0.9038137344282232,True,0.009586800006218255,,,99488160d252eafc
21,1.5029437044455192,0.7807678935571649,1.358267224666403,0.7928669920183544,True,0.007862200029194355,,,5f217113db14b1a2
22,,,,,False,0.01242320000892505,,unbounded,20a9836a0408b301
23,1.6553866590911417,0.7646155222502717,1.054410079097926,0.8383453975637892,True,0.010838799993507564,,,9345c91d1a28109b
24,,,,,False,0.10178719996474683,,unbounded,3ad00f68078f7628
25,,,,,False,0.012281399976927787,,unbounded,892ac118f9136a2a
26,,,,,False,0.08985669998219237,,unbounded,235d7e116c7f1a4d
27,3.2238925246093393,1.4157724661263735,0.7713943276230565,0.8669745791760407,True,0.00817389995791018,,,7537c43147f67e82
28,1.344973152989456,0.5491885759682378,1.1927502233778444,0.7561866331356939,True,0.010440100042615086,,,7179f368226eefc5
29,,,,,False,0.08665519999340177,,unbounded,e6c05a525ad031fa
30,,,,,False,0.12387110001873225,,unbounded,79137b900997cb9b
31,4.1122359118292415,1.7329656184883606,0.26487831441105125,0.9345662979414044,True,0.010205900005530566,,,e0cbad5a7431744e
32,1.2201438733388466,0.5365784896736103,1.344170873371141,0.6917756400434827,True,0.007942099997308105,,,51474b8ec26ad1a7
33,2.3678657573589663,0.8835742484647734,1.2306385388840244,0.8879838330769386,True,0.008908400021027774,,,c6763cb99b489344
34,1.8708223748512807,1.0545484930631903,0.9503042979893944,0.8590557680910342,True,0.00909560004947707,,,5179b8ca6be1f6bc
35,1.2777761184980236,0.659439742919494,1.2061157320748932,0.7339865221011994,True,0.012223899946548045,,,812d002f632a38cc
36,1.1915996963673274,0.48387849761087615,1.381722742201194,0.6244071071625191,True,0.00958889996400103,,,f5208c1e14107389
37,1.2442882561582946,0.4732893678987516,1.4531824250820868,0.6027356310363498,True,0.008304800023324788,,,f2925ccb8317a02a
38,7.823084133362274,1.9276035188235598,0.0,0.8672798982991873,True,0.00315730000147596,,,95c43076845a192f
39,,,,,False,0.013840100029483438,,unbounded,62ee4a79d8df6c3c
60,,,,,False,0.09680260001914576,,unbounded,ad96f22036903699
61,3.3111101461934727,1.019412760125367,0.946792480657156,0.868153159856065,True,0.0064141000038944185,,,a7a91ac02de0ce55
62,,,,,False,0.013373200024943799,,unbounded,0efb379a0a35ec65
63,1.4796136094800645,0.9909131726346156,1.0467994328873886,0.8079126543217094,True,0.007044800033327192,,,835352877874af14
64,7.993245696699033,2.3036762430736406,0.0,0.8379649282009207,True,0.0058661000221036375,,,1ddd4eae487cef7e
65,1.3838901097368126,0.9907041526425182,1.1473879299790442,0.7761033808541703,True,0.007038799987640232,,,f8cca5ec5911fa0e
66,,,,,False,0.01666520000435412,,unbounded,e44dbfa155b1b3b9
67,2.9263042497983407,0.8472266297708044,1.0614893406323223,0.8906849331262284,True,0.007131099991966039,,,6c1ec477d1c9c858
68,1.581396412537651,0.391129948250851,1.617938405238538,0.8546407388573831,True,0.010279999987687916,,,3d9dc786dd711ede
69,,,,,False,0.017343200044706464,,unbounded,e81ab53d1d5071f2
70,1.255789023365868,0.6972680671342237,1.4816630602386098,0.6744183796716597,True,0.00790590001270175,,,40528156495d1e07
71,,,,,False,0.09897740004817024,,unbounded,bf2e4f17442c8631
72,,,,,False,0.02277089998824522,,unbounded,f19cf811c1d6bf2d
73,,,,,False,0.018009699997492135,,unbounded,16c4f69a8a0644b9
74,,,,,False,0.10113760002423078,,unbounded,6b3e2732e1301755
75,5.37882377881343,2.036286028306465,3.779158545213842e-05,0.9259196246546134,True,0.009248299989849329,,,08834a332ee034f3
76,,,,,False,0.09148750000167638,,unbounded,fa8f5676346739d7
77,1.2825623337486456,0.4869668706073852,1.4130544297575978,0.6545255927722904,True,0.009547800000291318,,,df72a2dfc3c9c5c5
78,7.984462028755626,1.8010939167154039,0.0,0.8775017908063831,True,0.005577599979005754,,,7fece52cb3597dc8
79,1.332373323276121,0.6223799099265552,1.0615546736632486,0.7576429699681452,True,0.009109199978411198,,,8dd840f41c967ac0
