repeat_id,beta_hat,eta_hat,gamma_hat,r_squared,converged,time,error,raw_status,sample_hash
0,2.0022744281585547,1.034914093482867,0.9141972267101515,0.9733804315605903,True,0.0029073000187054276,,,cee826199e976c08
1,2.2075651362348316,1.1137225702546552,0.8171470981094888,0.9576626588800762,True,0.004235300002619624,,,40a905357149873f
2,1.5585995657513974,0.9868054677709096,1.151103421392594,0.9656333088373367,True,0.0042298000189475715,,,77863c37ade46cd5
3,2.740582657121947,1.208333698124376,0.8665134028741248,0.9644108729982337,True,0.0038795999716967344,,,53e78eab77267be7
4,2.5237572007984497,1.1428808035561877,0.9506941711372594,0.9717286800308156,True,0.005508800037205219,,,1c88a9f12ec01809
5,6.842260310320607,2.3077556033419118,0.0,0.9688695883389049,True,0.0007955000037327409,,,9d0ddff65f85b87f
6,1.143733248223693,0.6410410994411139,1.2791803533933503,0.9580744500982512,True,0.005264899984467775,,,5cbadfea8b265e97
7,1.428304664682403,0.8035123159783122,1.1941884196382802,0.9576502500273273,True,0.007348600018303841,,,f07dc3d74ebbbac0
8,1.156641298253405,0.7835282336906291,1.118310702765255,0.9845579999248413,True,0.004032399971038103,,,0ca05db527b67c07
9,0.7847059002053698,0.6174614927029265,1.2525411728710314,0.9731313377435221,True,0.005339900031685829,,,b8f1487e9779d70a
10,2.33213986339907,1.3502612657153936,0.964968176920644,0.9797666728288805,True,0.005862899997737259,,,a5b7d554e252948c
11,1.3013978622627493,0.8945750559523696,1.134649286922641,0.9104941745255236,True,0.0036580999731086195,,,7f7b4e8cc400fe61
12,1.2832310142377368,0.554351364976563,1.3800240946227853,0.9814434145248948,True,0.0037878999719396234,,,f94046d302761c86
13,1.8059198503015121,0.9652793015866045,1.0528056694774295,0.98295951453135,True,0.0040191999869421124,,,af173d692ee90de1
14,1.7627116393075817,0.73270485982464,1.0664078308056493,0.9674856520825735,True,0.004274100007023662,,,cc034c45cfee476d
