repeat_id,beta_hat,eta_hat,gamma_hat,r_squared,converged,time,error,raw_status,sample_hash
40,1.075405106500797,0.7719731272668504,1.0279543952045658,0.932612073456776,True,0.009724000003188848,,,b108da585338144a
41,0.6548972664056725,0.5498915497495928,1.2674457303986013,0.9515247185834532,True,0.006885099981445819,,,b897b2b374574b8f
42,2.381719413999695,1.1585826055826556,1.1493671546151962,0.951867417933717,True,0.006867400021292269,,,256eafa48570f506
43,2.2623874227633856,0.7610877358505524,0.9023457227996757,0.9169257670832949,True,0.0067962000030092895,,,7535f35bfa91683a
44,6.182361643576869,2.360825615484556,0.0,0.7849817526651355,True,0.007948599988594651,,,3dc56b0b822c3919
45,1.3657544355862656,0.46600159272771585,1.1322590038183615,0.9647016646076694,True,0.0050493000308051705,,,c50653808a2a08f6
46,1.8528407655962942,1.1893458576491875,0.9640507957392667,0.9363419696493914,True,0.005327599996235222,,,1ce2e473e948c3a6
47,1.2090855664791045,0.7957136083058503,1.2511900946367098,0.9738762788099408,True,0.006709299981594086,,,cea2b6c37aaace96
48,2.440875446697307,1.146548044464909,0.8225011234500846,0.9602540624841561,True,0.0065870999824255705,,,b6bbe1437d88f3da
49,0.40156388465805315,0.1907163090162638,1.4837067062854228,0.9081918861064134,True,0.00436190003529191,,,adfb584fa643d7d6
50,0.4492497299202523,0.4638495267780511,1.3246597626944858,0.848141997656161,True,0.005441700050141662,,,8a0de581c6eaf079
51,0.6286212403072283,0.7770025614517174,1.5159065024130456,0.958589828681375,True,0.00747309997677803,,,0fdcee373a460f8a
52,2.9766014224859885,1.0098329232952268,0.7463649119448846,0.9293764486576008,True,0.006957900011911988,,,85e1763584d78492
53,1.019196536190005,0.5365288788292334,1.4736371274459112,0.9558435797462422,True,0.006885600043460727,,,0113a1670e8b8bdd
54,9.75301223835998,1.5149307581796863,0.5213111498436592,0.9552547933959336,True,0.007966300006955862,,,6d5144d46cb3d957
55,1.1293683871089537,0.6603145783384021,1.3118070760293297,0.965685417061552,True,0.00678590004099533,,,145fe14ce2d77cf3
56,2.7287183800417822,1.639925147550022,0.6568161488060156,0.9307690051774393,True,0.006485999969299883,,,115f63ccc18153bc
57,0.8605177335484269,0.6521646423832371,1.1517999269403103,0.9505456053388257,True,0.006172600027639419,,,1c464b80fc282b27
58,0.7231131910679669,0.4195805182163172,1.6043444137767264,0.8828030192191644,True,0.005084600008558482,,,197dd3de73f751c9
59,0.5750982200378099,0.6047716974795919,1.2059246207650949,0.9646208675303036,True,0.0043471999815665185,,,244a6a89ac8a89c5
0,10.918141111788078,2.008716531189939,0.0,0.8748482479846663,True,0.01182630000403151,,,9195337a44d64536
1,1.8092385806471107,0.7488817880622133,1.2731912443548463,0.9162217342685594,True,0.0044064000248909,,,f04d1d37ea1d1627
2,2.725566835777951,1.0973769053667186,1.0870031777970237,0.9355255464785223,True,0.005640199990011752,,,47d2ecfc318dbf53
3,0.8922334623693897,0.519443209530685,1.0866417305026024,0.9446873518875117,True,0.0066627999767661095,,,ff7b28fffd4c0719
4,2.2663328060327586,0.6571820638810364,1.2688481381176333,0.9856869542638123,True,0.0041655999957583845,,,383beeddf714f834
5,2.011093185748625,0.8865320967250004,1.1092288096975356,0.9493682706130202,True,0.006515000015497208,,,d4c107a061660f96
6,2.0072672257609527,1.1141958977969992,1.1958973620034068,0.949014696120302,True,0.006835200008936226,,,dbb1284bccf34899
7,4.088644965137772,0.7245115342736315,0.9322799517182384,0.965748427973361,True,0.006871199992019683,,,3fa981fd7609ac2c
8,1.809963731784274,0.7139862697575657,1.2879226364219631,0.9458905110334589,True,0.006722599966451526,,,5f659bf3f5672a4c
9,1.9757242323402613,0.4768428075965385,1.665495596032839,0.9838580956454804,True,0.005072500032838434,,,6bd39c784d6c1063
10,1.2575450826911425,0.9412500352594485,1.2157695173591065,0.9625743302574535,True,0.005405099946074188,,,b6309dc99139a99b
11,7.692424026976684,1.9161694099788147,0.0,0.9695845866421091,True,0.006729800021275878,,,92847db23fcf0042
12,7.8244556708971205,2.0848804955200415,0.0,0.9733013800797518,True,0.008230599982198328,,,236eeb27e23c7aae
13,5.06230836316147,2.330075442052708,0.0,0.7867836193226683,True,0.008125899999868125,,,81ab4787b29437e8
14,2.0690318310304123,0.9639004605550624,0.7490214778538394,0.9756494619550308,True,0.006728600012138486,,,41e25d850dac7d09
15,1.1285232885811942,0.8543153035984316,1.076605753934371,0.9765818462143779,True,0.007429200049955398,,,cb2cba74b42cadd3
16,0.602989076245335,0.6222165263109208,1.3679367648768674,0.9296125159936367,True,0.007078399998135865,,,866b43287d174b55
17,2.932703779252167,1.4251171355691026,0.8199598699233557,0.9250880285509139,True,0.006860599969513714,,,2ed57ae72ff3066b
18,3.747462849661815,2.1005966661057878,0.0,0.932074560142677,True,0.008173100010026246,,,0088402909e5f2fe
19,1.3924307908996971,0.7349312852359888,1.0840837788667401,0.959195776435889,True,0.005479299987200648,,,1369552a0c27fa19
60,0.9107389120223403,0.7745752143337803,1.0738707945316155,0.9700680989909042,True,0.012015099986456335,,,2a8f38801edaadaa
61,4.471772896736591,2.159272233310455,0.0,0.9322033365166553,True,0.008366900030523539,,,043756f47ef236e4
62,0.4295658104685047,0.42743349644567474,1.18910393725525,0.8940633494168226,True,0.006808800040744245,,,95f58e42992b5ecd
