group,n,seed,fold,fit_id,n_test,p_rrmse,q_rrmse,p_metric,q_metric,mean_diff,ci_lo,ci_hi,rel_improve
cell,7.0,42.0,1.0,,2400,0.42998703639670366,0.40899210846971173,0.18488885146922016,0.16727454479050044,-0.01761430667871973,-0.023229557274282435,-0.012243061983774567,-0.04882688581248789
cell,7.0,2026.0,1.0,,2400,0.41130082972357423,0.3989822802841884,0.16916837253130063,0.1591868599807707,-0.009981512550529923,-0.019450037766232466,-0.0016848396645133999,-0.029950217819071333
cell,7.0,3407.0,1.0,,2400,0.4606912907128269,0.4131927341897104,0.21223646533865037,0.17072823558716868,-0.041508229751481676,-0.049659839100762965,-0.03381069195641228,-0.10310278809400114
cell,7.0,42.0,2.0,,2400,0.17026129800150852,0.13420862854133958,0.02898890959715849,0.01801195597494727,-0.01097695362221122,-0.011620367640261774,-0.01036540294851141,-0.21174905796765106
cell,7.0,2026.0,2.0,,2400,0.15478582179168487,0.1407742411602504,0.023958650627727226,0.019817386974244334,-0.004141263653482893,-0.004630170186682997,-0.0036392886729336156,-0.09052237775557806
cell,7.0,3407.0,2.0,,2400,0.16902328032689387,0.14102493745890332,0.02856886929246375,0.01988803298528759,-0.008680836307176157,-0.009277650630868379,-0.008096678305373249,-0.16564784930123994
cell,7.0,42.0,3.0,,2400,0.13588714884535613,0.16473752171901201,0.018465317221319975,0.027138451062121954,0.008673133840801983,0.007955229657396132,0.00938345944176534,0.21231126798081928
cell,7.0,2026.0,3.0,,2400,0.14239684383429405,0.17290400794361294,0.020276861133968326,0.029895795962964967,0.009618934828996638,0.008794016552611233,0.01042250812455543,0.21424045145845935
cell,7.0,3407.0,3.0,,2400,0.1385010711746905,0.16736815128248803,0.01918254671653668,0.0280120980637178,0.008829551347181122,0.007992505931034424,0.00962802617946097,0.2084249591931869
cell,7.0,42.0,4.0,,2400,0.21481171080729322,0.24996824011324248,0.04614407109995617,0.06248412106531165,0.016340049965355475,0.014681636838065833,0.017987117975544274,0.1636620702559743
cell,7.0,2026.0,4.0,,2400,0.2134812620525018,0.252854977780764,0.045574249247528946,0.06393563978851065,0.018361390540981716,0.016932752076517895,0.019755044121664605,0.18443640134832504
cell,7.0,3407.0,4.0,,2400,0.21067885902911102,0.2482212236702786,0.04438558164180803,0.06161377588037048,0.01722819423856245,0.015590735523266662,0.01886803594139484,0.1781971139115581
cell,7.0,42.0,5.0,,2400,0.2584777513319175,0.24511670646526876,0.06681074793360459,0.06008219978838073,-0.006728548145223859,-0.009634872035956346,-0.004067190709941019,-0.051691276319916324
cell,7.0,2026.0,5.0,,2400,0.24763908053353903,0.24638260453207833,0.06132511420749663,0.06070438781601051,-0.0006207263914861431,-0.003317484769392152,0.001853231225305412,-0.005073819522967127
cell,7.0,3407.0,5.0,,2400,0.25220705756828554,0.24470515554408726,0.0636083998872525,0.05988061314985593,-0.003727786737396574,-0.006213410514723406,-0.0014836662610062936,-0.029745012278917425
cell,10.0,42.0,1.0,,2400,0.21002784870768967,0.22955792732077965,0.04411169723278018,0.05269684199581236,0.008585144763032172,0.006507759847211836,0.010472928817222768,0.09298804293458883
cell,10.0,2026.0,1.0,,2400,0.2041876708910388,0.22196785613006775,0.041692604943907176,0.04926972915497845,0.007577124211071274,0.005691479754211835,0.00933098833954655,0.0870776632175653
cell,10.0,3407.0,1.0,,2400,0.19727084599426006,0.22971717667203503,0.038915786679291076,0.05276998125817095,0.013854194578879868,0.011674441049973512,0.015947963604765192,0.16447605582184735
cell,10.0,42.0,2.0,,2400,0.38850724719767593,0.3459640612003563,0.15093788112511608,0.11969113164224386,-0.03124674948287221,-0.04094198606332913,-0.022259700705362418,-0.10950422753806006
cell,10.0,2026.0,2.0,,2400,0.4208582894612763,0.34419406151398496,0.17712169980827144,0.11846955198149287,-0.058652147826778606,-0.06642502766097097,-0.051623078632886135,-0.1821616203530792
cell,10.0,3407.0,2.0,,2400,0.38616056945345734,0.3429520036393281,0.14911998540061844,0.11761607680022972,-0.031503908600388764,-0.04010025728373284,-0.023474678190733775,-0.11189274419002282
cell,10.0,42.0,3.0,,2400,0.12434293231524197,0.12117944409941002,0.015461164816752847,0.014684457672242036,-0.0007767071445108104,-0.0009808624896875224,-0.000581763410329671,-0.025441640766615366
cell,10.0,2026.0,3.0,,2400,0.13106487036462852,0.1125082290261285,0.017178000243696877,0.012658101598595786,-0.004519898645101092,-0.004776625269315837,-0.004263355783888362,-0.14158363936022356
cell,10.0,3407.0,3.0,,2400,0.1132046279372148,0.11370205853516176,0.012815287786403232,0.01292815811513335,0.00011287032873011795,-6.268928075584425e-05,0.00029083195802244633,0.004394083590141265
cell,10.0,42.0,4.0,,2400,0.12177522057624873,0.12702783289429348,0.014829204346394034,0.01613607032982055,0.0013068659834265188,0.0008403560985196914,0.0018104884383369985,0.04313367114581295
cell,10.0,2026.0,4.0,,2400,0.12500079463763059,0.12694677521519787,0.015625198660039093,0.016115483737537975,0.0004902850774988824,5.5238005405856917e-05,0.0009881035918490554,0.01556774565480612
cell,10.0,3407.0,4.0,,2400,0.12141844607563107,0.1263796608739704,0.014742439047420931,0.015971818682619765,0.0012293796351988313,0.0007716672097081628,0.0017340602521654454,0.040860470206059214
cell,10.0,42.0,5.0,,2400,0.1880702331616256,0.20641415311334074,0.03537041260146822,0.04260680260549768,0.007236390004029459,0.006075086403770099,0.008390446599504506,0.09753760413510289
cell,10.0,2026.0,5.0,,2400,0.1853684981655402,0.20923021140909553,0.03436148011214788,0.04377728136629481,0.00941580125414693,0.007886215799896627,0.01092117689227512,0.12872582709412697
cell,10.0,3407.0,5.0,,2400,0.19186390635978387,0.21231719997307108,0.03681175856363591,0.04507859340440506,0.00826683484076915,0.006994399490231603,0.00958014920255492,0.10660313344675221
cell,15.0,42.0,1.0,,2400,0.14779881960730795,0.17593866466165825,0.02184449107731356,0.03095441372292743,0.009109922645613866,0.008150135020881445,0.01014044758553194,0.19039289440278395
cell,15.0,2026.0,1.0,,2400,0.14534117201596944,0.16919116109779792,0.021124056282975614,0.02862564899362101,0.0075015927106454,0.006706221145136577,0.008355011100596096,0.16409657876715034
cell,15.0,3407.0,1.0,,2400,0.1511190298963091,0.17199720376825445,0.022836961196801564,0.029583038104098444,0.006746076907296879,0.006006944486581669,0.007533441290959586,0.13815714596812187
