method,beta_region,error_x,error_y,n_pairs,pearson_correlation
Direct-P,beta>=4.5,beta_rel_error,eta_rel_error,36000,0.4493817756208967
Direct-P,beta>=4.5,beta_rel_error,gamma_rel_error,36000,-0.39523948118720165
Direct-P,beta>=4.5,eta_rel_error,gamma_rel_error,36000,-0.91917598232128
Adaptive-MDM,beta>=4.5,beta_rel_error,eta_rel_error,35978,0.728091512677347
Adaptive-MDM,beta>=4.5,beta_rel_error,gamma_rel_error,35978,-0.6852026113427973
Adaptive-MDM,beta>=4.5,eta_rel_error,gamma_rel_error,35978,-0.9616666558475634
MDM-0.1,beta>=4.5,beta_rel_error,eta_rel_error,35953,0.7901476894128303
MDM-0.1,beta>=4.5,beta_rel_error,gamma_rel_error,35953,-0.7483011901729888
MDM-0.1,beta>=4.5,eta_rel_error,gamma_rel_error,35953,-0.9625766251834782
