beta,n_samples,sample_cv_q25,sample_cv_median,sample_cv_q75,max_over_mean_q25,max_over_mean_median,max_over_mean_q75,range_over_mean_median
0.75,6000,0.6192318961260771,0.8002982463705769,1.0100086463674396,2.2579437521405437,2.8299225368248857,3.613686097619544,2.5233089947612113
1.0,6000,0.4674074623764912,0.6019507671829347,0.7629374258971485,1.9028175570392163,2.288259217415538,2.803819553427632,1.9123214175304462
1.25,6000,0.38880233820784993,0.48874159769678616,0.6224290339315293,1.715191147194867,1.9933290497235179,2.3697346440411327,1.566648278440558
1.5,6000,0.32875161353269583,0.41678144709967907,0.5253483026985057,1.5870640440754906,1.8078604712565534,2.1039991289631894,1.3326650423329922
1.75,6000,0.28773133065657286,0.3607141079412238,0.4607358707311585,1.499637062605965,1.6785270492651798,1.908465030104868,1.1674921298528025
2.0,6000,0.2533912684534257,0.3246779819066151,0.4063922344146448,1.4316951118755128,1.58158451659033,1.786371749407699,1.0453219474394673
2.25,6000,0.2332347011668346,0.29259273415158493,0.37087947293267176,1.3864402133528493,1.5175934071295991,1.6864286507778683,0.950483427844114
2.5,6000,0.21085318797060365,0.26412141442176673,0.33763218062924844,1.3455034527751597,1.4590228874779663,1.6105354196853487,0.8648188628338658
2.75,6000,0.19563516326650432,0.2430596611676965,0.3090386242206487,1.312005189278957,1.418079781320023,1.5497209067498057,0.7986562243695856
3.0,6000,0.18216442731048346,0.22583286948017317,0.28565923376572677,1.2838325380615747,1.3762275653251173,1.495448011531701,0.7311941759636469
3.25,6000,0.16809780461365828,0.21049141600148308,0.26747811784999054,1.2602805210456347,1.3478683914948046,1.458572502756657,0.6902193043265654
3.5,6000,0.15682873507366468,0.1965322912313593,0.24951512640794438,1.2433374921392533,1.320688860530586,1.4211040027348432,0.642121849892771
3.75,6000,0.1478846748362792,0.18561981441236652,0.23684619671005708,1.2258456784244913,1.299704299010116,1.395889474548317,0.6089621504307605
4.0,6000,0.1395034790579814,0.1745777184875621,0.22257587478950644,1.2131465882928423,1.2785041601829632,1.3646390555855628,0.5759158433699805
4.25,6000,0.13230703182498676,0.16588541166169607,0.2117370052588592,1.1992159276097956,1.2625230131327887,1.343495160514554,0.5472700201544495
4.5,6000,0.1258785681669948,0.15860305947945158,0.20144532279236713,1.1871516160761695,1.246795185300933,1.3220381848170288,0.5194039097214884
4.75,6000,0.11862168985338423,0.1497378802796872,0.1908127348864793,1.1783093866821752,1.235128570916756,1.3079448354696541,0.4955662136938891
5.0,6000,0.11320404928330836,0.1424789883895614,0.18214664951946286,1.167936048674955,1.2203683402027603,1.2870578548160676,0.474346195703154
5.25,6000,0.1094377665979189,0.13731486664125922,0.1723920304821943,1.1618257020224627,1.2096474191058433,1.270652338899142,0.45054965182925644
5.5,6000,0.10454166455574765,0.13120980549178896,0.16722295659822853,1.154391436046645,1.2002054801535922,1.2611919303709371,0.4350548905143561
5.75,6000,0.09988502439251631,0.1254719347859587,0.16104352778002604,1.1462217987629968,1.1910654158778116,1.2493185748053417,0.41768553624683114
