method,beta,n,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
Adaptive-MDM,4.5,7,1500,1500,0.0,0.7708606219644543,1.3528295699408883,1.4200563093609766,-0.4012901918990301,0.253638264124355,0.47468231365446706,-0.3404302656558274,0.2813569171928487,0.4415899751468466,0.32349040005007584,0.2632513159724451,0.41701450028611087,0.04517064252065306,0.16575974788296646,0.17175087608104872,-1.8058058635456358,1.1413721885595973,2.1360704114451017,-340.43026565582744,281.35691719284875,441.5899751468466,323.4904000500759,263.2513159724451,417.0145002861109
Adaptive-MDM,4.5,10,1500,1499,0.0006666666666667043,0.6800824438006351,1.2228863637712226,1.3207997408828953,-0.347131114595582,0.23084296271653137,0.4168368203597112,-0.29878489317100737,0.2466973499118046,0.3874163067283059,0.2877302030793056,0.23332921114783262,0.3703982604066339,0.03885544138438421,0.1385253342025023,0.1438270216661662,-1.5620900156801194,1.0387933322243912,1.8757656916187004,-298.7848931710074,246.6973499118046,387.416306728306,287.73020307930557,233.3292111478326,370.39826040663394
Adaptive-MDM,4.5,15,1500,1498,0.0013333333333332975,0.5865454297715197,1.0737721197315473,1.1967460643121088,-0.2985773486230147,0.20372591174738558,0.3614207711076587,-0.24588008833033417,0.22229124953262847,0.33141730674186826,0.234298004505854,0.21354628991157829,0.316965504299583,0.0217413203156555,0.1160199531400109,0.11800139321924066,-1.343598068803566,0.9167666028632352,1.626393469984464,-245.88008833033416,222.29124953262843,331.4173067418683,234.298004505854,213.5462899115783,316.965504299583
Adaptive-MDM,4.5,20,1500,1499,0.0006666666666667043,0.5074654023369279,0.9446091956190564,1.0543724311544784,-0.25738566225240367,0.18081259078714376,0.3145135324883093,-0.21477162536110125,0.1893474617213396,0.2862785264993969,0.20843834015467258,0.17779719719997228,0.27392936380990357,0.02277997055115125,0.09665659909975266,0.09927332330868421,-1.1582354801358166,0.813656658542147,1.415310896197392,-214.77162536110123,189.3474617213396,286.27852649939695,208.4383401546726,177.7971971999723,273.92936380990363
Adaptive-MDM,4.75,7,1500,1500,0.0,0.7819831839684028,1.3364288138932918,1.415657002922894,-0.41155087711040655,0.24395993617311817,0.47838362981429294,-0.3580613738042738,0.26872700696182167,0.4476315548287628,0.34295664225624567,0.25435539408467084,0.4269341797708948,0.046707382266934494,0.1581744103281356,0.16487584483936546,-1.9548666662744314,1.1588096968223114,2.272322241617892,-358.0613738042738,268.72700696182164,447.63155482876283,342.95664225624574,254.35539408467085,426.93417977089484
Adaptive-MDM,4.75,10,1500,1499,0.0006666666666667043,0.7078027479767482,1.2305039947169398,1.326326835504343,-0.37463766407811144,0.22078214501824295,0.434816762236998,-0.32427079183880686,0.24120219108310598,0.4040930980405915,0.3084649887786717,0.22817690740751465,0.383641261363091,0.03434509140142269,0.1348076212377482,0.13907032957585597,-1.7795289043710294,1.048715188836654,2.0653796206257407,-324.2707918388069,241.202191083106,404.09309804059154,308.4649887786717,228.17690740751465,383.641261363091
Adaptive-MDM,4.75,15,1500,1498,0.0013333333333332975,0.6167395634612142,1.1266543388827421,1.2174972389299543,-0.3194302573430543,0.20625165040396515,0.3801934177601665,-0.2739201795226194,0.21732844036701726,0.349617485167709,0.2619858821131139,0.20474900134463872,0.3324616828477489,0.025439343606324872,0.10608240838503703,0.10905560617042269,-1.517293722379508,0.9796953394188345,1.805918734360791,-273.92017952261943,217.32844036701727,349.617485167709,261.9858821131139,204.7490013446387,332.46168284774893
Adaptive-MDM,4.75,20,1500,1499,0.0006666666666667043,0.5560814600063599,1.0257967178686658,1.1333316346047788,-0.2961480613733934,0.18100159328353913,0.3470495575631868,-0.24391341134873457,0.1961834533879534,0.31297927067179004,0.23343360130856772,0.18650453445554713,0.2987507034774591,0.016280400771099053,0.09374523615532551,0.09511760122654558,-1.4067032915236186,0.8597575680968108,1.6484853984251373,-243.91341134873457,196.1834533879534,312.97927067179006,233.43360130856777,186.50453445554714,298.7507034774591
Adaptive-MDM,5.0,7,1500,1500,0.0,0.8088987017239232,1.35170471392749,1.4335059263097936,-0.4348478327059012,0.22933920567652916,0.49158320206775497,-0.37665558498371327,0.27154832513914023,0.4642830640784114,0.3606221335668156,0.25903805144264863,0.4439643020620273,0.0438702088464252,0.15736863907525805,0.16331862680943102,-2.174239163529506,1.1466960283826457,2.4579160103387747,-376.6555849837133,271.5483251391402,464.28306407841137,360.62213356681565,259.0380514426487,443.96430206202734
Adaptive-MDM,5.0,10,1500,1498,0.0013333333333332975,0.7076443886644562,1.2189103234435748,1.3280794573430375,-0.37910425850290075,0.21050947393536706,0.4335950820325454,-0.3259506763914277,0.23510741188558246,0.40184877632526295,0.3129513551690481,0.2246593625001681,0.38519694579691727,0.03140118875137404,0.1267797811229544,0.13056959003418855,-1.895521292514504,1.052547369676835,2.1679754101627267,-325.95067639142775,235.10741188558242,401.8487763252629,312.9513551690482,224.6593625001681,385.19694579691725
Adaptive-MDM,5.0,15,1500,1500,0.0,0.6239470644312,1.1046744326705689,1.2201776043736088,-0.33048941542470633,0.193559643072402,0.3829668552809702,-0.2835226833751772,0.2136705395025127,0.3549785552770594,0.2712827786913494,0.20753534685499866,0.3415209397122351,0.02234447001687476,0.10309714480304225,0.10545715050529661,-1.6524470771235313,0.96779821536201,1.9148342764048512,-283.5226833751772,213.67053950251267,354.9785552770594,271.28277869134945,207.53534685499866,341.52093971223513
Adaptive-MDM,5.0,20,1500,1500,0.0,0.57894262428757,1.0444227586830122,1.1479210335312262,-0.3112190023101379,0.18002996452508324,0.35950862066678696,-0.26339161740498757,0.1944625805244292,0.3273616179089305,0.255037020668604,0.18368749863979084,0.3142649916921866,0.020330078692481247,0.0888894760942208,0.09115581989451176,-1.5560950115506893,0.9001498226254162,1.7975431033339349,-263.3916174049876,194.46258052442917,327.36161790893055,255.0370206686041,183.68749863979085,314.2649916921866
Adaptive-MDM,5.25,7,1500,1500,0.0,0.815803670754269,1.3558328226717407,1.432724714803576,-0.44415617360192894,0.22928940698680703,0.4998132547431733,-0.3758766523692879,0.2723488468111725,0.46412035388766537,0.36370695902686295,0.26091621166216206,0.4475652317890249,0.03696417778233623,0.14641221121425965,0.15095891827926133,-2.3318199114101272,1.2037693866807366,2.62401958740166,-375.87665236928785,272.3488468111725,464.1203538876653,363.70695902686305,260.916211662162,447.5652317890249
Adaptive-MDM,5.25,10,1500,1499,0.0006666666666667043,0.7491609601184316,1.2595734386645743,1.344360538325284,-0.4083748348826481,0.20751445513261724,0.4580431503000702,-0.35396073581319965,0.23973416810791462,0.42746032952140617,0.33894729363722986,0.22903917962408107,0.4090344945181257,0.031558609159919655,0.12215104950609215,0.12612244375615983,-2.1439678831339024,1.0894508894462405,2.404726539075369,-353.96073581319973,239.7341681079146,427.46032952140615,338.94729363722985,229.03917962408107,409.03449451812565
Adaptive-MDM,5.25,15,1500,1500,0.0,0.6462381576385743,1.1476746183201008,1.2366320035961031,-0.3450762635307214,0.1943921781963816,0.39603125430151137,-0.300690028920547,0.2107355541840472,0.36714351549990915,0.2908179766938554,0.20357105126008956,0.35494878649016165,0.025287208785386678,0.10177082220121317,0.10483242968105022,-1.8116503835362874,1.0205589355310034,2.079164085082935,-300.69002892054704,210.73555418404717,367.1435154999092,290.81797669385537,203.57105126008958,354.9487864901617
Adaptive-MDM,5.25,20,1500,1499,0.0006666666666667043,0.6049157773249487,1.1064695576285037,1.2142426868042466,-0.32812878839148907,0.1826019417468504,0.37548598787752546,-0.2779562150804976,0.19500917412301821,0.3395038529911316,0.2701851553914811,0.1875008649414409,0.3288360369483605,0.01893133394392496,0.08428398616749841,0.08635650936447642,-1.7226761390553176,0.9586601941709646,1.9713014363570087,-277.9562150804976,195.0091741230182,339.5038529911316,270.1851553914811,187.5008649414409,328.8360369483605
Adaptive-MDM,5.5,7,1500,1499,0.0006666666666667043,0.8505003443081117,1.3849691684658023,1.4555510151719404,-0.4714462866019404,0.21865459902653003,0.5196532885884309,-0.40620305695202974,0.2629277111299283,0.4838241278511915,0.3908550915624269,0.2553475714356101,0.46682607851890956,0.036221860790255564,0.1383030902659839,0.14292308294844108,-2.5929545763106727,1.2026002946459151,2.85809308723637,-406.2030569520298,262.9277111299283,483.8241278511915,390.85509156242694,255.34757143561012,466.8260785189096
Adaptive-MDM,5.5,10,1500,1498,0.0013333333333332975,0.7533064471099021,1.2764955923918797,1.3636782989894312,-0.4179401603098625,0.19958138178405674,0.46311997899956286,-0.36006803855143954,0.2302457039467377,0.42734843784718585,0.3451544040909485,0.22012926186751117,0.4093361783043284,0.025526276509031293,0.11432732309950323,0.1171050901585026,-2.2986708817042434,1.0976975998123122,2.547159884497596,-360.06803855143954,230.2457039467377,427.3484378471859,345.1544040909485,220.12926186751116,409.3361783043284
Adaptive-MDM,5.5,15,1500,1499,0.0006666666666667043,0.6727180457720219,1.1757278513329683,1.2780428012258684,-0.36685839147576593,0.1870718160601271,0.41177372138091095,-0.31539453482885693,0.21452777849989854,0.38139897539834205,0.30625488803398554,0.2056292018662767,0.36884579079513136,0.024343795954424773,0.09605108949426415,0.09905694094920486,-2.0177211531167125,1.0288949883306993,2.2647554675950103,-315.39453482885693,214.52777849989855,381.39897539834203,306.25488803398554,205.62920186627667,368.8457907951314
Adaptive-MDM,5.5,20,1500,1499,0.0006666666666667043,0.6093714447636046,1.0609406255838172,1.1716007733112128,-0.34198284612051943,0.16629324733791798,0.38024631914438745,-0.28751909584857827,0.18131896335111988,0.33988507560022874,0.2800814924550208,0.176821631814137,0.3311958243421961,0.016018240201663068,0.08281228233934015,0.08432012309858522,-1.880905653662857,0.9146128603585488,2.091354755294131,-287.5190958485783,181.3189633511199,339.88507560022873,280.0814924550208,176.82163181413696,331.1958243421961
Adaptive-MDM,5.75,7,1500,1500,0.0,0.8732381181778168,1.3907912415026147,1.4682458269299243,-0.48297288182770715,0.21915699222627177,0.5303400531399315,-0.4284752433367189,0.25927423001346733,0.5007687541011029,0.41050261059880694,0.24908605592719907,0.48011966632319747,0.03721187139538149,0.13280224402925386,0.13787458709979553,-2.777094070509316,1.2601527053010626,3.0494553055546065,-428.475243336719,259.27423001346733,500.76875410110284,410.50261059880694,249.08605592719908,480.11966632319746
Adaptive-MDM,5.75,10,1500,1498,0.0013333333333332975,0.7668703393010563,1.2648311154623817,1.358752500949127,-0.42913918659316874,0.19918055332735965,0.4730822871198494,-0.36962177981779554,0.227004595878754,0.4337245055810032,0.3558786129823728,0.21625861468989963,0.41639663237514724,0.02177060463264955,0.11058541940186069,0.11267178248720942,-2.46755032291072,1.145288181632318,2.720223150939134,-369.6217798177956,227.00459587875397,433.72450558100314,355.8786129823728,216.25861468989962,416.3966323751473
Adaptive-MDM,5.75,15,1500,1499,0.0006666666666667043,0.6838754290664565,1.186677638928259,1.2884231313471879,-0.38180624079774456,0.18100497777965263,0.42251266377964486,-0.3240070289716482,0.20808640566872677,0.3850345713765024,0.3158071211037733,0.19934875280388084,0.37342676929600016,0.0191486746676082,0.09167660685632228,0.09362513114284532,-2.1953858845870315,1.0407786222330027,2.4294478167329583,-324.0070289716482,208.08640566872677,385.03457137650236,315.8071211037733,199.3487528038808,373.42676929600015
Adaptive-MDM,5.75,20,1500,1498,0.0013333333333332975,0.636433786335069,1.0847280546952485,1.1892088660645446,-0.3570845939789768,0.1692487114073258,0.3951397364515065,-0.3057922701736136,0.18224740785054888,0.35595063963699636,0.2969459326884468,0.17615611383156982,0.34523491776312115,0.015507575692926675,0.08164750040189213,0.08308037724202275,-2.053236415379117,0.9731800905921233,2.2720534845961624,-305.7922701736137,182.24740785054885,355.9506396369964,296.9459326884468,176.1561138315698,345.23491776312113
Direct-P,4.5,7,1500,1500,0.0,0.4116922538562329,0.6368541157518334,0.6739457601854852,-0.2772436855944953,0.12339524694303389,0.30344735498189174,-0.09917654521523162,0.17557592336032193,0.20159945613703747,0.093266960929044,0.16759437094607754,0.1917495082782988,-0.04866355659670649,0.12038438221083621,0.12981093798779836,-1.2475965851752289,0.5552786112436525,1.365513097418513,-99.17654521523164,175.57592336032195,201.59945613703752,93.26696092904402,167.5943709460776,191.74950827829883
Direct-P,4.5,10,1500,1500,0.0,0.377840560792371,0.6117297402438825,0.6535349747026202,-0.2351188680247698,0.12586414850575334,0.26666852981008976,-0.10415998508969737,0.16598701093792492,0.1959148348189234,0.0843759678724792,0.16176187045808335,0.18239726447151733,-0.043551845138921505,0.10910510620880516,0.11744254538442206,-1.0580349061114644,0.56638866827589,1.2000083841454041,-104.15998508969739,165.98701093792494,195.91483481892342,84.37596787247921,161.76187045808334,182.39726447151736
Direct-P,4.5,15,1500,1500,0.0,0.34285518259913206,0.5842382978702089,0.6397724827401429,-0.19496240468975123,0.12796746314834015,0.23318467735384266,-0.10224253406594526,0.1498053962034615,0.1813290693722721,0.0941817267919507,0.14641873417936102,0.17405272500898755,-0.019376954946423847,0.09727730931571982,0.09915660697820476,-0.8773308211038805,0.5758535841675306,1.0493310480922922,-102.24253406594526,149.80539620346153,181.32906937227213,94.18172679195074,146.41873417936102,174.05272500898755
Direct-P,4.5,20,1500,1500,0.0,0.3105902215388258,0.5592770877041882,0.613653739231452,-0.15726034974914688,0.12336490436790863,0.1998488711497785,-0.09803317339925915,0.13949858674976387,0.17046227017957322,0.08981893304152268,0.13933711404038843,0.16573873675433373,-0.006067889717054999,0.0847527102750336,0.08494146515875595,-0.7076715738711611,0.5551420696555889,0.8993199201740034,-98.03317339925916,139.49858674976386,170.46227017957324,89.81893304152271,139.33711404038846,165.73873675433376
Direct-P,4.75,7,1500,1500,0.0,0.4256756289450688,0.6423194441080469,0.6857658244210431,-0.2961122991839117,0.11226493672752871,0.31666623986316067,-0.10565773451317896,0.17658415289321383,0.2057297546299578,0.10175085411788183,0.16811635086006235,0.19646246885500646,-0.05068526386118243,0.11609880943644148,0.1266449508252703,-1.4065334211235805,0.5332584494557613,1.5041646393500132,-105.65773451317894,176.58415289321383,205.72975462995782,101.75085411788184,168.11635086006237,196.4624688550065
