method,beta_group,beta,n,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
Adaptive-MDM,far_ood,0.75,7,1500,1500,0.0,0.9045284160699592,1.7776956035251013,2.3357430511306436,0.18018602501056352,0.5613898332481888,0.5894195812720796,0.15023906775090867,0.6506105079813252,0.6675204974772807,-0.017179979640363066,0.157778460084471,0.1586587474385173,0.10318934028689732,0.46391036689534615,0.4750972460905357,0.13513951875792263,0.4210423749361416,0.4420646859540597,150.23906775090867,650.6105079813252,667.5204974772807,-17.17997964036306,157.77846008447102,158.6587474385173
Adaptive-MDM,far_ood,0.75,10,1500,1500,0.0,0.7332998697727057,1.5341456391633015,1.920604036285918,0.14444939886352223,0.46194943351982803,0.4838601482955278,0.09821530708157354,0.529787621569508,0.5386409322521127,-0.015690459052755103,0.11505057983918775,0.11607756890403909,0.07467652093047045,0.3764306159900344,0.38364322587591626,0.10833704914764167,0.3464620751398711,0.36289511122164586,98.21530708157357,529.7876215695079,538.6409322521127,-15.690459052755102,115.05057983918776,116.07756890403913
Adaptive-MDM,far_ood,0.75,15,1500,1500,0.0,0.551480935492638,1.1180123182974055,1.3984088987469745,0.11953477924351787,0.3440440846707513,0.36410985259616413,0.07334432396893832,0.4014727258448451,0.4079856442196864,-0.00770810735994222,0.07104154591956027,0.07143494638398137,0.058919371918139424,0.23975564247464434,0.24681154478722941,0.08965108443263842,0.25803306350306354,0.2730823894471231,73.34432396893833,401.4727258448451,407.98564421968644,-7.708107359942225,71.0415459195603,71.4349463839814
Adaptive-MDM,far_ood,0.75,20,1500,1500,0.0,0.42332819918250636,0.7779093960921581,1.012338108318045,0.06701626915777503,0.24771142801549761,0.2565369848584373,0.04851717133628646,0.33100316717788764,0.334430815762861,-0.0010778847492892223,0.03938834281696613,0.03938996180542729,0.039364418348298603,0.1544238147918447,0.1593121909869086,0.05026220186833128,0.18578357101162324,0.19240273864382798,48.51717133628646,331.00316717788763,334.43081576286096,-1.0778847492892274,39.38834281696616,39.38996180542731
Adaptive-MDM,far_ood,1.0,7,1500,1500,0.0,0.7346490527800053,1.3616315320846832,1.76676026808609,0.11521467716218155,0.505813378556806,0.5186048890803272,0.04198636410499728,0.4831977497430757,0.4848579861677282,0.0009351336326564107,0.18892817272702148,0.18886750123278367,0.13808347888122993,0.4988064218764158,0.5174060511314357,0.11521467716218152,0.505813378556806,0.5186048890803272,41.98636410499727,483.19774974307575,484.8579861677282,0.9351336326564136,188.92817272702152,188.8675012327837
Adaptive-MDM,far_ood,1.0,10,1500,1500,0.0,0.6135882159299291,1.1389614841498301,1.4773686521122882,0.13078607626558808,0.418369242419492,0.438202159053261,0.037690961408057645,0.40288534923052743,0.4045108183061586,-0.010131221665601872,0.1440540076547419,0.14436192158050457,0.09535210084523882,0.34644790646813267,0.3592188157615845,0.13078607626558808,0.418369242419492,0.438202159053261,37.690961408057646,402.8853492305275,404.5108183061586,-10.13122166560187,144.05400765474195,144.36192158050457
Adaptive-MDM,far_ood,1.0,15,1500,1500,0.0,0.48114045849506026,0.8979153541649696,1.1270682603835616,0.10135938311396353,0.33556446046787314,0.35043139509693666,0.019021797220600878,0.3137323093918013,0.3142040293893609,-0.010389317776112196,0.09934005781965885,0.09984891610198444,0.0522707113517779,0.2270368052930648,0.23290249980538377,0.10135938311396353,0.3355644604678732,0.35043139509693666,19.021797220600877,313.73230939180127,314.2040293893609,-10.3893177761122,99.34005781965888,99.84891610198446
Adaptive-MDM,far_ood,1.0,20,1500,1500,0.0,0.4020945673797814,0.7553459246776834,0.9871088205732929,0.07512720507960664,0.2847989378808607,0.2944494155840596,0.02015646285238129,0.2646247523772762,0.2653033327955135,-0.0054849594322348046,0.06757724515101603,0.06777701960201786,0.040781570456352056,0.16908857917283032,0.17388221146464386,0.07512720507960664,0.28479893788086075,0.2944494155840597,20.156462852381292,264.6247523772762,265.30333279551354,-5.48495943223481,67.57724515101606,67.7770196020179
Adaptive-MDM,far_ood,5.5,7,1500,1499,0.0006666666666667043,0.8505003443081117,1.3849691684658023,1.4555510151719404,-0.4714462866019404,0.21865459902653003,0.5196532885884309,-0.40620305695202974,0.2629277111299283,0.4838241278511915,0.3908550915624269,0.2553475714356101,0.46682607851890956,0.036221860790255564,0.1383030902659839,0.14292308294844108,-2.5929545763106727,1.2026002946459151,2.85809308723637,-406.2030569520298,262.9277111299283,483.8241278511915,390.85509156242694,255.34757143561012,466.8260785189096
Adaptive-MDM,far_ood,5.5,10,1500,1498,0.0013333333333332975,0.7533064471099021,1.2764955923918797,1.3636782989894312,-0.4179401603098625,0.19958138178405674,0.46311997899956286,-0.36006803855143954,0.2302457039467377,0.42734843784718585,0.3451544040909485,0.22012926186751117,0.4093361783043284,0.025526276509031293,0.11432732309950323,0.1171050901585026,-2.2986708817042434,1.0976975998123122,2.547159884497596,-360.06803855143954,230.2457039467377,427.3484378471859,345.1544040909485,220.12926186751116,409.3361783043284
