beta,n,n_samples,mean,q25,median,q75
0.75,7,1500,0.13721333333333333,0.0,0.06,0.24
0.75,10,1500,0.13464,0.02,0.04,0.18
0.75,15,1500,0.11152,0.0,0.02,0.2
0.75,20,1500,0.27553333333333335,0.26,0.34,0.34
1.0,7,1500,0.15593333333333334,0.02,0.12,0.24
1.0,10,1500,0.11005333333333334,0.02,0.04,0.14
1.0,15,1500,0.08112,0.0,0.02,0.08
1.0,20,1500,0.19149333333333335,0.06,0.18,0.34
1.25,7,1500,0.16373333333333334,0.06,0.14,0.26
1.25,10,1500,0.11161333333333334,0.04,0.04,0.14
1.25,15,1500,0.08436,0.0,0.02,0.12
1.25,20,1500,0.15436000000000002,0.02,0.12,0.26
1.5,7,1500,0.15460000000000002,0.06,0.14,0.22
1.5,10,1500,0.11757333333333335,0.04,0.06,0.18
1.5,15,1500,0.10038666666666668,0.0,0.04,0.16
1.5,20,1500,0.14477333333333334,0.02,0.1,0.22
1.75,7,1500,0.15380000000000002,0.06,0.14,0.22
1.75,10,1500,0.12412000000000001,0.04,0.06,0.18
1.75,15,1500,0.10681333333333333,0.02,0.06,0.16
1.75,20,1500,0.14494666666666667,0.02,0.12,0.22
2.0,7,1500,0.14757333333333333,0.06,0.12,0.22
2.0,10,1500,0.11914666666666666,0.04,0.06,0.2
2.0,15,1500,0.12053333333333334,0.02,0.08,0.18
2.0,20,1500,0.14086666666666667,0.02,0.12,0.22
2.25,7,1500,0.13145333333333334,0.04,0.1,0.2
2.25,10,1500,0.118,0.04,0.08,0.18
2.25,15,1500,0.11114666666666667,0.02,0.06,0.16
2.25,20,1500,0.134,0.02,0.1,0.22
2.5,7,1500,0.11597333333333334,0.04,0.1,0.18
2.5,10,1500,0.10545333333333334,0.02,0.06,0.18
2.5,15,1500,0.10578666666666667,0.02,0.06,0.16
2.5,20,1500,0.11601333333333334,0.02,0.1,0.2
2.75,7,1500,0.10521333333333333,0.02,0.08,0.14
2.75,10,1500,0.09666666666666666,0.02,0.06,0.14
2.75,15,1500,0.09846666666666666,0.02,0.06,0.16
2.75,20,1500,0.11284000000000001,0.02,0.08,0.18
3.0,7,1500,0.09989333333333333,0.02,0.06,0.14
3.0,10,1500,0.09625333333333333,0.02,0.06,0.12
3.0,15,1500,0.09661333333333334,0.02,0.06,0.16
3.0,20,1500,0.09650666666666666,0.02,0.08,0.14
3.25,7,1500,0.09069333333333333,0.02,0.06,0.14
3.25,10,1500,0.08456,0.02,0.04,0.12
3.25,15,1500,0.08597333333333333,0.02,0.06,0.16
3.25,20,1500,0.08458666666666667,0.02,0.06,0.14
3.5,7,1500,0.08942666666666668,0.02,0.06,0.14
3.5,10,1500,0.07685333333333333,0.02,0.04,0.1
3.5,15,1500,0.07515999999999999,0.02,0.04,0.12
3.5,20,1500,0.07650666666666667,0.02,0.06,0.12
3.75,7,1500,0.07937333333333334,0.02,0.06,0.1
3.75,10,1500,0.07258666666666666,0.02,0.04,0.1
3.75,15,1500,0.07142666666666667,0.02,0.04,0.12
3.75,20,1500,0.07394666666666667,0.02,0.06,0.12
4.0,7,1500,0.07514666666666667,0.02,0.04,0.1
4.0,10,1500,0.07062666666666667,0.02,0.04,0.1
4.0,15,1500,0.06509333333333334,0.02,0.04,0.1
4.0,20,1500,0.07188,0.02,0.06,0.12
4.25,7,1500,0.07170666666666667,0.02,0.04,0.1
4.25,10,1500,0.06590666666666667,0.02,0.04,0.1
4.25,15,1500,0.062226666666666666,0.02,0.04,0.1
4.25,20,1500,0.0662,0.02,0.04,0.1
4.5,7,1500,0.07114666666666666,0.02,0.04,0.1
4.5,10,1500,0.060640000000000006,0.02,0.04,0.08
4.5,15,1500,0.05894666666666667,0.02,0.04,0.08
4.5,20,1500,0.06401333333333332,0.02,0.04,0.1
4.75,7,1500,0.06454666666666667,0.02,0.04,0.08
4.75,10,1500,0.05872,0.02,0.04,0.08
4.75,15,1500,0.05553333333333333,0.02,0.04,0.08
4.75,20,1500,0.06224,0.02,0.04,0.1
5.0,7,1500,0.06401333333333332,0.02,0.04,0.06
5.0,10,1500,0.05461333333333333,0.02,0.04,0.08
5.0,15,1500,0.05430666666666667,0.02,0.04,0.08
5.0,20,1500,0.05872,0.02,0.04,0.1
5.25,7,1500,0.06134666666666667,0.02,0.04,0.06
5.25,10,1500,0.05240000000000001,0.02,0.04,0.06
5.25,15,1500,0.052,0.02,0.04,0.08
5.25,20,1500,0.058146666666666666,0.02,0.04,0.1
5.5,7,1500,0.058133333333333335,0.02,0.04,0.06
5.5,10,1500,0.050333333333333334,0.02,0.04,0.06
5.5,15,1500,0.05046666666666667,0.02,0.04,0.08
5.5,20,1500,0.05758666666666666,0.02,0.04,0.1
5.75,7,1500,0.056,0.02,0.04,0.06
5.75,10,1500,0.050173333333333334,0.02,0.04,0.06
5.75,15,1500,0.050080000000000006,0.02,0.04,0.06
5.75,20,1500,0.0532,0.02,0.04,0.08
