method,beta_group,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
Adaptive-MDM,far_ood,24000,23990,0.0004166666666666208,0.6840452887625424,1.2595487750684957,1.522124882676792,-0.14461712126163778,0.4148988850262017,0.4393723034318191,-0.14416258029352721,0.40628729351453335,0.43109782378372913,0.16460362983391122,0.24701152487647715,0.2968273994052516,0.049910724377166926,0.24992485695098934,0.2548546857398054,-1.0918773139233653,1.4564354887111643,1.8202505270105405,-144.16258029352724,406.28729351453336,431.0978237837291,164.60362983391124,247.01152487647715,296.82739940525164
Adaptive-MDM,in_domain_unseen,42000,41986,0.0003333333333332966,0.5647566369374007,1.079626470231197,1.2186911866516674,-0.20481440560418104,0.29437591770552324,0.3586140790791206,-0.18307501923008343,0.2682326481057221,0.3247514473241521,0.1687673152818784,0.2358332620609039,0.2899972578113493,0.0501405493425591,0.19332143725933987,0.19971570458555618,-0.7717956238729652,1.0140948652106214,1.2743752928684244,-183.0750192300834,268.23264810572215,324.7514473241522,168.76731528187844,235.8332620609039,289.9972578113493
Adaptive-MDM,near_ood,12000,11998,0.0001666666666666483,0.6188202108074704,1.1767166243124072,1.3332951675335643,-0.16196154147427935,0.37029200086908837,0.4041488322047832,-0.16331153914309926,0.32362769928507173,0.3624869890073727,0.16236913026472669,0.24792223239738972,0.2963512186689252,0.05937994750776384,0.2616932513519216,0.2683349177266442,-0.965201580780808,1.3360769143762337,1.6482010888886052,-163.31153914309925,323.6276992850718,362.48698900737276,162.36913026472666,247.92223239738973,296.35121866892524
Adaptive-MDM,seen_grid,48000,47990,0.0002083333333333659,0.569588774177714,1.0836917045635575,1.2355278970947317,-0.20033297275163936,0.30284175371683353,0.36310400256330216,-0.18131439112938003,0.27271832889233955,0.3274883899261581,0.16947853165845456,0.23691254513876894,0.29128912985130856,0.05366914325231682,0.20449553765958137,0.21141885077114497,-0.7906891206608625,1.0481719528160809,1.312947384547327,-181.31439112938003,272.7183288923395,327.4883899261581,169.47853165845456,236.91254513876896,291.2891298513086
Direct-P,far_ood,24000,23932,0.0028333333333333544,0.758694269407975,1.4436170567218098,1.7580671726868922,0.15173405769796675,0.5587507723650164,0.578975478312886,0.1103995461217049,0.42844771771000184,0.4424339908036427,-0.012671621083097367,0.19632986643928485,0.19673427717226036,-0.04176219316723371,0.2920697710186046,0.2950343496222973,-0.6219626237809354,1.2352992066157618,1.383017668993002,110.39954612170492,428.44771771000194,442.43399080364276,-12.671621083097378,196.3298664392849,196.73427717226033
Direct-P,in_domain_unseen,42000,42000,0.0,0.35321859137140404,0.5972285525427744,0.6959300051466941,-0.07103063260154065,0.2324374149121039,0.2430457081662588,-0.042199267659024556,0.18822887788645676,0.19289905413789313,0.02856823061824744,0.16633287971300434,0.16876644199919266,-0.0019970779660680384,0.16677526307587318,0.1667852345281525,-0.3563280391385755,0.7439642034563445,0.824887404037905,-42.199267659024564,188.2288778864568,192.89905413789316,28.568230618247448,166.33287971300436,168.7664419991927
Direct-P,near_ood,12000,12000,0.0,0.48725511454509224,0.8084553925375386,1.0427416927861217,0.036617110136091126,0.37612465482238716,0.37788725775507176,0.001277458192808145,0.24998811842441163,0.24998096610448678,0.008952467627236407,0.17902739423398523,0.17924364329640896,0.007935632225457631,0.2620820694272946,0.26219126884112304,-0.520363177045237,1.0659051616063013,1.1861015850588459,1.2774581928081654,249.98811842441165,249.98096610448684,8.952467627236397,179.02739423398526,179.243643296409
Direct-P,seen_grid,48000,47999,2.0833333333358794e-05,0.3658085632203575,0.6137711757145129,0.7378559390058135,-0.060158294549034944,0.24964962930558865,0.2567930282391227,-0.03842988513272603,0.19398283446861145,0.19775088414182615,0.02773107643171823,0.16717223371578915,0.169454967745261,0.0019521520873468836,0.1798683329905572,0.17987705268786588,-0.37062944685074645,0.7827011679545143,0.8660107054675398,-38.42988513272603,193.9828344686115,197.75088414182616,27.73107643171824,167.1722337157892,169.45496774526103
MDM-0.1,far_ood,24000,23982,0.0007500000000000284,0.7584749584205922,1.3044776384830137,1.6058737584200087,-0.1870329909708146,0.4531623915166334,0.49023354624912024,-0.17721875019724487,0.43206031820685264,0.46698481771987616,0.19675483654479267,0.27676470092646516,0.3395702745746323,0.05126135743262518,0.2489735579950423,0.2541908231656187,-1.3490293987875688,1.6361846866522367,2.1205822356275683,-177.2187501972449,432.0603182068526,466.98481771987616,196.75483654479262,276.76470092646514,339.57027457463226
MDM-0.1,in_domain_unseen,42000,41975,0.0005952380952380931,0.620244543058819,1.1156182309102078,1.236805967454447,-0.239118034802142,0.3062510992869219,0.38854206459935225,-0.20168075842501035,0.29658179511740407,0.3586555366403248,0.1868576939834436,0.262352894409801,0.32209191117329505,0.04894484107213661,0.1968552639981363,0.2028464178024165,-0.9187162496286411,1.0713015586814667,1.4112757472614286,-201.68075842501034,296.5817951174041,358.6555366403248,186.8576939834436,262.35289440980097,322.09191117329505
MDM-0.1,near_ood,12000,11986,0.0011666666666666492,0.6972066789420778,1.2347104043472434,1.4107709174866099,-0.19967528576682736,0.40986930468726296,0.4559046511226435,-0.19154035038220413,0.35429548084045137,0.40274374099389426,0.1898986913451778,0.27827892512924096,0.33688902081360284,0.059279740047989395,0.2602132119164467,0.2668695450384537,-1.1912278260520146,1.491322524080391,1.908633294010472,-191.5403503822042,354.29548084045143,402.7437409938943,189.89869134517778,278.278925129241,336.8890208136028
MDM-0.1,seen_grid,48000,47976,0.0004999999999999449,0.6285296615275883,1.1265554939863143,1.2635728045799437,-0.2349991461119491,0.31908974441746984,0.39628366278558586,-0.2009667338860283,0.3017284458418675,0.3625269445742551,0.18859565309523693,0.26434425193193556,0.32472256986291337,0.05249710729421687,0.2070417788654928,0.21359155174168698,-0.9465543327405612,1.12229431826662,1.4681564589666403,-200.96673388602824,301.72844584186754,362.5269445742551,188.59565309523697,264.34425193193556,324.72256986291336
