route,n,beta,gamma_over_eta,count,relative_bias,within_cell_variance,cell_mse,identity_residual
P,10,4.5,0.75,3000,-0.047701557778307084,0.004848996140308123,0.007124434754785292,0.0
P,10,4.5,1.0,3000,-0.05590316023911934,0.0014980345996877802,0.004623197924408433,-6.505213034913027e-19
P,10,5.0,0.1,3000,-0.07581697774365845,0.00973759617600507,0.01548581029018747,0.0
P,10,5.0,0.25,3000,-0.10532240489803978,0.008293137230677457,0.01938594620418409,0.0
P,10,5.0,0.5,3000,-0.08527644354518633,0.004742278864006817,0.01201435068772217,0.0
P,10,5.0,0.75,3000,-0.061388524515767734,0.0034828819087798263,0.007251432851002842,0.0
P,10,5.0,1.0,3000,-0.06549031049778346,0.0010765185478903816,0.0053654993169864685,2.168404344971009e-19
P,15,1.5,0.1,3000,0.24241643326963336,0.1267384342044873,0.18550416132365785,-5.551115123125783e-17
P,15,1.5,0.25,3000,0.033787181886980155,0.0485894034598193,0.04973097711968317,-6.938893903907228e-18
P,15,1.5,0.5,3000,-0.010714626352176614,0.024126490678905595,0.02424129389677235,0.0
P,15,1.5,0.75,3000,-0.0030002471827950405,0.009275146148460789,0.009284147631618656,-1.734723475976807e-18
P,15,1.5,1.0,3000,-0.023828297769807855,0.0039035532935757615,0.004471341068182391,0.0
P,15,2.0,0.1,3000,0.10702705785575578,0.07520068295056372,0.086655474063823,-1.3877787807814457e-17
P,15,2.0,0.25,3000,0.012408776442481515,0.04713233196921124,0.047286309702010705,-2.0816681711721685e-17
P,15,2.0,0.5,3000,-0.011889398914336805,0.020161187714638547,0.02030254552118278,0.0
P,15,2.0,0.75,3000,0.004393865454009453,0.01285520735333101,0.01287451340695895,1.734723475976807e-18
P,15,2.0,1.0,3000,-0.025136810084310582,0.004992997393795407,0.0056248566150101055,8.673617379884035e-19
P,15,2.5,0.1,3000,0.03934364836938039,0.05061144350970565,0.052159366176719096,-6.938893903907228e-18
P,15,2.5,0.25,3000,-0.020007601632702668,0.032390369883470514,0.03279067400656344,0.0
