n,fold,seed,route,reliability,mse
7,2,42,Q,0.9,0.046103912168957845
7,2,42,Q,0.95,0.0434858819921976
7,2,42,Q,0.99,0.17236723385358418
7,2,42,QP,0.9,0.029688996701874953
7,2,42,QP,0.95,0.04215680914240738
7,2,42,QP,0.99,0.07033541705282556
7,2,42,QCP,0.9,0.02995121651195826
7,2,42,QCP,0.95,0.04264845812675406
7,2,42,QCP,0.99,0.07211291905887295
7,2,2026,P,0.9,0.03167623773895997
7,2,2026,P,0.95,0.046064875279465366
7,2,2026,P,0.99,0.08126489869503935
7,2,2026,Q,0.9,0.04757734327000575
7,2,2026,Q,0.95,0.042617729523814485
7,2,2026,Q,0.99,0.16085987280666222
7,2,2026,QP,0.9,0.02970713533251368
7,2,2026,QP,0.95,0.042124641035769156
7,2,2026,QP,0.99,0.07031440537131273
7,2,2026,QCP,0.9,0.029599602390239805
7,2,2026,QCP,0.95,0.041988866529986894
7,2,2026,QCP,0.99,0.07049608514558763
7,2,3407,P,0.9,0.03140982663755728
7,2,3407,P,0.95,0.04571345621996989
7,2,3407,P,0.99,0.08103916209529767
7,2,3407,Q,0.9,0.04706798236420729
7,2,3407,Q,0.95,0.04285338876258234
7,2,3407,Q,0.99,0.16446558698316863
7,2,3407,QP,0.9,0.029860473882922102
7,2,3407,QP,0.95,0.04242715313711467
7,2,3407,QP,0.99,0.07082429875603595
7,2,3407,QCP,0.9,0.030026758049559323
7,2,3407,QCP,0.95,0.042278860632251065
7,2,3407,QCP,0.99,0.0700062641114734
7,2,17,P,0.9,0.031447901728657086
7,2,17,P,0.95,0.04587475439575923
7,2,17,P,0.99,0.08156272118215008
7,2,17,Q,0.9,0.04648121082137575
7,2,17,Q,0.95,0.04291572727506469
7,2,17,Q,0.99,0.1684127139840781
7,2,17,QP,0.9,0.029862722292618316
7,2,17,QP,0.95,0.042340632328144
7,2,17,QP,0.99,0.07072144452025261
7,2,17,QCP,0.9,0.02963888228398634
7,2,17,QCP,0.95,0.04187977697364292
7,2,17,QCP,0.99,0.07136878714994176
7,2,73,P,0.9,0.0317489752749101
7,2,73,P,0.95,0.046224312552858665
7,2,73,P,0.99,0.08211907359830888
7,2,73,Q,0.9,0.04616425885560014
7,2,73,Q,0.95,0.04268482997305739
7,2,73,Q,0.99,0.16829321685006568
7,2,73,QP,0.9,0.029659766869635007
7,2,73,QP,0.95,0.04186172642550248
7,2,73,QP,0.99,0.06978250807228745
7,2,73,QCP,0.9,0.03000746467265234
7,2,73,QCP,0.95,0.04244767087204041
7,2,73,QCP,0.99,0.0704144702319873
7,2,314,P,0.9,0.03228589142219581
7,2,314,P,0.95,0.04699418738288612
7,2,314,P,0.99,0.08302347610648633
7,2,314,Q,0.9,0.04500203304468908
7,2,314,Q,0.95,0.04256542504185407
7,2,314,Q,0.99,0.17147375095121303
7,2,314,QP,0.9,0.029511481454798587
7,2,314,QP,0.95,0.04165263074765322
7,2,314,QP,0.99,0.06950183920720794
7,2,314,QCP,0.9,0.02979249203274589
7,2,314,QCP,0.95,0.041899077410248786
7,2,314,QCP,0.99,0.07136827730334071
7,2,2718,P,0.9,0.0316667171608039
7,2,2718,P,0.95,0.046129343211713664
7,2,2718,P,0.99,0.081681402723876
7,2,2718,Q,0.9,0.04637761245064217
7,2,2718,Q,0.95,0.04236238820454696
7,2,2718,Q,0.99,0.1657242218455028
7,2,2718,QP,0.9,0.029476203309173516
7,2,2718,QP,0.95,0.0416935026172875
7,2,2718,QP,0.99,0.06994613092399249
7,2,2718,QCP,0.9,0.029531627828009603
7,2,2718,QCP,0.95,0.041732268823761264
7,2,2718,QCP,0.99,0.06995334208252267
7,2,4099,P,0.9,0.03151673443267316
7,2,4099,P,0.95,0.045765521253296214
7,2,4099,P,0.99,0.08027672702415584
7,2,4099,Q,0.9,0.04667785012634447
7,2,4099,Q,0.95,0.043420143183152037
7,2,4099,Q,0.99,0.17062988850423
7,2,4099,QP,0.9,0.029786911854474424
7,2,4099,QP,0.95,0.04259260323423874
7,2,4099,QP,0.99,0.07246341958766568
7,2,4099,QCP,0.9,0.029496727240024813
7,2,4099,QCP,0.95,0.041996886188625154
7,2,4099,QCP,0.99,0.0715196707031338
7,2,8128,P,0.9,0.031648632134104744
7,2,8128,P,0.95,0.04601692803781246
7,2,8128,P,0.99,0.08140588147001769
7,2,8128,Q,0.9,0.046166085970158297
7,2,8128,Q,0.95,0.042664831666105955
7,2,8128,Q,0.99,0.16750236821924547
7,2,8128,QP,0.9,0.029913314350664185
7,2,8128,QP,0.95,0.042109210255287174
7,2,8128,QP,0.99,0.069826647999753
7,2,8128,QCP,0.9,0.030128677934315402
7,2,8128,QCP,0.95,0.04218781232708647
7,2,8128,QCP,0.99,0.06947908119531594
7,2,12011,P,0.9,0.03118190483544646
7,2,12011,P,0.95,0.045136275764115295
7,2,12011,P,0.99,0.07878803785435294
7,2,12011,Q,0.9,0.047173691548612486
7,2,12011,Q,0.95,0.0425427908134772
7,2,12011,Q,0.99,0.16409127257353395
7,2,12011,QP,0.9,0.029385967601536164
7,2,12011,QP,0.95,0.04176765242057163
7,2,12011,QP,0.99,0.07076817747071647
7,2,12011,QCP,0.9,0.029700051787531323
7,2,12011,QCP,0.95,0.04175254553527107
7,2,12011,QCP,0.99,0.06996433991139495
7,3,42,P,0.9,0.03039713374238121
7,3,42,P,0.95,0.04413982182571296
7,3,42,P,0.99,0.07823609751322652
7,3,42,Q,0.9,0.048694978410493826
7,3,42,Q,0.95,0.043260842138421636
7,3,42,Q,0.99,0.16393017783146138
7,3,42,QP,0.9,0.02896222851400965
7,3,42,QP,0.95,0.041278727157734396
7,3,42,QP,0.99,0.06991055544052371
7,3,42,QCP,0.9,0.028779935036783416
7,3,42,QCP,0.95,0.04083920188489207
7,3,42,QCP,0.99,0.06859489262665222
7,3,2026,P,0.9,0.030992916386313442
7,3,2026,P,0.95,0.04499796676739293
7,3,2026,P,0.99,0.0803234338872881
7,3,2026,Q,0.9,0.04880851970896648
7,3,2026,Q,0.95,0.04267287593134627
7,3,2026,Q,0.99,0.15752455677948754
7,3,2026,QP,0.9,0.02922102949466668
7,3,2026,QP,0.95,0.041520467572198655
7,3,2026,QP,0.99,0.07056993217903604
7,3,2026,QCP,0.9,0.029125506216363027
7,3,2026,QCP,0.95,0.04127648909442134
7,3,2026,QCP,0.99,0.06970203931219764
7,3,3407,P,0.9,0.0309602127175427
7,3,3407,P,0.95,0.045311280493366385
7,3,3407,P,0.99,0.08126630238481515
7,3,3407,Q,0.9,0.04717666555369638
7,3,3407,Q,0.95,0.04247979586966958
7,3,3407,Q,0.99,0.1639102236625195
7,3,3407,QP,0.9,0.029032551369458513
7,3,3407,QP,0.95,0.041117997403736964
7,3,3407,QP,0.99,0.0695074970594507
7,3,3407,QCP,0.9,0.0290647084460376
7,3,3407,QCP,0.95,0.041061485413069435
7,3,3407,QCP,0.99,0.06921437760947619
7,3,17,P,0.9,0.030748854846079667
7,3,17,P,0.95,0.044857900031589515
7,3,17,P,0.99,0.0801816534495209
7,3,17,Q,0.9,0.0460631853848209
7,3,17,Q,0.95,0.04237469644268295
7,3,17,Q,0.99,0.1683916938127276
7,3,17,QP,0.9,0.029034803011958578
7,3,17,QP,0.95,0.04113364304403884
7,3,17,QP,0.99,0.0692444888550303
7,3,17,QCP,0.9,0.028890344700359356
7,3,17,QCP,0.95,0.040874222985921055
7,3,17,QCP,0.99,0.06880141354158786
7,3,73,P,0.9,0.031193486110951685
7,3,73,P,0.95,0.04561376412642809
7,3,73,P,0.99,0.08236474029829677
7,3,73,Q,0.9,0.0477197561685996
7,3,73,Q,0.95,0.04272061202010217
7,3,73,Q,0.99,0.16215647917533663
7,3,73,QP,0.9,0.029209780339710754
7,3,73,QP,0.95,0.04132154716358783
7,3,73,QP,0.99,0.0695819271581469
7,3,73,QCP,0.9,0.02907160990660561
7,3,73,QCP,0.95,0.04099657339072267
7,3,73,QCP,0.99,0.06862308084895914
7,3,314,P,0.9,0.03103639852299939
7,3,314,P,0.95,0.04514164632087524
7,3,314,P,0.99,0.08102783585374193
7,3,314,Q,0.9,0.04765596758782462
7,3,314,Q,0.95,0.0426036199664392
7,3,314,Q,0.99,0.16117076479471018
7,3,314,QP,0.9,0.02887081934032074
7,3,314,QP,0.95,0.040883681704091526
7,3,314,QP,0.99,0.06844481324110152
7,3,314,QCP,0.9,0.02892747815478376
7,3,314,QCP,0.95,0.041081304377369204
7,3,314,QCP,0.99,0.07005503574263573
7,3,2718,P,0.9,0.031056582384348566
7,3,2718,P,0.95,0.04507752032713185
7,3,2718,P,0.99,0.08018609763463584
7,3,2718,Q,0.9,0.04718176244279269
7,3,2718,Q,0.95,0.04235722700005179
7,3,2718,Q,0.99,0.16252387690732933
7,3,2718,QP,0.9,0.028865683020680717
7,3,2718,QP,0.95,0.04099405913722672
7,3,2718,QP,0.99,0.06950642156622693
7,3,2718,QCP,0.9,0.029003513050620728
7,3,2718,QCP,0.95,0.04104507432511419
7,3,2718,QCP,0.99,0.06919019387637779
7,3,4099,P,0.9,0.03211385659968124
7,3,4099,P,0.95,0.04690406896824622
7,3,4099,P,0.99,0.08462499743748933
7,3,4099,Q,0.9,0.049516304725296195
7,3,4099,Q,0.95,0.04262815725134238
7,3,4099,Q,0.99,0.15470317547405152
7,3,4099,QP,0.9,0.02926918870703844
7,3,4099,QP,0.95,0.041411531519285116
7,3,4099,QP,0.99,0.06947454126751099
7,3,4099,QCP,0.9,0.029050553930583364
7,3,4099,QCP,0.95,0.04112350315789948
7,3,4099,QCP,0.99,0.06960954608241252
7,3,8128,P,0.9,0.031075369961803857
7,3,8128,P,0.95,0.04509415186668914
7,3,8128,P,0.99,0.08042743027607734
7,3,8128,Q,0.9,0.0470183342302239
7,3,8128,Q,0.95,0.04300976960341905
7,3,8128,Q,0.99,0.1664168179178403
7,3,8128,QP,0.9,0.02893523476082099
7,3,8128,QP,0.95,0.041069518094360755
7,3,8128,QP,0.99,0.0694854117426595
7,3,8128,QCP,0.9,0.02897752554717125
7,3,8128,QCP,0.95,0.0412053410082332
7,3,8128,QCP,0.99,0.07060558866172194
7,3,12011,P,0.9,0.031237411508939352
7,3,12011,P,0.95,0.04578478718690521
7,3,12011,P,0.99,0.08274439744541603
7,3,12011,Q,0.9,0.04621331806705784
7,3,12011,Q,0.95,0.04272453083315944
7,3,12011,Q,0.99,0.16903153385012262
7,3,12011,QP,0.9,0.029130844409271883
